id,name,code,nomenclature,level,version,tunit_code,tunit_name,processes,sources,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,CH04,Zurich,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,28.106299,29.5,28.9,31.7,32.5,33,35.2,36.7,38.6,40.8,39,40.6,42.5,45.1,45.8,48.4,50.8,51.6,52.4,54.3,55.9
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,CH05,Ostschweiz,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,19.055118,20,21.1,21.8,24,24.3,25.3,26.6,28.8,30.8,29.8,29.1,29.3,31.4,33.2,34.2,35.2,36.4,38.2,39.1,40.1
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,CH06,Zentralschweiz,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,24.771654,26,23.6,25.4,26.4,26.1,27.7,29.1,32,34.6,31.8,31.5,33.6,35.5,36.5,37.6,41.9,43.3,44.3,42.9,43.8
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,CH07,Ticino,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,15.529921,16.3,20.6,21,22,24,25.5,26.7,29.2,30,27.5,27.9,29,31.3,33.2,36.8,35.8,38,41.1,40,40.6
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,CY00,Kypros,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,25.1,26.8,29.1,29.5,29.4,28.8,30.5,33.1,34.5,34.1,35.7,37.7,39.3,39.3,40.3,40.5,41.9,42.5,44.1,44.7,44.9
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,CZ01,Praha,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,25.5,25.8,27.1,26.2,26.6,27.1,27.5,27.7,30.8,30.3,34.7,37.5,37.5,38.4,40.3,40.5,43.3,45.6,46.4,45.5,45.9
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,CZ02,Stredni Cechy,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,8.1,8.9,8.5,9.1,9.9,10.5,10.7,11,12.7,13.8,15.3,16.9,18.6,19.9,21.7,21.6,21.4,21.9,23.6,23.2,24.2
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,CZ03,Jihozapad,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,9.3,10,10.7,10.5,11.2,10.8,11.7,12.7,12.7,14.1,14,15.1,17,18,17.6,18.7,19.1,20,20.1,20.3,19.8
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,CZ04,Severozapad,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,7.4,7,7.2,6.5,6.8,7.5,8,7.3,6.8,8.4,9,9.9,11.9,12.5,14.3,13.4,14.2,14.3,13.9,15.2,13.7
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,CZ05,Severovychod,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,9.4,9.2,9.4,10,9.4,10.7,11.6,11,11.7,12.8,13.5,14.8,15,16.8,17.9,18.2,18.9,20.3,20.6,20.1,20.5
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,CZ06,Jihovychod,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,12.3,12.2,12.9,13.2,13.6,14.3,14.5,15.3,15.4,16.9,17.6,19.2,20.8,22.6,23.3,24.3,25.6,25.5,25.8,26,27.7
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,CZ07,Stredni Morava,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,10,10.3,9.5,10.1,11,12.4,12.2,12.6,13,12.8,13.6,15.7,15.9,16.2,18.7,20.1,19.1,19.7,19.5,20,22.3
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,CZ08,Moravskoslezsko,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,9.8,10.2,9.7,10,9.9,10.6,11.4,11.7,11.9,14.1,15.4,15.4,16.2,17.6,16.7,18.8,19.8,21.6,21.1,20.3,21.1
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE11,Stuttgart,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,25.8,24.9,23.8,24.7,26.1,26.5,26.6,26.3,28.3,30.3,30.3,30.8,31.8,32.5,30.8,32.4,33.1,32.6,32.7,34.3,34.9
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE12,Karlsruhe,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,26.2,25.8,24,27.3,25.6,26.2,26.1,26.4,27.3,29.3,29.1,30.6,31.1,31,29.9,31.2,32.2,31.4,31.2,33,34.7
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE13,Freiburg,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,22.3,22.7,22.4,25.1,26.4,24.4,23.5,25.3,25.9,27.2,26.8,27.9,28.8,29.7,27,27.7,29,28.9,29.5,30.9,33.8
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE14,Tubingen,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,24.8,26.7,25.2,27.4,26.7,26.4,25.9,26,27.4,29.3,29.8,31.4,32.5,33.1,30.5,30.6,30.8,30.9,30.6,31.9,32.6
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE21,Oberbayern,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,28.7,27.2,26.2,29,30.2,30.5,29.9,30.8,32.4,33.4,34.2,35.5,36.4,37,37.1,37.1,38.4,39.5,40.6,40.5,42
