NUTS,Name,Unit,NACE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
EL52,Kentriki Makedonia,Million EUR,G-I,5020.6,5237.2,5381.2,5951.4,6232.4,6398.5,6479.1,7138.2,7902.5,7357.8,6634,5863.4,5246.6,5074.9,5072.2,5257.9,5206.2,5435.6,5682,5769.4
EL52,Kentriki Makedonia,Million EUR,J,375.7,411,454.5,457.7,500.4,527.1,605.9,633.8,689.2,713.1,554.5,527,457.3,419.4,372,377.6,387.1,410,400.8,402.2
EL52,Kentriki Makedonia,Million EUR,K,588.9,545.6,595.7,680.8,830.3,827,887.7,916.7,911.9,958.3,906.8,841.4,558.5,678.2,813.9,794.3,868,871.9,811.4,729.5
EL52,Kentriki Makedonia,Million EUR,L,1461.5,1545.7,1737.2,1760,1863.1,2144.8,2123.7,2592.4,3025.1,3171.7,3606.7,3465.3,3549.1,3255.9,3130.9,3015.9,2887.1,2808,2764.5,2853.1
EL52,Kentriki Makedonia,Million EUR,M-N,752.7,801.7,928.3,1088.9,1231.2,1039.7,1233.8,1388.5,1366,1348.9,1068.7,933.2,841.5,855.2,836.8,802.5,833.4,820.3,772,843.2
EL52,Kentriki Makedonia,Million EUR,O-Q,3183.8,3598.4,3904.9,4231.3,5045.4,5293.5,5785,6230.1,6773.1,7093.7,6558.9,5960.8,5639.5,5097.2,4845.5,4973.3,4929.2,4950,5089.2,5155.9
EL52,Kentriki Makedonia,Million EUR,R-U,869.6,921.4,965.4,939.4,1014.1,1167.7,1331.7,1336.5,1334.3,1513,866.9,851.8,848,803,806.1,777.5,745,768.4,839,875.6
EL53,Dytiki Makedonia,Million EUR,A,277.1,287.5,313.7,305.4,290.5,307,248.8,269.4,251.1,245.9,219.4,223.5,223.1,220,260.5,295.7,282.5,303.2,295.9,336.1
EL53,Dytiki Makedonia,Million EUR,B-E,1057.4,1126.3,1331.6,1550.2,1584,1841.9,1754.3,1607.3,1372.5,1680.1,1864.2,1959.5,2451.6,2386,2324.5,2100.9,1757.3,1762.6,1620.7,1340.7
EL53,Dytiki Makedonia,Million EUR,F,273.5,293.1,323.5,369.2,405,264.1,412.6,338,277,230.9,205,134.4,131.4,133.5,97.6,88.9,88.3,57,60.9,67.1
EL53,Dytiki Makedonia,Million EUR,G-I,467.7,486.8,489.6,537.1,555.6,560.7,595.8,633.9,710.1,666.3,585.3,498.2,450.5,432.1,405.4,412.1,399.7,410.1,419.5,421
EL53,Dytiki Makedonia,Million EUR,J,39.3,43,47.6,49.6,54.6,54,64.7,63.7,60.1,61.6,46.5,42.8,39.1,35.4,30.6,29.9,30.1,31.3,30.4,30.3
EL53,Dytiki Makedonia,Million EUR,K,63.3,55.4,60.6,72.4,84.7,86.5,97.7,99.1,97.5,95.8,101.9,91.6,54.7,77.5,85.6,94.2,99.2,98.4,89.9,84.1
EL53,Dytiki Makedonia,Million EUR,L,177.4,187.6,210.8,213.6,226.1,260.3,249.8,300.4,346.5,361.1,407.8,391,400,366.6,352.3,339.2,324.6,315.5,310.1,319.3
EL53,Dytiki Makedonia,Million EUR,M-N,68,75.7,88.8,102.3,117.2,98.2,114.3,122.5,123.4,113.3,125.3,154.4,143.9,85,74.8,62.2,63.5,58.5,62.1,65.9
EL53,Dytiki Makedonia,Million EUR,O-Q,408.4,475.1,474.7,552.2,679,668.8,671.7,798.5,861.7,893.4,841.4,760.8,730.5,672.3,659.9,661.8,641.7,634.4,633.4,631.7
EL53,Dytiki Makedonia,Million EUR,R-U,103.2,114.6,131.8,127.6,122.9,130.7,154.8,159.3,142.8,156.9,96.9,108.7,89.8,68,73.8,72.9,74.6,78.5,81.7,90.5
EL54,Ipeiros,Million EUR,A,348.4,371.4,374.9,404.9,361.4,375.9,311.6,295.3,280,300.3,319.1,297.4,306.6,307.3,328.1,342.7,303.6,321,317.2,309.8
EL54,Ipeiros,Million EUR,B-E,298.7,343,392.9,406.6,402.4,421.2,437.3,475.1,465.7,450.5,447.3,417.1,407.6,403.4,380.7,393,407.7,385.7,393.8,385.5
EL54,Ipeiros,Million EUR,F,323.9,334.1,369.7,476.4,519.1,464.4,635.5,507,370.7,372.3,296.9,244.6,212.2,251.8,174.3,157.1,153.8,97.1,102.3,106.9
EL54,Ipeiros,Million EUR,G-I,800.1,815.4,830.1,930.5,983.4,1028.8,1037.1,1172.2,1233,1131.1,1078.2,915,810.8,807.1,822.3,803.2,769.3,793.9,823,835.5
EL54,Ipeiros,Million EUR,J,51,55.8,61.7,62.7,69,69.1,76,80.4,76.5,78.1,59.1,53.1,50.2,46.2,41,40.2,40.9,43.4,42.9,42.8
EL54,Ipeiros,Million EUR,K,79.9,72.6,78.9,88.1,108.7,110.2,128.2,128.8,123.9,126.5,137,117.1,67.5,86.5,103.5,113.9,131.8,136.6,123.7,115.1
EL54,Ipeiros,Million EUR,L,273.3,289.1,324.9,329.2,348.4,401.1,387.9,469.2,545.1,571.2,648.8,623.7,639.3,586.2,564.3,544,521.1,506.9,499.2,514.9
EL54,Ipeiros,Million EUR,M-N,85.2,90.5,105.2,117.3,133.1,112.9,128.1,145.8,160,141,145.2,97.8,88.3,91.2,103.9,86.8,99.8,100.4,89.7,101.3
EL54,Ipeiros,Million EUR,O-Q,689.4,750.2,883.7,901.2,920.3,907.1,934,1003.4,1153.6,1156.4,1134.2,1109.7,982.9,911.9,909,891.4,862.8,878.7,895.3,902.5
EL54,Ipeiros,Million EUR,R-U,120.7,116.8,116.3,144.3,144.1,160.3,167.7,158.7,149.1,165.5,97.4,110.5,98.4,93.8,91.7,99.1,104.2,112.9,123.5,116.6
EL61,Thessalia,Million EUR,A,1051.5,973.8,1066.7,1279.2,1117.6,1144.4,806.6,813.9,875,881.3,847.3,785.5,827.2,812.3,855.2,958.4,865.3,953.3,927.9,999.3
EL61,Thessalia,Million EUR,B-E,855.5,1059,1197.5,1367.5,1369.4,1340.9,1612.9,1632.7,1673.9,1557.2,1446.4,1321.5,1231.7,1171,1171.9,1238,1218.1,1224.1,1239.7,1220.3
EL61,Thessalia,Million EUR,F,483.4,466.4,515.6,733.2,988.1,637.4,937.6,884.3,640.2,530.1,385.7,300.3,314.3,339.6,232.5,211,209.4,129.2,139.9,152.3
EL61,Thessalia,Million EUR,G-I,1663.1,1754.9,1765.3,1991,2106.9,2220.3,2292.2,2403.3,2671.9,2317,2057,1766.7,1569.8,1547,1528.4,1558,1521.2,1587.1,1643.3,1699.8
EL61,Thessalia,Million EUR,J,100.9,110.4,122.1,120.2,134.5,143.9,168.1,160.8,144.6,138.9,110.8,95.4,87.4,80.4,69.9,70.6,71,74.7,72.7,72.3
EL61,Thessalia,Million EUR,K,168.4,156.4,161,193.7,228.7,244.4,252.3,247.4,238.9,273.9,277,243.8,139.1,188.7,207.5,225.9,251.3,252.4,224.4,211.3
EL61,Thessalia,Million EUR,L,566.5,599.2,673.4,682.3,722.2,831.5,800.6,964.6,1115.9,1164.6,1318.4,1265.8,1295.4,1187.5,1141.3,1098.7,1051.3,1022.2,1005.1,1036
EL61,Thessalia,Million EUR,M-N,210.2,224.7,264.9,306.6,343.3,271.7,344.1,365.6,356.8,332.9,248.4,188,162.5,160.9,179.7,180,160.6,162.2,210,240.8
EL61,Thessalia,Million EUR,O-Q,1347.8,1509.5,1614.1,1833.1,2006.1,1994.5,2332.5,2481.2,2597.1,2874.3,2502.2,2258.3,2303.7,2179.1,2171.6,2122,2090.7,2090,2078.4,2160.3
EL61,Thessalia,Million EUR,R-U,296.5,340.9,362.3,360.4,363.2,352.3,389.5,413.2,453.4,493.6,303.7,291.1,269.7,261.1,294.6,278.8,273.9,285.6,328.3,302.9
EL62,Ionia Nisia,Million EUR,A,129.7,137.3,146.5,162.7,131.2,160.7,120.6,126.8,107.2,113.9,121.4,115.7,117.1,104.3,99.6,119.5,113.1,128.8,118.9,130.5
EL62,Ionia Nisia,Million EUR,B-E,87.5,96.6,116.6,130.1,137.6,135.3,147.3,166.2,165.3,175.2,132.9,130.6,126.6,122.7,124.4,119.7,123.3,118.4,123,123.8
EL62,Ionia Nisia,Million EUR,F,164.7,171.1,176,270.6,345.1,229.6,373.6,308.9,227.3,253.9,245.5,159.5,129,107.2,79.2,75.5,75,48.4,50.6,53.6
EL62,Ionia Nisia,Million EUR,G-I,1230.7,1367.3,1284.5,1457.1,1542.4,1694.1,1689.4,1864.8,2039,1667.6,1532,1196.7,1208.8,1226.1,1303.7,1259.7,1174.7,1233.1,1313.2,1380.4
EL62,Ionia Nisia,Million EUR,J,35.6,38.9,43,42,46.3,48.4,49.5,56.5,54.9,55.9,42.2,38.6,30.9,28.4,26.3,22.5,22.7,23.6,23.2,24.5
EL62,Ionia Nisia,Million EUR,K,51.5,42.5,47.2,54.1,74.2,76.4,73,72.9,75.9,89.2,98.8,86.8,44.8,58.7,76.2,72.8,78.8,79.3,72.3,55.2
EL62,Ionia Nisia,Million EUR,L,215.4,227.8,256,259.4,274.6,316.1,309.4,378.9,443.8,466.8,533,515.4,529.2,486,468.2,451.9,433.8,423.4,419,434.8
EL62,Ionia Nisia,Million EUR,M-N,61.2,65.8,81.1,93.8,105.3,94.4,115.4,122.8,130.7,132.3,113.5,105.3,83.6,78.4,101.1,102.4,116.2,104.8,92.8,101.1
EL62,Ionia Nisia,Million EUR,O-Q,347.3,367.9,408.2,471.5,480.7,525.9,565,546.6,590.8,617.4,564.9,522.6,438.6,417,393.8,399,407.9,398.8,405.6,393
EL62,Ionia Nisia,Million EUR,R-U,105.2,100.1,95.1,110.1,119.2,119.9,127.6,135.6,160.7,183.5,120.3,127.7,121.7,100.3,111.3,103.3,101,102.2,115.2,107.8
EL63,Dytiki Ellada,Million EUR,A,862.3,922,943.1,1005.9,929.4,948.4,780.7,810.3,759.5,760.4,743.4,667,696.2,653.6,685.5,747.7,668.4,752.4,693.8,751.3
EL63,Dytiki Ellada,Million EUR,B-E,644.4,774.6,978.3,1017.1,1035.3,1046.1,1215.5,1343.9,1207.1,1014.8,1053.5,903.5,863.2,931.5,838.6,917.3,933.5,893.7,926.8,873.8
EL63,Dytiki Ellada,Million EUR,F,570,647.7,582.8,779.1,950,670.7,1093.9,880,691.9,652.3,631.8,453.7,369.1,313.1,213.5,196.3,194.5,126.9,136.2,143.8
EL63,Dytiki Ellada,Million EUR,G-I,1700.1,1696.6,1753.7,1988.3,2180.5,2320,2375.1,2450,2754.1,2312,2223.7,1882.3,1739.4,1621.9,1680.4,1584.3,1504.6,1559.3,1604.9,1603.9
EL63,Dytiki Ellada,Million EUR,J,146.5,160.3,177.2,179.3,200.6,210.1,242,276.1,298.2,321.5,243.8,205.1,182.1,166,142.6,137.3,138,143.9,142,140.8
EL63,Dytiki Ellada,Million EUR,K,172.5,150.8,170.2,189,241.6,257.3,282.7,265.2,254.1,296.5,280.4,256.1,141.7,183.5,207.7,223.2,249.8,247.1,225.2,190.4
EL63,Dytiki Ellada,Million EUR,L,596.2,630.6,708.7,718,760.1,875,843.8,1019.6,1181.6,1237,1403.9,1349.5,1382.7,1268.7,1220.3,1175.7,1125.5,1094.8,1077,1109.7
EL63,Dytiki Ellada,Million EUR,M-N,159.7,169.3,199.3,225.7,253.4,223.5,261.7,283.7,292.5,264.3,248.2,218.5,213.3,209.9,203.5,195.6,175.5,190.7,195.1,213.5
EL63,Dytiki Ellada,Million EUR,O-Q,1140.9,1206.9,1375.6,1432.3,1634.9,1805.5,1992.4,2165.1,2200.3,2406.2,2127.5,1992.2,1878.6,1715.9,1694.5,1666,1601.4,1588.1,1617.6,1668.2
EL63,Dytiki Ellada,Million EUR,R-U,235.6,245.3,299.7,335.5,360.7,371.2,418.4,424.5,402.4,472,328,281.5,268.8,233.9,255.7,255.2,240.4,241.9,269.2,279.6
EL64,Sterea Ellada,Million EUR,A,900.8,864.2,855.2,968.6,836.3,912.8,711.2,679.3,640.7,645.4,630.9,570.9,612.7,550.3,632.7,607.3,533.3,582.7,572.1,591.1
EL64,Sterea Ellada,Million EUR,B-E,2485.7,2700.2,2685.6,2627.5,2658.8,2708.3,2666.8,2882.3,2930.1,2693.5,2671.9,2588.1,2533.8,2495.6,2325.9,2474.6,2618.5,2713.2,2723.1,2783
EL64,Sterea Ellada,Million EUR,F,516.5,561.9,571.2,736,789.2,605.9,874.3,719.2,538.4,536.7,479.7,343.8,278.1,258.7,174,160.2,159,100.2,107.9,113.9
EL64,Sterea Ellada,Million EUR,G-I,1338.2,1335.4,1361.4,1560.9,1714.2,1782.4,1844.7,1986.3,2222.6,1912.2,1823.8,1623,1467.9,1383.3,1373.7,1346.8,1305.8,1355.7,1405.9,1410.4
EL64,Sterea Ellada,Million EUR,J,86.5,94.6,104.7,102.7,113,118.4,129,141,127.5,129.5,97.8,87.4,76.9,70.7,60.2,59.1,60.4,63.6,62.7,62.5
EL64,Sterea Ellada,Million EUR,K,116.3,100.8,117.7,134.9,155.7,161.1,180.3,179.8,176.1,189.2,194,171.1,95.9,127.6,138.7,162.3,186.6,179.7,164.5,141.6
EL64,Sterea Ellada,Million EUR,L,439.8,465.2,522.8,529.7,560.7,645.5,626.4,761.8,887.4,931.5,1059.3,1020.2,1046.3,960.3,923.8,890.3,852.9,829.9,816.5,841.2
EL64,Sterea Ellada,Million EUR,M-N,129.2,137.1,162.5,188.6,208,166.7,196.6,218.8,239.6,232.7,206.8,140.5,128.1,96.7,122.6,124.1,123.1,147.3,152,173.7
EL64,Sterea Ellada,Million EUR,O-Q,831.8,921.1,998.4,1144.7,1202.6,1365.6,1460.6,1481.2,1594.6,1730.8,1478,1348.4,1221.6,1125.6,1099.1,1105.5,1092.5,1102.1,1110.9,1098.6
EL64,Sterea Ellada,Million EUR,R-U,159.3,193,220.3,217.1,228.8,273.4,273.6,267.9,256,302.1,202.6,197.7,177,171.5,155.7,162,164.6,178.4,193.8,209.4
EL65,Peloponnisos,Million EUR,A,647.8,763.2,744.1,871.6,753.2,784.2,758.5,681.6,663.9,635,686,608.9,665,604.7,650.2,748.1,655.6,766.4,712.5,759.4
EL65,Peloponnisos,Million EUR,B-E,1249.2,1314.4,1354.4,1364.4,1345.7,1435,1598.1,1745.6,1682.8,1573.2,1535.5,1500.4,1587.2,1555.7,1460.3,1574.9,1640.5,1681.6,1673,1725.8
EL65,Peloponnisos,Million EUR,F,433.4,463.3,465.9,626.1,676.5,479.2,696.3,596.3,489.6,539.1,481.9,409.8,326.3,308.1,226.6,211.4,209.7,134.2,142.2,147.5
EL65,Peloponnisos,Million EUR,G-I,1396.6,1428.8,1435.6,1602.1,1685.6,1785.9,1833.1,2013,2093.1,1961.6,1816.4,1562.3,1408,1400.4,1400.1,1423.4,1383.2,1425.1,1453.7,1464.3
EL65,Peloponnisos,Million EUR,J,117.5,128.5,142.1,147.2,162,169.6,197.6,194.4,179.9,183,139.6,120.9,107,99.9,90.1,84.6,84.8,89.3,86.2,84.1
EL65,Peloponnisos,Million EUR,K,141.6,124.6,141.2,157.1,190.9,200.5,225.5,230.1,209.6,225.5,220.5,214,117.8,161.7,186,201.4,220,215.1,194.8,172.6
EL65,Peloponnisos,Million EUR,L,580.8,614.3,690.4,699.4,740.4,852.4,829.9,1010.9,1179.2,1238.7,1410.3,1359.3,1395,1281,1233.1,1189,1139.1,1108.5,1091.2,1125.3
EL65,Peloponnisos,Million EUR,M-N,150,161.6,188.1,209.5,234,208.5,250.2,264.7,285.8,289.7,213.6,212.8,194,126.4,131.4,116.7,127.1,138.7,128.1,149.9
EL65,Peloponnisos,Million EUR,O-Q,849.4,943.9,1109.7,1059.7,1276.7,1304.9,1348.4,1536.2,1791.4,1796.5,1566.2,1442.8,1291.4,1282.3,1247.5,1238.1,1193.1,1187.1,1197.7,1191.7
EL65,Peloponnisos,Million EUR,R-U,212.3,208.9,243.2,244.3,268.6,286.4,346.9,363.1,351.1,420.8,324.3,278.5,267.2,279.3,272.8,256.4,267.3,286.4,302,308.3
ES11,Galicia,Million EUR,A,1992,2140,2219,2305,2380,2344,2264,2543,2419,2370,2598,2604,2616,2803,2984,3047,3117,3030,2945,3006
ES11,Galicia,Million EUR,B-E,6731,7069,7588,8091,8487,9056,9821,10541,11289,9846,9867,9784,9300,9466,8992,9434,9395,10033,10353,10374
ES11,Galicia,Million EUR,F,3514,3894,4245,4545,4838,5423,6033,6277,6543,6191,5335,4490,3952,3400,3406,3557,3695,3802,3898,4212
ES11,Galicia,Million EUR,G-I,6166,6761,7179,7532,8284,8779,9377,10214,10925,11054,11191,11098,10932,10759,10994,11723,12357,12841,13244,13621
ES11,Galicia,Million EUR,J,1105,1188,1255,1306,1331,1366,1378,1427,1444,1441,1389,1299,1249,1177,1132,1119,1150,1221,1189,1287
ES11,Galicia,Million EUR,K,1172,1318,1385,1415,1507,1632,1797,2054,2240,2383,1855,1721,1731,1510,1627,1611,1661,1730,1933,1899
ES11,Galicia,Million EUR,L,1575,1722,1996,2271,2648,3058,3467,4058,4385,4263,4725,5092,5235,5482,5517,5486,5642,5754,5932,6099
ES11,Galicia,Million EUR,M-N,1629,1773,1857,1976,2076,2240,2472,2712,2861,2852,2708,2910,2740,2857,2961,3335,3507,3587,3779,4069
ES11,Galicia,Million EUR,O-Q,5332,5723,6007,6492,6917,7614,8210,8894,9693,10272,10313,10172,9697,9716,9663,9862,9988,10234,10578,11013
ES11,Galicia,Million EUR,R-U,1207,1284,1350,1440,1511,1616,1723,1840,1985,2089,2172,2220,2186,2149,2120,2312,2367,2518,2641,2663
ES12,Principado de Asturias,Million EUR,A,370,411,402,413,389,389,357,367,326,280,294,293,280,265,268,279,276,270,301,308
ES12,Principado de Asturias,Million EUR,B-E,3280,3477,3573,3749,3946,4308,4676,5043,5211,4530,4587,4340,4030,3870,3775,3868,3888,4157,4255,4240
ES12,Principado de Asturias,Million EUR,F,1528,1708,1894,1962,2036,2240,2459,2515,2587,2369,1995,1714,1465,1222,1186,1243,1295,1365,1413,1521
ES12,Principado de Asturias,Million EUR,G-I,2791,2974,3081,3188,3410,3521,3747,4058,4347,4235,4287,4372,4161,3972,4005,4243,4296,4462,4558,4728
ES12,Principado de Asturias,Million EUR,J,484,511,536,544,543,542,547,545,534,560,524,505,504,493,473,473,480,493,473,480
ES12,Principado de Asturias,Million EUR,K,482,552,580,581,608,659,714,821,897,954,724,666,705,604,669,664,680,714,780,786
ES12,Principado de Asturias,Million EUR,L,764,836,974,1089,1252,1461,1671,1941,2070,2023,2282,2434,2507,2625,2628,2599,2662,2699,2765,2826
ES12,Principado de Asturias,Million EUR,M-N,773,844,891,934,971,1060,1185,1289,1345,1276,1280,1365,1268,1212,1166,1221,1249,1279,1347,1401
ES12,Principado de Asturias,Million EUR,O-Q,2047,2214,2364,2554,2719,2953,3185,3462,3811,4026,4010,3992,3808,3815,3782,3868,3871,4001,4084,4186
ES12,Principado de Asturias,Million EUR,R-U,485,525,562,598,636,679,733,781,847,870,902,937,922,901,880,965,989,1044,1042,1028
ES13,Cantabria,Million EUR,A,342,348,327,299,279,261,234,233,212,182,187,196,183,155,166,157,183,194,202,154
ES13,Cantabria,Million EUR,B-E,1647,1768,1866,1922,2026,2183,2304,2502,2613,2403,2482,2493,2393,2191,2337,2285,2358,2565,2617,2671
ES13,Cantabria,Million EUR,F,859,968,1097,1161,1217,1351,1451,1498,1564,1442,1226,999,849,734,716,753,796,780,826,929
ES13,Cantabria,Million EUR,G-I,1575,1722,1801,1879,2015,2091,2202,2357,2476,2487,2434,2430,2338,2304,2280,2357,2409,2528,2607,2693
ES13,Cantabria,Million EUR,J,252,272,289,291,284,282,279,279,268,285,278,259,243,237,227,224,224,226,220,228
ES13,Cantabria,Million EUR,K,267,301,319,327,342,351,388,448,482,513,398,373,383,329,358,358,366,383,420,415
ES13,Cantabria,Million EUR,L,462,508,598,686,781,892,1015,1190,1283,1263,1396,1503,1545,1621,1627,1602,1625,1645,1697,1751
ES13,Cantabria,Million EUR,M-N,468,501,522,547,550,575,624,669,688,658,627,633,605,620,618,689,727,748,775,802
ES13,Cantabria,Million EUR,O-Q,1116,1187,1249,1330,1438,1587,1717,1877,2078,2180,2187,2172,2095,2121,2128,2196,2262,2284,2406,2537
ES13,Cantabria,Million EUR,R-U,255,282,315,347,374,426,458,498,557,570,577,575,555,544,540,581,607,637,667,681
ES21,País Vasco,Million EUR,A,669,675,647,591,560,497,435,461,413,381,400,404,436,442,462,406,454,441,465,413
ES21,País Vasco,Million EUR,B-E,11598,12181,12434,12800,13368,14127,15106,15887,16436,14498,14724,14927,14224,13763,14145,14486,14620,15176,15727,15911
ES21,País Vasco,Million EUR,F,3194,3609,4059,4409,4737,5391,5949,6350,6674,6712,5553,4843,4291,3885,3766,3977,4133,4317,4446,4791
ES21,País Vasco,Million EUR,G-I,7843,8330,8651,8985,9532,9897,10511,11168,12014,11605,11828,11669,11544,11134,11285,11704,12447,12977,13251,13773
ES21,País Vasco,Million EUR,J,1439,1560,1699,1775,1795,1838,1896,1942,1950,1882,1789,1711,1661,1602,1579,1568,1608,1704,1744,1774
ES21,País Vasco,Million EUR,K,1474,1662,1758,1831,1929,2046,2232,2523,2721,2862,2140,1984,2037,1754,1913,1911,1963,2083,2289,2304
ES21,País Vasco,Million EUR,L,1887,2049,2390,2723,3108,3598,4114,4775,5148,5127,5867,6332,6507,6883,6909,6851,7012,7142,7353,7543
ES21,País Vasco,Million EUR,M-N,1918,2145,2345,2588,2760,3090,3568,4010,4373,4441,4443,4400,4299,4221,4276,4863,4956,5012,5266,5460
ES21,País Vasco,Million EUR,O-Q,5806,6156,6466,6770,7138,7602,8018,8651,9438,9906,10107,10176,9929,10029,10121,10384,10669,11072,11243,11895
ES21,País Vasco,Million EUR,R-U,1256,1381,1510,1609,1740,1881,2010,2158,2377,2491,2568,2650,2605,2650,2679,2899,3041,3223,3300,3316
ES22,Comunidad Foral de Navarra,Million EUR,A,409,426,451,505,491,494,473,559,567,527,562,543,600,587,607,623,648,713,659,672
ES22,Comunidad Foral de Navarra,Million EUR,B-E,3189,3362,3582,3724,3943,4230,4538,4793,5156,4747,4785,4895,4612,4770,4925,5008,5072,5333,5401,5608
ES22,Comunidad Foral de Navarra,Million EUR,F,957,1033,1128,1228,1311,1481,1631,1699,1713,1686,1409,1223,1064,881,838,915,940,985,1031,1117
ES22,Comunidad Foral de Navarra,Million EUR,G-I,1957,2100,2234,2295,2424,2510,2643,2824,2986,2999,2993,2989,2914,2875,2915,3122,3354,3467,3565,3730
ES22,Comunidad Foral de Navarra,Million EUR,J,403,421,417,403,399,388,370,355,333,368,361,341,306,297,278,278,278,273,276,295
ES22,Comunidad Foral de Navarra,Million EUR,K,360,408,424,439,458,466,526,612,682,721,559,517,538,463,512,505,525,548,605,595
ES22,Comunidad Foral de Navarra,Million EUR,L,444,491,572,670,770,897,1006,1148,1261,1218,1355,1448,1479,1541,1537,1523,1572,1601,1654,1704
ES22,Comunidad Foral de Navarra,Million EUR,M-N,465,525,567,637,679,758,852,936,1030,994,942,1001,969,930,926,1064,1157,1153,1185,1288
ES22,Comunidad Foral de Navarra,Million EUR,O-Q,1660,1753,1840,1966,2101,2216,2329,2517,2715,2866,2863,2880,2734,2751,2737,2706,2720,2842,2952,3083
ES22,Comunidad Foral de Navarra,Million EUR,R-U,319,348,378,408,444,487,525,567,624,643,683,697,679,666,677,739,742,787,826,838
ES23,La Rioja,Million EUR,A,486,491,456,499,485,456,451,467,448,393,416,396,389,417,469,488,347,469,575,481
ES23,La Rioja,Million EUR,B-E,1286,1374,1408,1504,1587,1687,1802,1918,2019,1914,1964,2058,1982,1941,1933,2013,2057,2027,2002,2042
ES23,La Rioja,Million EUR,F,401,463,543,574,612,686,772,811,841,802,666,551,461,386,395,405,409,428,443,493
ES23,La Rioja,Million EUR,G-I,766,832,881,966,1037,1096,1183,1291,1415,1365,1376,1369,1325,1304,1307,1350,1392,1438,1482,1543
ES23,La Rioja,Million EUR,J,129,135,140,142,139,139,138,136,131,129,132,127,119,112,109,110,116,115,114,114
ES23,La Rioja,Million EUR,K,191,214,228,236,246,258,274,321,352,368,278,253,258,219,239,237,245,258,284,281
ES23,La Rioja,Million EUR,L,215,234,277,318,370,431,495,580,632,615,688,736,750,775,771,755,767,782,809,826
ES23,La Rioja,Million EUR,M-N,232,243,250,263,268,283,307,328,338,322,305,313,309,300,323,361,376,381,415,443
ES23,La Rioja,Million EUR,O-Q,621,654,718,774,819,913,983,1079,1180,1235,1245,1224,1175,1184,1196,1230,1268,1304,1340,1460
ES23,La Rioja,Million EUR,R-U,129,141,152,165,177,201,219,229,245,253,258,260,256,258,265,285,296,319,320,319
ES24,Aragón,Million EUR,A,1109,1232,1276,1382,1399,1261,1284,1524,1491,1501,1640,1581,1548,1900,1708,1560,2113,2152,1966,2132
ES24,Aragón,Million EUR,B-E,4831,5036,5501,5747,5930,6263,6703,7175,7444,6485,6754,6621,6105,6239,6493,6469,6443,6822,7203,7430
ES24,Aragón,Million EUR,F,1664,1888,2127,2335,2576,3012,3364,3641,3773,3559,2880,2399,2031,1742,1683,1764,1891,1916,2000,2188
ES24,Aragón,Million EUR,G-I,3772,4087,4341,4510,4855,5065,5376,5745,6248,6127,6127,6253,6038,5909,5977,6242,6409,6731,6916,7140
ES24,Aragón,Million EUR,J,712,737,778,771,748,750,737,741,727,788,756,730,689,669,646,645,649,660,654,682
ES24,Aragón,Million EUR,K,800,897,925,973,1037,1098,1195,1384,1522,1605,1192,1142,1169,1015,1092,1084,1119,1166,1295,1253
ES24,Aragón,Million EUR,L,844,953,1120,1311,1506,1767,2069,2517,2722,2714,3092,3298,3367,3474,3451,3381,3454,3496,3611,3702
ES24,Aragón,Million EUR,M-N,892,995,1053,1148,1184,1287,1462,1658,1746,1643,1538,1611,1593,1533,1543,1662,1758,1882,1951,2047
ES24,Aragón,Million EUR,O-Q,2986,3164,3434,3700,3955,4302,4632,5088,5588,5909,5974,5965,5697,5689,5698,5823,5930,6101,6367,6515
ES24,Aragón,Million EUR,R-U,639,685,748,782,843,924,975,1034,1125,1121,1125,1147,1159,1177,1146,1243,1278,1382,1401,1420
ES30,Comunidad de Madrid,Million EUR,A,277,251,267,269,222,196,185,179,149,122,122,121,159,181,112,149,135,119,186,152
ES30,Comunidad de Madrid,Million EUR,B-E,16224,16753,16657,16918,17184,18004,19109,19586,20141,18783,18622,19534,18933,18996,18468,19452,19812,20531,21448,22574
ES30,Comunidad de Madrid,Million EUR,F,10365,11410,12455,13299,13962,15538,16576,16815,17115,16113,12595,11008,9404,8041,8075,8610,9010,9570,9952,10979
ES30,Comunidad de Madrid,Million EUR,G-I,26240,28528,30174,31753,33999,35381,37355,39358,40053,39758,41026,42120,41214,40168,40092,43199,45358,47506,49118,51026
ES30,Comunidad de Madrid,Million EUR,J,6553,7697,9167,10383,11651,13132,14557,16171,17665,18073,17403,17228,17051,16865,16952,17429,17938,19485,19826,20974
ES30,Comunidad de Madrid,Million EUR,K,6589,8114,8559,8776,9430,10029,11396,13229,14490,15541,11196,10617,11195,8974,9919,10440,11571,11879,12910,12794
ES30,Comunidad de Madrid,Million EUR,L,8610,8892,9926,10632,11314,12225,13275,14818,15542,15380,17599,18594,19035,19683,19408,19101,19355,19950,20932,21720
ES30,Comunidad de Madrid,Million EUR,M-N,8654,9903,11159,12472,13383,15084,17805,20683,23571,23594,23312,24555,24159,24066,25357,26824,28261,30048,31284,33350
ES30,Comunidad de Madrid,Million EUR,O-Q,15392,16562,17572,19098,20862,22122,23957,25910,28246,29580,29656,29430,28790,29199,29064,29792,30612,31293,31995,33849
ES30,Comunidad de Madrid,Million EUR,R-U,5152,5471,5857,6151,6530,7078,7446,7837,8486,8949,9582,9676,9490,9407,9633,10392,10651,11375,11774,12150
