NUTS,Name,Unit,NACE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL00,Albania,Million EUR,G-I,828.7,901.8,871.2,838.1,973.2,1096.7,1173,1313.3,1456.6,1445.7,1483.8,1543.9,1613,1523.7,1580.5,1603.5,1706.7,1864.9,2106.1,2318.9
AL00,Albania,Million EUR,J,93.7,153,174.3,190.9,255.5,293.2,322.2,387.8,429.6,403,325.6,313.3,300.1,269.6,278.7,305.2,330.1,357.2,367.6,410.4
AL00,Albania,Million EUR,K,52.5,65.4,64.1,78.7,96.9,140.2,152.1,187.8,247.6,205.9,215.4,238.5,231.1,216.6,251.1,279,260.5,288.8,291.9,298.7
AL00,Albania,Million EUR,L,299.4,345,355.8,365.5,425.9,473.8,514.5,550.8,599.2,573,554.6,558.5,574.6,612,612.4,612.7,624.8,650.3,704.4,770.2
AL00,Albania,Million EUR,M-N,56.2,70.7,91.3,91.8,109.8,123.4,177.7,213.4,239.8,251.4,250.5,270.6,372.9,416.7,507.6,569.4,623.2,727.8,833.1,930.2
AL00,Albania,Million EUR,O-Q,306.6,384.7,420,454.7,528.3,595.2,641.4,693.4,799,861.8,906.4,953.9,1040.5,1069.1,1103.8,1135.6,1176.4,1348.4,1474.7,1607
AL00,Albania,Million EUR,R-U,37.8,51,43.3,45.9,71.1,98.3,105.7,139.9,162,184.6,224.8,223.1,177.2,186.2,229.9,245.4,284.3,307.5,348.3,322.6
AT11,Burgenland,Million EUR,A,219,244,233,258,278,203,228,257,224,192,219,248,275,216,211,259,221,308,295,261
AT11,Burgenland,Million EUR,B-E,895,977,1062,1058,1077,1068,1050,1126,1115,1114,1195,1227,1275,1366,1339,1376,1432,1467,1473,1522
AT11,Burgenland,Million EUR,F,435,424,427,465,486,486,483,519,548,532,537,560,594,619,645,653,712,704,754,811
AT11,Burgenland,Million EUR,G-I,858,872,927,973,1005,1055,1105,1163,1188,1251,1309,1403,1489,1491,1527,1536,1592,1668,1718,1752
AT11,Burgenland,Million EUR,J,76,80,83,86,91,108,116,112,103,91,96,113,112,109,127,149,153,133,151,148
AT11,Burgenland,Million EUR,K,213,203,199,201,228,236,264,301,316,268,250,272,257,288,302,311,321,342,353,361
AT11,Burgenland,Million EUR,L,369,378,406,431,480,527,523,580,595,603,617,637,691,711,758,803,847,909,941,979
AT11,Burgenland,Million EUR,M-N,142,169,196,183,199,212,233,252,294,287,298,317,345,363,403,410,429,440,443,462
AT11,Burgenland,Million EUR,O-Q,938,940,960,976,1014,1042,1108,1135,1171,1232,1272,1290,1339,1372,1398,1468,1527,1584,1651,1704
AT11,Burgenland,Million EUR,R-U,136,144,146,138,167,149,161,165,172,170,175,183,178,182,193,206,215,221,228,242
AT12,Niederösterreich,Million EUR,A,1144,1217,1151,1094,1156,900,992,1206,1228,1016,1196,1412,1224,1262,1177,1140,1311,1275,1307,1278
AT12,Niederösterreich,Million EUR,B-E,8544,8680,8533,8616,9116,9245,9983,10849,10736,9948,9843,10433,10745,10702,11001,11440,11690,12312,12736,13310
AT12,Niederösterreich,Million EUR,F,2482,2472,2471,2626,2751,2785,2866,3075,3226,3116,3070,3083,3173,3308,3367,3446,3506,3756,4010,4297
AT12,Niederösterreich,Million EUR,G-I,6830,6935,7334,7468,7974,8241,8822,9597,10086,9941,10279,10694,10829,10715,11316,11681,11798,12330,12904,13408
AT12,Niederösterreich,Million EUR,J,383,405,435,427,425,446,478,479,514,506,516,558,582,611,666,652,673,656,699,743
AT12,Niederösterreich,Million EUR,K,1068,998,998,1019,1055,1092,1190,1310,1388,1266,1207,1346,1262,1406,1408,1500,1532,1654,1658,1744
AT12,Niederösterreich,Million EUR,L,2544,2678,2797,2954,3275,3675,3727,3857,3996,4071,4296,4442,4713,4861,5061,5351,5614,5826,6059,6232
AT12,Niederösterreich,Million EUR,M-N,1355,1399,1514,1616,1760,1953,2069,2282,2606,2432,2582,2781,3032,3203,3324,3466,3698,3905,4060,4301
AT12,Niederösterreich,Million EUR,O-Q,4894,4986,5127,5345,5491,5640,6015,6232,6621,6978,7214,7433,7676,7786,7963,8199,8534,8935,9293,9611
AT12,Niederösterreich,Million EUR,R-U,682,720,720,762,815,864,868,924,1001,1003,1035,1055,1079,1118,1154,1182,1209,1265,1307,1385
AT13,Wien,Million EUR,A,31,36,35,37,40,34,37,42,41,29,33,24,17,24,23,25,34,34,44,51
AT13,Wien,Million EUR,B-E,7320,7451,7423,7437,7480,7439,8212,7975,8332,8317,8104,7620,7679,8035,7663,7825,9098,8736,8522,7785
AT13,Wien,Million EUR,F,2909,2846,2827,2959,2950,2880,2960,3140,3420,3243,3154,3153,3304,3375,3419,3372,3462,3624,3977,4113
AT13,Wien,Million EUR,G-I,12268,12471,12707,12739,12887,13627,14347,15255,15583,15143,15777,16609,16880,16646,17032,17272,18082,17392,18760,19370
AT13,Wien,Million EUR,J,4300,5147,5521,5649,5457,5630,5679,5730,5821,5635,5577,5940,5838,6056,6333,6543,7101,7324,8020,8379
AT13,Wien,Million EUR,K,3821,3712,3967,3744,3989,4252,4579,5018,4832,4589,5019,5354,4786,4905,5000,5149,4896,4987,5129,5358
AT13,Wien,Million EUR,L,3867,4096,4246,4456,4923,5123,5493,5552,5670,5743,5999,6375,6708,6920,7143,7410,7700,8185,8469,8601
AT13,Wien,Million EUR,M-N,5344,5716,6312,6393,6732,7351,8052,8772,9437,9342,9547,10105,10488,10605,11042,11567,12121,12550,13213,13946
AT13,Wien,Million EUR,O-Q,9506,9867,10028,10357,10701,11010,11467,11862,12505,13045,13431,13716,14123,14344,14747,15346,16122,16519,17127,17849
AT13,Wien,Million EUR,R-U,2092,2138,2236,2243,2382,2544,2568,2710,2870,2916,2970,3070,3128,3155,3211,3335,3388,3486,3551,3718
AT21,Kärnten,Million EUR,A,283,289,290,235,252,250,279,311,281,251,289,323,338,320,309,307,299,358,321,292
AT21,Kärnten,Million EUR,B-E,2696,2810,2843,2898,3121,3327,3459,3740,3647,3292,3490,3828,3924,3972,4101,4108,4315,4520,4968,5091
AT21,Kärnten,Million EUR,F,945,909,959,1076,1059,1086,1136,1217,1234,1179,1128,1145,1215,1189,1179,1170,1227,1309,1357,1385
AT21,Kärnten,Million EUR,G-I,2393,2454,2547,2592,2689,2799,2907,3099,3256,3269,3346,3526,3448,3485,3598,3598,3674,3754,3877,3949
AT21,Kärnten,Million EUR,J,172,190,184,189,193,207,247,260,269,251,250,280,259,250,273,273,269,273,274,285
AT21,Kärnten,Million EUR,K,656,626,624,655,636,640,657,771,766,642,654,707,659,608,639,668,629,672,689,723
AT21,Kärnten,Million EUR,L,775,820,880,915,997,1108,1159,1207,1244,1241,1261,1325,1386,1435,1480,1529,1567,1603,1678,1712
AT21,Kärnten,Million EUR,M-N,665,680,693,693,703,787,914,1010,1117,956,1053,1118,1094,1155,1207,1273,1257,1354,1418,1538
AT21,Kärnten,Million EUR,O-Q,2188,2201,2260,2320,2404,2437,2535,2665,2806,2937,2929,2998,3092,3142,3233,3344,3361,3477,3614,3716
AT21,Kärnten,Million EUR,R-U,275,266,296,307,318,309,302,334,356,379,374,389,399,402,414,423,431,437,446,470
AT22,Steiermark,Million EUR,A,659,684,675,675,668,670,719,840,819,684,789,923,934,855,841,852,797,945,954,853
AT22,Steiermark,Million EUR,B-E,6952,7584,7411,7717,8004,8225,8834,9797,9648,8799,8967,9721,10253,9828,10265,10420,11195,11606,11976,12637
AT22,Steiermark,Million EUR,F,1924,1860,1874,1947,2114,2280,2214,2344,2457,2367,2394,2456,2486,2549,2722,2704,2794,2953,3091,3283
AT22,Steiermark,Million EUR,G-I,4467,4561,4744,4806,5116,5333,5642,5845,6196,6259,6424,6596,6855,6942,7109,7175,7426,7608,7750,7992
AT22,Steiermark,Million EUR,J,367,394,396,390,393,462,479,519,526,520,528,581,635,712,790,782,822,862,930,1003
AT22,Steiermark,Million EUR,K,1192,1118,1114,1106,1174,1203,1316,1461,1489,1271,1209,1241,1263,1319,1297,1389,1402,1472,1499,1586
AT22,Steiermark,Million EUR,L,1919,1951,2080,2171,2360,2598,2780,2927,3067,3120,3136,3235,3323,3550,3687,3760,3904,4065,4233,4461
AT22,Steiermark,Million EUR,M-N,1413,1519,1576,1630,1814,1958,2088,2220,2325,2258,2478,2770,2898,3150,3212,3395,3544,3870,3836,4045
AT22,Steiermark,Million EUR,O-Q,4766,4857,4976,5125,5295,5429,5641,5877,6226,6518,6696,6755,6884,6955,7199,7507,7765,7953,8245,8511
AT22,Steiermark,Million EUR,R-U,550,568,627,657,732,755,746,800,836,848,857,897,912,944,983,1009,971,1030,1068,1133
AT31,Oberösterreich,Million EUR,A,775,807,738,714,765,709,761,878,867,720,792,912,964,857,896,782,781,977,903,939
AT31,Oberösterreich,Million EUR,B-E,10638,11026,10853,11031,11534,12639,13430,14305,15002,13586,14541,15619,15999,16436,16834,17257,18037,18294,19475,19658
AT31,Oberösterreich,Million EUR,F,2639,2537,2633,2877,2915,2898,2989,3341,3418,3394,3186,3348,3380,3480,3568,3608,3706,3973,4120,4257
AT31,Oberösterreich,Million EUR,G-I,5696,5954,6283,6296,6502,6891,7288,7576,7927,7845,8096,8602,8713,8694,9158,9394,9563,9929,10341,10680
AT31,Oberösterreich,Million EUR,J,472,507,535,590,592,644,698,714,728,736,780,894,988,1032,1094,1152,1259,1255,1381,1563
AT31,Oberösterreich,Million EUR,K,1342,1256,1265,1358,1305,1372,1494,1616,1728,1625,1499,1625,1623,1773,1759,1860,1894,1952,2090,2129
AT31,Oberösterreich,Million EUR,L,2569,2692,2796,2902,3127,3387,3513,3583,3660,3683,3929,4118,4195,4626,4696,4868,4961,5291,5562,5748
AT31,Oberösterreich,Million EUR,M-N,1946,2271,2339,2534,2709,2931,3160,3424,3803,3633,3600,3867,4097,4303,4571,4588,4838,5053,5509,5679
AT31,Oberösterreich,Million EUR,O-Q,4804,4960,5166,5363,5507,5633,5827,6071,6398,6723,6857,6953,7125,7221,7393,7739,8051,8323,8527,8866
AT31,Oberösterreich,Million EUR,R-U,575,583,633,672,679,709,770,831,876,877,905,919,948,965,1009,1059,1097,1151,1188,1213
AT32,Salzburg,Million EUR,A,161,160,155,185,165,171,183,196,199,167,173,211,229,214,220,212,214,241,208,206
AT32,Salzburg,Million EUR,B-E,2948,3059,3033,3061,3211,3263,3510,3898,3660,3291,3639,3736,3987,3851,3812,4104,4445,4600,4711,4917
AT32,Salzburg,Million EUR,F,949,963,977,1020,1105,1130,1141,1243,1268,1211,1215,1246,1320,1377,1346,1345,1411,1473,1501,1591
AT32,Salzburg,Million EUR,G-I,3992,4139,4442,4573,4801,5076,5495,5816,6184,6101,6451,6889,6956,6875,7146,7357,7639,7736,8085,8137
AT32,Salzburg,Million EUR,J,209,228,222,227,227,236,255,285,298,283,312,354,478,490,508,537,559,598,604,642
AT32,Salzburg,Million EUR,K,760,735,733,728,778,814,887,961,958,881,809,874,906,935,1023,1046,1006,1039,1081,1225
AT32,Salzburg,Million EUR,L,1145,1175,1216,1229,1293,1442,1494,1596,1621,1638,1763,1848,1953,2036,2122,2242,2355,2439,2568,2616
AT32,Salzburg,Million EUR,M-N,856,901,933,1037,1127,1183,1312,1429,1519,1586,1611,1716,1746,1797,1807,1946,2053,2189,2307,2472
AT32,Salzburg,Million EUR,O-Q,2243,2315,2358,2355,2458,2508,2591,2719,2818,2914,2987,3048,3125,3210,3273,3423,3583,3637,3808,3932
AT32,Salzburg,Million EUR,R-U,337,338,356,371,404,443,496,519,537,510,524,530,556,570,606,623,643,711,726,783
AT33,Tirol,Million EUR,A,189,191,202,202,189,195,214,215,213,174,190,216,235,233,224,218,220,249,227,218
AT33,Tirol,Million EUR,B-E,3462,3724,3759,3845,4007,4471,4923,5405,5019,4817,4807,5080,5530,5526,5834,6112,6087,6179,6451,6580
AT33,Tirol,Million EUR,F,1326,1305,1302,1411,1481,1497,1533,1673,1726,1588,1615,1662,1719,1771,1797,1892,2072,2213,2322,2411
AT33,Tirol,Million EUR,G-I,4915,5135,5362,5521,5756,6045,6418,6629,6996,7095,7291,7707,7936,8154,8377,8803,9177,9424,9946,10244
AT33,Tirol,Million EUR,J,212,232,224,236,234,257,281,278,314,315,307,332,355,365,395,423,434,437,465,507
AT33,Tirol,Million EUR,K,906,856,851,869,881,906,985,1065,1119,1028,930,965,951,996,985,988,1009,1041,1065,1138
AT33,Tirol,Million EUR,L,1285,1317,1389,1426,1565,1722,1813,1809,1877,1878,1914,2047,2145,2282,2363,2483,2580,2744,2856,2905
AT33,Tirol,Million EUR,M-N,791,910,998,1071,1019,1076,1138,1228,1306,1287,1373,1471,1500,1571,1637,1674,1859,1889,2005,2196
AT33,Tirol,Million EUR,O-Q,2625,2700,2815,2909,3015,3107,3286,3374,3537,3709,3833,3969,4132,4267,4384,4564,4764,4911,5069,5295
AT33,Tirol,Million EUR,R-U,330,341,360,377,396,431,454,488,509,525,541,569,583,622,640,664,657,689,714,764
AT34,Vorarlberg,Million EUR,A,57,56,64,59,65,68,77,77,72,70,70,80,83,84,98,95,93,86,96,82
AT34,Vorarlberg,Million EUR,B-E,2654,2895,3050,3010,3188,3279,3470,3771,3870,3674,3846,4180,4264,4417,4693,4853,4854,4999,5091,5263
AT34,Vorarlberg,Million EUR,F,700,682,661,703,740,792,813,884,873,828,824,823,837,876,916,982,1065,1144,1194,1187
AT34,Vorarlberg,Million EUR,G-I,1907,1926,2018,2076,2187,2373,2465,2565,2696,2634,2748,2884,2972,3005,3269,3825,3597,3834,4722,3897
AT34,Vorarlberg,Million EUR,J,122,143,138,140,145,143,144,154,166,157,152,165,159,176,175,185,185,186,197,222
AT34,Vorarlberg,Million EUR,K,499,473,474,468,496,491,541,601,608,554,536,568,548,566,550,571,548,585,592,631
AT34,Vorarlberg,Million EUR,L,773,800,866,864,947,1019,1111,1137,1101,1116,1135,1251,1260,1317,1368,1451,1483,1629,1707,1771
AT34,Vorarlberg,Million EUR,M-N,432,496,513,549,505,558,611,700,783,708,713,750,788,851,825,890,939,1010,1015,1079
AT34,Vorarlberg,Million EUR,O-Q,1193,1258,1281,1284,1351,1385,1436,1480,1575,1651,1664,1702,1764,1854,1924,2008,2103,2185,2264,2343
AT34,Vorarlberg,Million EUR,R-U,174,186,194,200,206,216,239,254,278,291,289,291,303,323,333,337,349,363,373,414
BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Million EUR,A,1.6,1.5,1.4,1.2,5.3,3.9,4.4,6.1,2.5,10.9,10.3,9.8,11.5,8.1,15.2,16.5,14.9,13.7,12.2,12.2
BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Million EUR,B-E,4040.7,4321.8,4416.1,4647.4,5043,5185,5176.5,5081.4,5259.2,4023.8,4609.7,4520.1,4088.2,4063.2,3776.6,4504.3,4199.2,4064.6,3331.1,4065.7
BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Million EUR,F,1136.5,1242.6,1119.4,1175.6,1327,1232.6,1613.8,1579.8,1707.1,1648.4,1639.9,1509.1,1609.5,1575.7,1607.9,1663.4,1787.7,1725.7,1886.5,1914.2
BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Million EUR,G-I,6829.3,7519,8148.6,9112.5,9206.3,9975.3,10378.3,10855,11050.8,10451.5,11155.5,11647,11476.3,11430,11700.6,11446.4,11490.6,11417.6,11997.5,12414.4
BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Million EUR,J,4302.7,4854,5068.6,5197.6,5265.6,5246.4,5353,5489.1,5211.5,5184.6,5016.4,5173,5267.5,5089.6,4975.4,5354.8,5254.8,5542.4,5784.2,5803.1
BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Million EUR,K,8351.2,7978.8,8438.8,8044.6,8954.6,8631.4,8844.2,8822.1,8049.7,10377.8,11511.9,11491.4,12553.7,12241.3,13212.3,13870,13927.2,14589,15016.7,15230.5
BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Million EUR,L,2729.7,2797,2810.1,2912.2,2853.6,3231.7,3540.9,3721.9,3954.1,3840.4,3830.2,4182.9,4493.3,4714.8,4803.7,5046.2,5132.4,5357.9,5422.5,5506.7
BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Million EUR,M-N,5533.2,5853.7,5878.8,6201.2,6583,6746.4,7249.2,8143.1,8393.1,8311.9,8274,8487.6,8646.5,9059.2,9460.9,10111.1,10573.6,11045.5,11381.6,12145.2
BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Million EUR,O-Q,9003.2,9279.8,9755.3,10113.3,10484.7,11114.3,11384.1,12005.6,12753.3,13141.6,13802.9,14652.8,15394.1,16032.6,16418.6,16468.4,16840.9,17255,17743.7,18391.2
BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Million EUR,R-U,1446.1,1450.2,1532.9,1571.4,1689.3,1760.3,1868.8,1938.5,1976.6,1741.4,1799.1,1890.9,1957.1,2026.7,2072.9,2185.7,2294.4,2371.9,2534.1,2593.7
BE21,Prov. Antwerpen,Million EUR,A,480.1,480,471,498,507.9,406.8,492.9,534.4,412.2,396.7,507.5,383,495.4,448,466.8,528.9,507.8,573.3,570.8,659.3
BE21,Prov. Antwerpen,Million EUR,B-E,13425.7,13294,13275.2,13313.9,13914.8,14754.5,14281.4,15076.3,13971.4,13636.3,14352.1,15532.9,15750.1,15868,16084.2,17180.1,17456.4,17969.4,18149.3,18947
BE21,Prov. Antwerpen,Million EUR,F,2232.9,2269.3,2316.5,2353,2512.3,2540.9,2840.7,3134.4,3384.9,3177.7,3283.4,3490,3524.5,3456.7,3600.1,3583.9,3651.1,3752.4,4199.3,4285
BE21,Prov. Antwerpen,Million EUR,G-I,8641.1,9142.9,10039.3,10432.1,11433.1,12554.2,12894.6,13667.4,14749.5,13476,14257.8,14229.6,14035.6,13929.1,14352.3,14911.9,15460.1,15468.7,15856,16400.9
BE21,Prov. Antwerpen,Million EUR,J,1234.5,1375.6,1489.4,1431.8,1638,1686.8,1794.2,2006.6,2139.7,2480.6,2480.8,2619.9,2819.7,2907.4,3023.7,3023.4,3212.2,3629.9,3631.5,4127.8
BE21,Prov. Antwerpen,Million EUR,K,1748.7,1679.4,1713.7,1648.4,1776.5,1901.1,2039.4,1977.2,1894.6,2270.5,2487.9,2402.2,2467.1,2427.1,2540.2,3003.3,3088.6,3300.8,3440.4,3525.2
