"NUTS","Name","Country","Year","GDP_growth","GDP_capita","Labor_Prodx","Wage_EUR","Activity_rate","NEET_share","Life_exp","Fertility_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3","inv_rate","GVA_agriculture","GVA_industry","GVA_construction","GVA_services","GVA_public","GFCF_share","Pop_growth","emp_rate","unemp_rate","Employment_rate","Unemployment_rate","Migration_rate","Candidates","CEE","Capital","Coastal","Island","Objective_1","Eurozone","Output_density","Employment_density","Population_density","Dist_BRUX"
"SE31","Norra Mellansverige","Sweden",2019,0.00529508162837206,30757.4148227424,83438.12,3528.19166666667,0.707,0.099,82.7,1.78,0.174,0.49,0.336,0.228420532023881,0.0334899494824602,0.252817324336736,0.0755537499558413,0.357321510580422,0.280820998339633,0.202861947580114,0.00325754265787837,0.656,0.073,0.446005333383149,0.037128192674304,0.00360540437038525,0,0,0,1,0,0,0,0.36786590402277,0.00533432852239108,0.0119602348293188,1031.2468366485
"SE32","Mellersta Norrland","Sweden",2008,0.0220396467764549,31354.8150281414,71836.31,2959.80333333333,0.68,0.092,80.7,1.99,0.194,0.523,0.283,0.310606940288509,0.0520923585369122,0.240596668304229,0.059229154571033,0.377544549149212,0.270546201598857,0.275041128828145,-0.00098464227811153,0.631,0.071,0.475254369099825,0.0359141085740209,0.00122053962973364,0,0,0,1,0,0,0,0.151426736234463,0.00229522062016201,0.00482945716945089,1317.36472293195
"SE32","Mellersta Norrland","Sweden",2009,-0.0227706518566643,30640.8454511055,67479.17,2758.71583333333,0.672,0.109,80.6,1.95,0.197,0.511,0.291,0.24572034237261,0.0552455803535717,0.224572034237261,0.0580053595712343,0.385339172866171,0.276837852971762,0.216768843999471,-0.00093970750253829,0.612,0.089,0.454078598843181,0.0443267203632629,0.00068111789826477,0,0,0,1,0,0,0,0.14783959409356,0.00219089241015465,0.00482491889231557,1317.36472293195
"SE32","Mellersta Norrland","Sweden",2010,0.0741398219824242,32912.5522782414,83304.58,3180.21333333333,0.681,0.122,80.7,2.05,0.203,0.5,0.297,0.213724879520047,0.057887748746025,0.252622692849884,0.0573468183457365,0.377782513195423,0.254376618693243,0.188572957493889,-0.00126223039083194,0.611,0.103,0.449239945549954,0.0522309093320127,0.00043029609242435,0,0,0,1,0,0,0,0.15859995259661,0.0021648103576528,0.00481882873305639,1317.36472293195
"SE32","Mellersta Norrland","Sweden",2011,-0.0179926232753753,32320.3691240679,85490.59,3399.47083333333,0.689,0.1,80.7,1.96,0.187,0.521,0.293,0.219845026636047,0.0552170720657387,0.240896095983503,0.0620205902110575,0.376279077033635,0.265579353548609,0.194803397033479,-0.00169953425183958,0.628,0.088,0.458137359881806,0.0450004744025916,-0.00036867858546701,0,0,0,1,0,0,0,0.155481627186834,0.00220393343640557,0.00481063896857081,1317.36472293195
"SE32","Mellersta Norrland","Sweden",2012,-0.00147358699354296,32272.7422485002,87306.59,3592.95333333333,0.679,0.106,81.2,1.88,0.181,0.53,0.289,0.241400785302539,0.0499282291199903,0.214621513036478,0.0582977010533991,0.396729678208234,0.280422878581899,0.214154331260401,-0.00153706439676322,0.622,0.084,0.461557675704147,0.0423547043587335,0.00131136680803002,0,0,0,1,0,0,0,0.155013878375368,0.00221697446265649,0.00480324470668654,1317.36472293195
"SE32","Mellersta Norrland","Sweden",2013,-0.014307836570372,31810.9891267309,87855.35,3687.09916666667,0.683,0.087,80.9,1.87,0.159,0.536,0.305,0.211814855332151,0.0511147157569127,0.210751065675808,0.0615866309555245,0.392742087592893,0.283813044626353,0.187976217577032,0.00022263370239847,0.634,0.072,0.461454940282302,0.0361020629750271,0.00327633007600434,0,0,0,1,0,0,0,0.152829982668864,0.00221697446265649,0.00480431407083912,1317.36472293195
"SE32","Mellersta Norrland","Sweden",2014,0.00795292707291979,32063.9796033732,85854.06,3613.57833333333,0.697,0.072,81.1,1.9,0.153,0.537,0.311,0.221980765674126,0.0473614450403798,0.207408606127859,0.0643995438012453,0.396345786326367,0.284484618704149,0.197366257399693,0.00223127035830619,0.646,0.074,0.46042760182221,0.0379175672088879,0.00506470362004431,0,0,0,1,0,0,0,0.154389145373752,0.00221697446265649,0.00481503379441737,1317.36472293195
"SE32","Mellersta Norrland","Sweden",2015,0.0064857513560168,32271.9386025651,84901.63,3545.91,0.685,0.071,80.9,1.94,0.156,0.523,0.32,0.255680155270414,0.0494308291871409,0.204416272585838,0.0672068269689921,0.391333815986075,0.287627659082857,0.227328443960529,0.00359675208952879,0.636,0.071,0.464174875185535,0.035622722979355,0.00561327756038321,0,0,0,1,0,0,0,0.1559493759983,0.00224305651515833,0.00483235227727859,1317.36472293195
"SE32","Mellersta Norrland","Sweden",2016,0.0010282738704322,32305.1229937783,85056.61,3583.12666666667,0.689,0.08,81.7,1.91,0.155,0.516,0.33,0.274516384939281,0.0535638005736254,0.190745713065235,0.0657380850674315,0.392696954903277,0.297263074388235,0.243163805160846,0.00596410740790717,0.642,0.068,0.466788282004507,0.0346067174589548,0.00903798690846657,0,0,0,1,0,0,0,0.157040789891722,0.00226913856766017,0.00486117294529313,1317.36472293195
