"NUTS","Name","Country","Year","GDP_growth","GDP_capita","Labor_Prodx","Wage_EUR","Activity_rate","NEET_share","Life_exp","Fertility_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3","inv_rate","GVA_agriculture","GVA_industry","GVA_construction","GVA_services","GVA_public","GFCF_share","Pop_growth","Employment_rate","Unemployment_rate","Migration_rate","Candidates","CEE","Capital","Coastal","Island","Objective_1","Eurozone","Output_density","Employment_density","Population_density","Dist_BRUX"
"AL00","Albania","Albania",2008,0.0834059557040309,7.95308662533222,10.1494421425121,5.63167283860079,0.533,0.28166,77.653,1.648,0.607225010455876,0.296999163529904,0.095357590966123,0.391580161476355,0.194204152249135,0.107751389325784,0.182473524169026,0.389640348117857,0.125956799832232,0.339488426530914,-0.00764304617477323,0.46245,0.1306,-0.0132866468520554,1,0,1,1,0,0,0,0.291470846542193,0.0354638896918083,0.102473952320059,1466.27926856516
"AL00","Albania","Albania",2009,0.040279956413407,7.99257649111973,10.0989416652593,5.61009901895182,0.551,0.30734,77.781,1.647,0.592805519053876,0.309351730179588,0.0977879982479194,0.377678452301534,0.194116077384923,0.10927284856571,0.17288859239493,0.384122748498999,0.139613075383589,0.326783879570091,-0.00671457459658266,0.47473,0.13674,-0.0118683668485037,1,0,1,1,0,0,0,0.301175344781717,0.0366321119404797,0.101785883323,1466.27926856516
"AL00","Albania","Albania",2010,0.0422430078024847,8.03395162012328,10.1300101883085,5.53069315292654,0.552,0.2972,77.936,1.656,0.578740369592156,0.320456871935779,0.0997252303216422,0.32680281852245,0.206593603335166,0.138189444607849,0.148726933258309,0.361893678785631,0.144660281084952,0.284051752884423,-0.00495298084050377,0.47426,0.14086,-0.00942832720569304,1,0,1,1,0,0,0,0.312343166950436,0.0368650610198278,0.101281739793067,1466.27926856516
"AL00","Albania","Albania",2011,0.0280337957196189,8.06159966182951,10.0449007395518,5.56057747559154,0.603,0.30011,78.092,1.671,0.561843027330063,0.336370007007708,0.101786965662228,0.337435642950189,0.209589975807952,0.135338998821413,0.146206810991874,0.362855902239315,0.146020718317722,0.293459496784774,-0.00269135573612356,0.51857,0.13481,-0.00684774489792406,1,0,1,1,0,0,0,0.32023513895948,0.0413154314909567,0.10100915460171,1466.27926856516
"AL00","Albania","Albania",2012,0.016152505649573,8.07762310370713,10.112871675588,5.59824080629492,0.573,0.27654,78.064,1.692,0.559577176379434,0.329348608113343,0.111074215507222,0.305727805806071,0.216601847057832,0.133074857617608,0.131449350399152,0.372265234614875,0.146620751104743,0.264878623812057,-0.00164877340208386,0.49371,0.13376,-0.00727589298027858,1,0,1,1,0,0,0,0.324871215226065,0.0399177370148678,0.100842613394236,1466.27926856516
"AL00","Albania","Albania",2013,0.0115881494161251,8.08914462475875,10.2321824812929,5.5569563314649,0.524,0.30978,78.123,1.73,0.562475671467497,0.308457988099872,0.129121948506923,0.298957899124635,0.224283927827071,0.146441969868398,0.117918180194129,0.361888882272375,0.149502769010897,0.260789162008852,-0.00186181216383947,0.44102,0.15866,-0.00709671848013817,1,0,1,1,0,0,0,0.328024013146239,0.0355403804342809,0.100654863389985,1466.27926856516
"AL00","Albania","Albania",2014,0.0193740986223922,8.10833343490615,10.2569148786683,5.7848962666679,0.537,0.31392,78.2,1.79,0.540204955809792,0.327929295667733,0.131919969636176,0.276805314514924,0.229027549507511,0.147769719677727,0.098670221936166,0.371268978358063,0.153286517176779,0.24159861966575,-0.00203799654576857,0.43775,0.18055,-0.00727250700910318,1,0,1,1,0,0,0,0.333697719108072,0.0358324359964487,0.100449729126082,1466.27926856516
"AL00","Albania","Albania",2015,0.0259453024131647,8.13394786874548,10.2393496030316,5.83708723014213,0.557,0.29816,77.9,1.67,0.518134160693271,0.333796940194715,0.148068899112015,0.277957114490776,0.22522102787669,0.14638312977692,0.101412137952455,0.373811663172374,0.153194227206674,0.244120340601313,-0.00290747983801184,0.45955,0.17193,-0.00708404207310723,1,0,1,1,0,0,0,0.341360215319129,0.0374491721441635,0.100157673563914,1466.27926856516
"AL00","Albania","Albania",2016,0.0349430983250417,8.16829431648776,10.2239469074097,5.84634282421181,0.575,0.27391,78.5,1.56,0.530131729073748,0.326677730525879,0.143138678560315,0.277893617021277,0.226382978723404,0.139574468085106,0.101531914893617,0.377159574468085,0.155393617021277,0.243679919401481,-0.00159683410282223,0.48477,0.15418,-0.00321650846632593,1,0,1,1,0,0,0,0.352724255923807,0.0397195564548253,0.0999977383751078,1466.27926856516
"AL00","Albania","Albania",2017,0.0388098211174816,8.20636997154052,10.2625020076831,5.8999433040336,0.583,0.26228,78.5,1.48,0.521997621878716,0.323476192938014,0.154577883472057,0.281373490873436,0.217759906505957,0.128455268448732,0.104606364329646,0.3851677247472,0.164000831938516,0.245780380825497,-0.0009179096693439,0.50152,0.13616,-0.00514988898401231,1,0,1,1,0,0,0,0.366077086777711,0.0410233759287889,0.0999059494841408,1466.27926856516
"AL00","Albania","Albania",2018,0.0426147154959248,8.24810167902252,10.3237713199525,5.98266744229897,0.594,0.26614,78.9,1.37,0.50115692048801,0.330458561211611,0.168384518300379,0.272825311942959,0.210713012477718,0.140579322638146,0.10270944741533,0.383520499108734,0.162477718360071,0.23862644215778,-0.00246392850431188,0.52,0.12304,-0.00521145137769591,1,0,1,1,0,0,0,0.380736931959281,0.0427374639305596,0.0996597883674565,1466.27926856516
"AL00","Albania","Albania",2019,0.0252630376175772,8.27305088075701,10.3680023959189,6.05401446517511,0.604,0.25824,79.1,1.36666666666667,0.492855287087555,0.330215640426085,0.176877110937906,0.255233501060423,0.21036303904853,0.137871667983532,0.0980080675344118,0.393263192913877,0.160485715473864,0.223117302351282,-0.004252750856481,0.53392,0.11466,-0.00805692683388282,1,0,1,1,0,0,0,0.388695418692378,0.043832672288689,0.09923596011712,1466.27926856516
"AT11","Burgenland","Austria",2008,0.00275880318968402,10.0520758327975,10.9866196387557,7.92294851839679,0.65,0.082,80,1.31,0.211,0.648,0.141,0.281872162067761,0.039119804400978,0.194725812085225,0.0957038071952497,0.435906391896612,0.234544184421935,0.25179407176287,0.00488020504703748,0.558,0.042,0.00940792507715776,0,0,0,0,0,0,1,1.65401387029801,0.0274364646893764,0.071281705357496,916.141835035685
"AT11","Burgenland","Austria",2009,-0.0197787723568715,10.032098842497,10.9915374213962,7.94359104883001,0.651,0.081,80.9,1.27,0.196,0.653,0.151,0.271602787456446,0.0334494773519164,0.194076655052265,0.0926829268292683,0.435540069686411,0.244250871080139,0.242020615996026,0.00468267764021427,0.555,0.05,0.00617209844285159,0,0,0,0,0,0,1,1.62889152942938,0.0274364646893764,0.0716154946053299,916.141835035685
"AT11","Burgenland","Austria",2010,0.0175876767819526,10.0495336459468,11.0251099008846,7.96177167853207,0.648,0.078,80.9,1.28,0.197,0.655,0.148,0.268934316353887,0.0366957104557641,0.200234584450402,0.0899798927613941,0.430630026809651,0.242459785522788,0.239609458975278,0.00328378235231807,0.557,0.04,0.00632082776096291,0,0,0,0,0,0,1,1.66298294758859,0.0275881870747555,0.0718506643026674,916.141835035685
"AT11","Burgenland","Austria",2011,0.026436019086428,10.075626272291,11.0402629440027,7.9704735150209,0.641,0.076,81.2,1.28,0.197,0.655,0.148,0.27456,0.03968,0.19632,0.0896,0.43872,0.23568,0.244702392835753,0.00366720630675019,0.551,0.038,0.00733215981373298,0,0,0,0,0,0,1,1.71320531818833,0.02844794725857,0.0721141555119424,916.141835035685
"AT11","Burgenland","Austria",2012,0.0140511200415785,10.0895795904315,11.0796244580696,7.99478659969741,0.647,0.08,80.6,1.3,0.188,0.672,0.139,0.29646017699115,0.0419591089411047,0.194537686908758,0.0906316753127861,0.441562404638389,0.23146170277693,0.263801015559236,0.00369939196723496,0.551,0.046,0.00718285895953353,0,0,0,0,0,0,1,1.74370464320381,0.0287261049650983,0.0723809340395672,916.141835035685
"AT11","Burgenland","Austria",2013,0.0115167679535624,10.1010305452342,11.0950677345416,8.02004855470611,0.639,0.087,81.1,1.27,0.185,0.656,0.158,0.273593331348616,0.0321524263173564,0.20333432569217,0.0921405180113129,0.440905031259303,0.231318844894314,0.243789211199979,0.00285777170666266,0.546,0.043,0.00638901952587483,0,0,0,0,0,0,1,1.76882698407244,0.0289536885431668,0.0725877822249673,916.141835035685
"AT11","Burgenland","Austria",2014,0.00115069369453369,10.1021805773881,11.1045088554639,8.04268128179549,0.64,0.089,81.4,1.33,0.168,0.575,0.257,0.274373460814139,0.0305664203969289,0.193973634651601,0.0934376358105172,0.451542807475011,0.230479501665942,0.244794561269726,0.00289491560850708,0.543,0.048,0.0067665673217871,0,0,0,0,0,0,1,1.77598885922238,0.0294341427635338,0.0727979177287173,916.141835035685
"AT11","Burgenland","Austria",2015,0.00384340643453199,10.1060166168064,11.1335696727713,8.0486407753178,0.641,0.081,81.2,1.37,0.153,0.562,0.285,0.264537721377772,0.0361176962766699,0.191883977130107,0.0910612187979361,0.447496862362293,0.233440245432994,0.235927667089521,0.00624552774362074,0.538,0.052,0.0127863465017053,0,0,0,0,0,0,1,1.79394932494108,0.029712300470062,0.0732525791435698,916.141835035685
"AT11","Burgenland","Austria",2016,0.00875518737692304,10.1147336997763,11.1630710652903,8.0709571291519,0.645,0.106,81.4,1.41,0.165,0.557,0.279,0.254262317089542,0.0296684118673647,0.19224056920392,0.0955832997717814,0.448650825614176,0.233856893542757,0.2267774611461,0.00618950304469698,0.536,0.057,0.00631610727433039,0,0,0,0,0,0,1,1.82085655681282,0.0299651711123604,0.0737059762052108,916.141835035685
"AT11","Burgenland","Austria",2017,0.0315322503646896,10.1457790183181,11.1867400966265,8.08945103214866,0.652,0.08,81.5,1.36,0.148,0.572,0.28,0.281929260450161,0.0396141479099678,0.188681672025723,0.0905466237942122,0.449131832797428,0.232154340836013,0.251439583381128,0.00285785842450691,0.544,0.052,0.0064520543258869,0,0,0,0,0,0,1,1.88364009784687,0.0305467735896468,0.0739166174502454,916.141835035685
"AT11","Burgenland","Austria",2018,0.00599975714530748,10.1517608485894,11.2035241617106,8.12460432751872,0.647,0.099,81.5,1.38,0.151,0.565,0.284,0.277881853378294,0.0368427625827401,0.183964031472462,0.0941676033470713,0.450355938553765,0.234669664043962,0.248303722881886,0.00254866408949403,0.546,0.042,0.00629574653222091,0,0,0,0,0,0,1,1.89977105028739,0.0308755054246347,0.0741050060787577,916.141835035685
"AT11","Burgenland","Austria",2019,0.00548000629594974,10.1572258942821,11.2193288694928,8.14261246289431,0.642,0.0852392992611539,81.9,1.39,0.151,0.542,0.307,0.286823586508129,0.0316670710992478,0.184663916525115,0.0983984469788886,0.449162824557146,0.236107740839602,0.256321290714317,0.00300626162324478,0.545,0.036,0.00736214686190191,0,0,0,0,0,0,1,1.91592431386545,0.0312800984523121,0.0743277851146226,916.141835035685
