"NUTS","Name","Year","Employment_abs","GDP_EUR","GDP_NCU","GFCF_EUR","GVA_EUR","GVA_NACE_A","GVA_NACE_B-E","GVA_NACE_F","GVA_NACE_G-I","GVA_NACE_J","GVA_NACE_K","GVA_NACE_L","GVA_NACE_M-N","GVA_NACE_O-Q","GVA_NACE_R-U","GVA_NACE_L-M-N","Migration_abs","Population_abs","Pop_growth","Labor_Productivity_abs","Unemployment_abs","Wage_EUR","Wage_NCU","EMP_NACE_A","EMP_NACE_B-E","EMP_NACE_F","EMP_NACE_G-I","EMP_NACE_J","EMP_NACE_K","EMP_NACE_L","EMP_NACE_M-N","EMP_NACE_O-Q","EMP_NACE_R-U","EMP_NACE_L-M-N","GDP_growth"
"AL00","Albania","2009",1053600,9055900000,1143936500000,2830700000,7.495e+09,1454900000,8.19e+08,1295800000,1445700000,4.03e+08,205900000,5.73e+08,251400000,861800000,184600000,824400000,-34745,2927530,-0.00671457459658266,24317.26,NA,273.1712858,36075,511223,116288,115159,211144,NA,10311,16135,NA,148151,32131,16135,0.0332949190447393
"AL00","Albania","2010",1060300,9391700000,1239644600000,2555500000,7819700000,1615500000,1080600000,1.163e+09,1483800000,325600000,215400000,554600000,250500000,906400000,224800000,805100000,-27465,2913030,-0.00495298084050377,25084.62,173300,252.3187459,34767,491362,124708,115660,223538,NA,9824,11927,NA,150478,39879,11927,0.0370807981536899
"AL00","Albania","2011",1188300,9.629e+09,1300624100000,2719900000,8060500000,1689400000,1090900000,1178500000,1543900000,313300000,238500000,558500000,270600000,953900000,223100000,829100000,-19894,2905190,-0.00269135573612356,23038.01,192900,259.972921,36482,526412,123184,95546,211210,NA,9699,14127,NA,141502,38797,14127,0.0252669910665801
"AL00","Albania","2012",1148100,9768400000,1.332811e+12,2539100000,8305100000,1798900000,1105200000,1091700000,1.613e+09,300100000,231100000,574600000,372900000,1040500000,177200000,947500000,-21103,2900400,-0.00164877340208386,24658.37,177100,269.9510932,37534,526373,103198,93102,224000,NA,6524,15590,NA,140328,31259,15590,0.0144771004257971
"AL00","Albania","2013",1022200,9863200000,1350052600000,2510200000,8396500000,1883200000,1229600000,990100000,1523700000,269600000,216600000,6.12e+08,416700000,1069100000,186200000,1028700000,-20545,2895000,-0.00186181216383947,27783.08,194000,259.033224,36332,452652,99006,73116,191436,NA,11029,20832,NA,145627,32033,20832,0.00970476229474633
"AL00","Albania","2014",1030600,10033800000,1395304600000,2408400000,8700700000,1992700000,1285700000,858500000,1580500000,278700000,251100000,612400000,507600000,1103800000,229900000,1.12e+09,-21011,2889100,-0.00203799654576857,28478.79,218300,325.3482889,45539,436252,116253,66937,169215,13468,10430,23980,33620,139847,51039,23980,0.017296617730554
"AL00","Albania","2015",1077100,10264200000,1434306500000,2505700000,9014700000,2030300000,1319600000,914200000,1603500000,305200000,2.79e+08,612700000,569400000,1135600000,245400000,1182100000,-20407,2880700,-0.00290747983801184,27982.92,222500,342.7794475,47900,449407,126528,75237,198583,8240,10561,NA,30909,152672,34475,30909,0.0229623871314955
"AL00","Albania","2016",1142400,10605900000,1472479100000,2612200000,9.4e+09,2.128e+09,1.312e+09,954400000,1706700000,330100000,260500000,624800000,623200000,1176400000,284300000,1.248e+09,-9251,2876100,-0.00159683410282223,27555.21,204700,345.9668026,47522,465686,147896,75743,214848,14859,11651,NA,39712,150982,35800,39712,0.0332904658911557
"AL00","Albania","2017",1179900,11007400000,1550645500000,2.841e+09,10096900000,2198700000,1.297e+09,1056200000,1864900000,357200000,288800000,650300000,727800000,1348400000,307500000,1378100000,-14798,2873460,-0.000917909669343903,28638.35,187100,365.0167723,48967,456461,149122,82140,230814,10824,10984,NA,45526,168522,40576,45526,0.0378562875380684
"AL00","Albania","2018",1229200,11448200000,1636731300000,3061100000,1.122e+10,2364200000,1577300000,1152400000,2106100000,367600000,291900000,704400000,833100000,1474700000,348300000,1537500000,-14938,2866380,-0.00246392850431188,30447.87,172800,396.4965906,50589,459778,156596,86155,243807,12541,10722,NA,48743,168548,43962,48743,0.0400457873793993
"AL00","Albania","2019",1260700,11687500000,1691903400000,3068800000,12023500000,2529300000,1657700000,1178400000,2318900000,410400000,298700000,770200000,930200000,1.607e+09,322600000,1700400000,-22996,2854190,-0.004252750856481,31824.84,164000,425.8190391,52380,460878,165713,89067,261915,13682,13035,NA,54368,166446,40478,54368,0.0209028493562307
"AT11","Burgenland","2009",108500,7300800000,NA,1.559e+09,5.74e+09,1.92e+08,1.114e+09,5.32e+08,1.251e+09,9.1e+07,2.68e+08,6.03e+08,2.87e+08,1.232e+09,1.7e+08,8.9e+08,1748,283210,0.00468267764021427,59369.59,7000,2817.46,NA,9800,17100,9800,28900,1500,3300,1300,6300,26000,4500,7600,-0.0151887123317236
"AT11","Burgenland","2010",109100,7453600000,NA,1.605e+09,5.968e+09,2.19e+08,1.195e+09,5.37e+08,1.309e+09,9.6e+07,2.5e+08,6.17e+08,2.98e+08,1.272e+09,1.75e+08,9.15e+08,1796,284140,0.00328378235231807,61396.61,5700,2869.15166666667,NA,9300,17000,9900,29500,1500,3200,1300,6400,26300,4600,7700,0.0209292132369055
"AT11","Burgenland","2011",112500,7678700000,NA,1.716e+09,6.25e+09,2.48e+08,1.227e+09,5.6e+08,1.403e+09,1.13e+08,2.72e+08,6.37e+08,3.17e+08,1.29e+09,1.83e+08,9.54e+08,2091,285182,0.00366720630675019,62334.04,5300,2894.2275,NA,9000,17600,10400,31000,1500,3100,1300,7000,26600,4900,8300,0.0302001717290973
"AT11","Burgenland","2012",113600,7815400000,NA,1.943e+09,6.554e+09,2.75e+08,1.275e+09,5.94e+08,1.489e+09,1.12e+08,2.57e+08,6.91e+08,3.45e+08,1.339e+09,1.78e+08,1.036e+09,2056,286237,0.00369939196723496,64836.53,6500,2965.4575,NA,8300,17700,10600,31400,1400,3200,1300,7300,27300,5000,8600,0.0178024926094261
"AT11","Burgenland","2013",114500,7.928e+09,NA,1.838e+09,6.718e+09,2.16e+08,1.366e+09,6.19e+08,1.491e+09,1.09e+08,2.88e+08,7.11e+08,3.63e+08,1.372e+09,1.82e+08,1.074e+09,1834,287055,0.00285777170666266,65845.59,6000,3041.325,NA,8200,17900,10700,31600,1400,3200,1300,7600,27200,5300,8900,0.0144074519538347
"AT11","Burgenland","2014",116400,7960100000,NA,1.894e+09,6.903e+09,2.11e+08,1.339e+09,6.45e+08,1.527e+09,1.27e+08,3.02e+08,7.58e+08,4.03e+08,1.398e+09,1.93e+08,1.161e+09,1948,287886,0.00289491560850708,66470.19,6800,3110.94333333333,NA,8500,18000,10800,31900,1600,3100,1300,8300,27700,5300,9600,0.0040489404641776
"AT11","Burgenland","2015",117500,8040600000,NA,1.897e+09,7.171e+09,2.59e+08,1.376e+09,6.53e+08,1.536e+09,1.49e+08,3.11e+08,8.03e+08,4.1e+08,1.468e+09,2.06e+08,1.213e+09,3704,289684,0.00624552774362074,68430.21,7400,3129.53833333333,NA,8200,17700,10800,32300,1600,3100,1400,8000,28600,5600,9400,0.0101129382796699
"AT11","Burgenland","2016",118500,8161200000,NA,1.894e+09,7.449e+09,2.21e+08,1.432e+09,7.12e+08,1.592e+09,1.53e+08,3.21e+08,8.47e+08,4.29e+08,1.527e+09,2.15e+08,1.276e+09,1841,291477,0.00618950304469698,70479.07,8100,3200.16333333333,NA,7900,17300,11100,32800,1700,3000,1300,8400,29400,5500,9700,0.0149988806805462
"AT11","Burgenland","2017",120800,8442600000,NA,2.192e+09,7.775e+09,3.08e+08,1.467e+09,7.04e+08,1.668e+09,1.33e+08,3.42e+08,9.09e+08,4.4e+08,1.584e+09,2.21e+08,1.349e+09,1886,292310,0.00285785842450691,72167.14,7500,3259.8975,NA,7800,17800,11400,33700,1600,3000,1400,8300,29800,5800,9700,0.0344802234965446
"AT11","Burgenland","2018",122100,8514900000,NA,2.225e+09,8.007e+09,2.95e+08,1.473e+09,7.54e+08,1.718e+09,1.51e+08,3.53e+08,9.41e+08,4.43e+08,1.651e+09,2.28e+08,1.384e+09,1845,293055,0.00254866408949403,73388.62,5900,3376.53166666667,NA,7400,17600,11700,34400,1900,2900,1400,8400,30600,5700,9800,0.00856371260038377
"AT11","Burgenland","2019",123700,8587300000,NA,2.364e+09,8.242e+09,2.61e+08,1.522e+09,8.11e+08,1.752e+09,1.48e+08,3.61e+08,9.79e+08,4.62e+08,1.704e+09,2.42e+08,1.441e+09,2164,293936,0.00300626162324478,74557.72,5200,3437.8875,NA,7300,17700,12100,34600,1900,3000,1400,8600,30900,6200,10000,0.00850274225181729
"AT12","Niederösterreich","2009",666800,50435800000,NA,1.0938e+10,4.0277e+10,1.016e+09,9.948e+09,3.116e+09,9.941e+09,5.06e+08,1.266e+09,4.071e+09,2.432e+09,6.978e+09,1.003e+09,6.503e+09,5256,1604429,0.00324968484872739,67786.56,37500,3101.555,NA,48600,118400,49000,191600,8600,18000,6400,55900,143200,27000,62300,-0.0300509246438352
"AT12","Niederösterreich","2010",667600,50705200000,NA,1.0319e+10,4.1239e+10,1.196e+09,9.843e+09,3.07e+09,1.0279e+10,5.16e+08,1.207e+09,4.296e+09,2.582e+09,7.214e+09,1.035e+09,6.878e+09,5369,1607687,0.00203062896519572,69331.74,31700,3171.25916666667,NA,47700,115300,49300,193000,8700,17600,6400,56400,145300,27200,62800,0.00534144397431983
"AT12","Niederösterreich","2011",678200,52160100000,NA,1.1616e+10,4.3236e+10,1.412e+09,1.0433e+10,3.083e+09,1.0694e+10,5.58e+08,1.346e+09,4.442e+09,2.781e+09,7.433e+09,1.055e+09,7.223e+09,6835,1611966,0.00266158773442841,71529.52,36900,3225.0425,NA,47700,116600,50200,197100,9000,17700,6600,59400,146200,27900,66000,0.0286933095619384
"AT12","Niederösterreich","2012",683300,52160100000,NA,1.174e+10,4.4316e+10,1.224e+09,1.0745e+10,3.173e+09,1.0829e+10,5.82e+08,1.262e+09,4.713e+09,3.032e+09,7.676e+09,1.079e+09,7.745e+09,6840,1616525,0.00282822342406726,72885.41,37600,3311.66,NA,45300,117400,51000,198900,8700,17500,6800,61000,148200,28600,67800,0
"AT12","Niederösterreich","2013",686600,52375600000,NA,1.2726e+10,4.4972e+10,1.262e+09,1.0702e+10,3.308e+09,1.0715e+10,6.11e+08,1.406e+09,4.861e+09,3.203e+09,7.786e+09,1.118e+09,8.064e+09,9394,1622041,0.00341225777516587,73507.33,40900,3372.00666666667,NA,44700,118100,51100,199500,8900,17200,7100,62000,149200,28900,69100,0.00413151048406732
"AT12","Niederösterreich","2014",693700,5.313e+10,NA,1.235e+10,4.6438e+10,1.177e+09,1.1001e+10,3.367e+09,1.1316e+10,6.66e+08,1.408e+09,5.061e+09,3.324e+09,7.963e+09,1.154e+09,8.385e+09,13234,1631160,0.00562192940868942,75031.54,42500,3436.7075,NA,46100,117400,51900,202000,9300,17200,7200,63000,150700,29100,70200,0.0144036536096961
"AT12","Niederösterreich","2015",698000,53884400000,NA,1.2888e+10,4.8057e+10,1.14e+09,1.144e+10,3.446e+09,1.1681e+10,6.52e+08,1.5e+09,5.351e+09,3.466e+09,8.199e+09,1.182e+09,8.817e+09,19572,1645236,0.00862944162436548,77198.22,44000,3487.2375,NA,43400,117900,52000,203500,9100,16800,7100,64800,153400,29800,71900,0.0141991341991342
"AT12","Niederösterreich","2016",704600,5.4531e+10,NA,1.2744e+10,4.9564e+10,1.311e+09,1.169e+10,3.506e+09,1.1798e+10,6.73e+08,1.532e+09,5.614e+09,3.698e+09,8.534e+09,1.209e+09,9.312e+09,13599,1659724,0.00880603147511968,78868.61,44000,3579.18333333333,NA,42600,118700,52800,205000,9100,16000,7500,66300,156100,30400,73800,0.0119997624544395
"AT12","Niederösterreich","2017",716300,56470800000,NA,1.3559e+10,5.1913e+10,1.275e+09,1.2312e+10,3.756e+09,1.233e+10,6.56e+08,1.654e+09,5.826e+09,3.905e+09,8.935e+09,1.265e+09,9.731e+09,6896,1668212,0.0051141033087429,81261.94,41400,3638.11583333333,NA,41600,118400,54200,209200,9600,15800,7500,69900,159000,31200,77400,0.0355724266930737
"AT12","Niederösterreich","2018",727200,57710100000,NA,1.4432e+10,5.4035e+10,1.307e+09,1.2736e+10,4.01e+09,1.2904e+10,6.99e+08,1.658e+09,6.059e+09,4.06e+09,9.293e+09,1.307e+09,1.0119e+10,9624,1674106,0.00353312408734621,83156.41,32000,3750.33,NA,38800,121400,55400,212200,9800,15500,7500,73200,161800,31400,80700,0.021945855203043
"AT12","Niederösterreich","2019",735900,5.9165e+10,NA,1.6255e+10,5.6309e+10,1.278e+09,1.331e+10,4.297e+09,1.3408e+10,7.43e+08,1.744e+09,6.232e+09,4.301e+09,9.611e+09,1.385e+09,1.0533e+10,9542,1680917,0.00406844011072178,85622.64,34300,3841.54583333333,NA,37100,123800,57800,215000,10100,15400,7800,75300,161400,31900,83100,0.0252104917510107
"AT13","Wien","2009",923500,84840500000,NA,1.6918e+10,6.8001e+10,2.9e+07,8.317e+09,3.243e+09,1.5143e+10,5.635e+09,4.589e+09,5.743e+09,9.342e+09,1.3045e+10,2.916e+09,1.5085e+10,9038,1685065,0.00560191158444522,82634.32,72600,3758.37583333333,NA,1100,76200,48100,232900,50300,44900,23400,149900,241100,55600,173300,-0.0121949657635127
"AT13","Wien","2010",934100,86062400000,NA,1.6858e+10,6.9611e+10,3.3e+07,8.104e+09,3.154e+09,1.5777e+10,5.577e+09,5.019e+09,5.999e+09,9.547e+09,1.3431e+10,2.97e+09,1.5546e+10,11158,1696425,0.00674157970167323,83642.07,69600,3761.5825,NA,1100,74700,48400,234000,50900,45100,23400,154000,246100,56400,177400,0.0144023196468668
"AT13","Wien","2011",948200,87720900000,NA,1.8165e+10,7.1967e+10,2.4e+07,7.62e+09,3.153e+09,1.6609e+10,5.94e+09,5.354e+09,6.375e+09,1.0105e+10,1.3716e+10,3.07e+09,1.648e+10,11977,1709970,0.00798443786197445,85159.09,67600,3826.33833333333,NA,1200,73100,50200,237400,54100,45000,23200,158200,249600,56300,181400,0.0192709011136106
"AT13","Wien","2012",966700,87633600000,NA,1.8265e+10,7.295e+10,1.7e+07,7.679e+09,3.304e+09,1.688e+10,5.838e+09,4.786e+09,6.708e+09,1.0488e+10,1.4123e+10,3.128e+09,1.7196e+10,22301,1729165,0.0112253431346749,84805.7,76300,3903.73166666667,NA,1200,71900,51200,241900,55000,44600,24000,165400,254100,57400,189400,-0.000995201827614628
"AT13","Wien","2013",969500,87197100000,NA,1.8502e+10,7.4063e+10,2.4e+07,8.035e+09,3.375e+09,1.6646e+10,6.056e+09,4.905e+09,6.92e+09,1.0605e+10,1.4344e+10,3.155e+09,1.7525e+10,23141,1753996,0.0143601102266123,85732.53,81100,3959.51,NA,1100,70700,50700,241300,55900,43900,24200,168600,255300,57700,192800,-0.00498096620474339
"AT13","Wien","2014",979500,86760700000,NA,1.8827e+10,7.5613e+10,2.3e+07,7.663e+09,3.419e+09,1.7032e+10,6.333e+09,5e+09,7.143e+09,1.1042e+10,1.4747e+10,3.211e+09,1.8185e+10,27345,1782042,0.0159897742070107,86523.5,89500,4017.01083333333,NA,1200,69400,51300,245700,57300,43700,23600,170100,259400,57800,193700,-0.00500475359845683
"AT13","Wien","2015",988700,87284400000,NA,1.9302e+10,7.7845e+10,2.5e+07,7.825e+09,3.372e+09,1.7272e+10,6.543e+09,5.149e+09,7.41e+09,1.1567e+10,1.5346e+10,3.335e+09,1.8977e+10,39484,1818782,0.0206167980328185,88282.02,95300,4074.7225,NA,1200,68400,50800,248800,57200,43100,23100,171800,265000,59300,194900,0.00603614309243701
"AT13","Wien","2016",1008200,89728400000,NA,2.039e+10,8.2004e+10,3.4e+07,9.098e+09,3.462e+09,1.8082e+10,7.101e+09,4.896e+09,7.7e+09,1.2121e+10,1.6122e+10,3.388e+09,1.9821e+10,22583,1853904,0.0193107255295027,91194.53,105800,4170.54083333333,NA,1200,67500,51800,251000,60200,43300,23100,176400,274000,59800,199500,0.0280004216102763
"AT13","Wien","2017",1027400,89990200000,NA,2.1176e+10,8.2836e+10,3.4e+07,8.736e+09,3.624e+09,1.7392e+10,7.324e+09,4.987e+09,8.185e+09,1.255e+10,1.6519e+10,3.486e+09,2.0735e+10,17042,1878179,0.0130939897643028,90403.57,97500,4216.22916666667,NA,1300,66100,53300,253900,61200,42900,23000,183600,281200,61000,206600,0.00291769384052318
"AT13","Wien","2018",1044600,92870600000,NA,2.3435e+10,8.6812e+10,4.4e+07,8.522e+09,3.977e+09,1.876e+10,8.02e+09,5.129e+09,8.469e+09,1.3213e+10,1.7127e+10,3.551e+09,2.1682e+10,5564,1893134,0.0079624998469262,93004.54,96000,4320,NA,1200,66100,55400,257300,64400,43100,23300,190500,282300,61100,213800,0.0320079297523508
"AT13","Wien","2019",1060400,93568900000,NA,2.4358e+10,8.917e+10,5.1e+07,7.785e+09,4.113e+09,1.937e+10,8.379e+09,5.358e+09,8.601e+09,1.3946e+10,1.7849e+10,3.718e+09,2.2547e+10,9915,1904341,0.00591981338880396,94097.62,89400,4435.54583333333,NA,1200,66300,57100,259300,66900,43500,23600,195300,284200,63000,218900,0.00751906416024016
"AT21","Kärnten","2009",255700,17874900000,NA,3.224e+09,1.4398e+10,2.51e+08,3.292e+09,1.179e+09,3.269e+09,2.51e+08,6.42e+08,1.241e+09,9.56e+08,2.937e+09,3.79e+08,2.197e+09,-479,558730,-0.00153505519229291,63190.73,12400,3067.475,NA,18300,41600,19300,69200,3800,8500,3600,21400,59300,10300,25000,-0.0506970445311878
"AT21","Kärnten","2010",256200,18230500000,NA,3.381e+09,1.4774e+10,2.89e+08,3.49e+09,1.128e+09,3.346e+09,2.5e+08,6.54e+08,1.261e+09,1.053e+09,2.929e+09,3.74e+08,2.314e+09,-401,557358,-0.00245556887942298,64723.11,11500,3116.465,NA,18600,41200,18500,69300,3900,8400,3600,22800,59400,10500,26400,0.0198938175877907
"AT21","Kärnten","2011",258300,18923100000,NA,3.97e+09,1.564e+10,3.23e+08,3.828e+09,1.145e+09,3.526e+09,2.8e+08,7.07e+08,1.325e+09,1.118e+09,2.998e+09,3.89e+08,2.443e+09,203,556400,-0.00171882344920141,67937.55,11400,3149.425,NA,18000,42200,18800,69600,3900,8400,3500,23700,59500,10700,27200,0.037991278352212
"AT21","Kärnten","2012",258300,1.8792e+10,NA,4.077e+09,1.5814e+10,3.38e+08,3.924e+09,1.215e+09,3.448e+09,2.59e+08,6.59e+08,1.386e+09,1.094e+09,3.092e+09,3.99e+08,2.48e+09,602,555750,-0.00116822429906542,68803.21,13500,3232.49583333333,NA,16900,43100,18900,69600,3600,8500,3500,23800,59500,11000,27300,-0.00692804033165813
"AT21","Kärnten","2013",257400,18679700000,NA,4.035e+09,1.5957e+10,3.2e+08,3.972e+09,1.189e+09,3.485e+09,2.5e+08,6.08e+08,1.435e+09,1.155e+09,3.142e+09,4.02e+08,2.59e+09,1565,555678,-0.000129554655870445,69572.07,14800,3342.89,NA,16900,41900,18300,69800,3700,8200,3800,23700,60400,10800,27500,-0.0059759472115794
"AT21","Kärnten","2014",258900,1.8792e+10,NA,4.137e+09,1.6434e+10,3.09e+08,4.101e+09,1.179e+09,3.598e+09,2.73e+08,6.39e+08,1.48e+09,1.207e+09,3.233e+09,4.14e+08,2.687e+09,2798,556761,0.0019489704469135,71146.47,16300,3408.39833333333,NA,17500,41400,18000,70100,3700,8100,3700,24400,61200,11000,28100,0.0060118738523638
"AT21","Kärnten","2015",257700,18717200000,NA,4.363e+09,1.6693e+10,3.07e+08,4.108e+09,1.17e+09,3.598e+09,2.73e+08,6.68e+08,1.529e+09,1.273e+09,3.344e+09,4.23e+08,2.802e+09,4221,559062,0.0041328325798682,72631.66,16500,3477.93,NA,16400,41500,18000,69900,3600,7500,3500,24400,62000,10900,27900,-0.003980417198808
"AT21","Kärnten","2016",258900,18810800000,NA,4.322e+09,1.703e+10,2.99e+08,4.315e+09,1.227e+09,3.674e+09,2.69e+08,6.29e+08,1.567e+09,1.257e+09,3.361e+09,4.31e+08,2.824e+09,1684,560780,0.00307300442526947,73750.17,14800,3539.49166666667,NA,16200,41600,17800,70600,3700,7300,3500,24800,62400,10900,28300,0.00500074797512448
"AT21","Kärnten","2017",261300,19465900000,NA,4.685e+09,1.7757e+10,3.58e+08,4.52e+09,1.309e+09,3.754e+09,2.73e+08,6.72e+08,1.603e+09,1.354e+09,3.477e+09,4.37e+08,2.957e+09,1014,560988,0.000370911944077892,76196.71,13100,3596.64833333333,NA,15700,41900,18000,70400,3800,7000,3600,26600,63300,11000,30200,0.0348257384055968
"AT21","Kärnten","2018",264500,20083500000,NA,5.04e+09,1.8642e+10,3.21e+08,4.968e+09,1.357e+09,3.877e+09,2.74e+08,6.89e+08,1.678e+09,1.418e+09,3.614e+09,4.46e+08,3.096e+09,1534,560920,-0.000121214714040229,78875.35,11300,3710.51833333333,NA,14600,41900,18500,71200,3900,7100,3600,27900,64900,11000,31500,0.0317272769304271
"AT21","Kärnten","2019",266400,20270700000,NA,5.312e+09,1.9162e+10,2.92e+08,5.091e+09,1.385e+09,3.949e+09,2.85e+08,7.23e+08,1.712e+09,1.538e+09,3.716e+09,4.7e+08,3.25e+09,1900,561116,0.000349425943093489,80488.93,10300,3831.36333333333,NA,14800,42300,18900,71400,4100,6800,3600,28600,64900,11000,32200,0.00932108447232803
"AT22","Steiermark","2009",575900,40223600000,NA,8.064e+09,3.2645e+10,6.84e+08,8.799e+09,2.367e+09,6.259e+09,5.2e+08,1.271e+09,3.12e+09,2.258e+09,6.518e+09,8.48e+08,5.378e+09,2155,1204922,0.000549715177785528,63613.84,30100,3045.07,NA,46100,112900,38200,140200,9300,15400,7100,51200,131800,23500,58300,-0.060264326649238
"AT22","Steiermark","2010",581600,4.1098e+10,NA,8.33e+09,3.3479e+10,7.89e+08,8.967e+09,2.394e+09,6.424e+09,5.28e+08,1.209e+09,3.136e+09,2.478e+09,6.696e+09,8.57e+08,5.614e+09,3018,1205830,0.000753575750131544,64608.3,27100,3088.83416666667,NA,44800,110700,39200,140500,9400,14700,7000,55800,135400,23600,62800,0.0217384818862558
"AT22","Steiermark","2011",592500,42584500000,NA,9.059e+09,3.5175e+10,9.23e+08,9.721e+09,2.456e+09,6.596e+09,5.81e+08,1.241e+09,3.235e+09,2.77e+09,6.755e+09,8.97e+08,6.005e+09,3562,1207656,0.00151430964563827,66610.6,22000,3160.13,NA,44000,112500,39900,142900,9800,14400,7600,60200,137300,24100,67800,0.0361696432916444
"AT22","Steiermark","2012",594300,43590100000,NA,9.139e+09,3.6444e+10,9.34e+08,1.0253e+10,2.486e+09,6.855e+09,6.35e+08,1.263e+09,3.323e+09,2.898e+09,6.884e+09,9.12e+08,6.221e+09,3916,1209835,0.00180432176050133,68914.69,24000,3249.3925,NA,41100,114400,40000,143200,10000,14600,7600,60700,138500,24300,68300,0.0236142258333431
"AT22","Steiermark","2013",593800,43196600000,NA,9.648e+09,3.6804e+10,8.55e+08,9.828e+09,2.549e+09,6.942e+09,7.12e+08,1.319e+09,3.55e+09,3.15e+09,6.955e+09,9.44e+08,6.7e+09,5720,1213110,0.00270698070398029,69557.98,28500,3309.21916666667,NA,40200,112800,39300,143300,10100,14200,7600,63400,138200,24600,71000,-0.00902727912989417
"AT22","Steiermark","2014",597700,43633800000,NA,9.666e+09,3.8106e+10,8.41e+08,1.0265e+10,2.722e+09,7.109e+09,7.9e+08,1.297e+09,3.687e+09,3.212e+09,7.199e+09,9.83e+08,6.899e+09,7775,1218410,0.00436893604042502,71458.21,30300,3388.83416666667,NA,41400,113000,40400,143300,10600,14000,7600,63400,138900,25000,71000,0.0101211669436946
"AT22","Steiermark","2015",600200,43721300000,NA,1.0014e+10,3.8993e+10,8.52e+08,1.042e+10,2.704e+09,7.175e+09,7.82e+08,1.389e+09,3.76e+09,3.395e+09,7.507e+09,1.009e+09,7.155e+09,12120,1226791,0.0068786369120411,72844.5,29000,3463.50166666667,NA,38900,113700,39800,144200,11100,13800,7500,64000,142000,25100,71500,0.00200532614624443
"AT22","Steiermark","2016",606900,4.4858e+10,NA,1.0981e+10,4.062e+10,7.97e+08,1.1195e+10,2.794e+09,7.426e+09,8.22e+08,1.402e+09,3.904e+09,3.544e+09,7.765e+09,9.71e+08,7.448e+09,6383,1234657,0.00641185010323682,75041.8,31900,3540.67166666667,NA,37600,114500,40300,145400,12000,13600,7400,66200,145000,25000,73600,0.0259987694784922
"AT22","Steiermark","2017",618300,46257100000,NA,1.1683e+10,4.2363e+10,9.45e+08,1.1606e+10,2.953e+09,7.608e+09,8.62e+08,1.472e+09,4.065e+09,3.87e+09,7.953e+09,1.03e+09,7.935e+09,4364,1238758,0.00332157028227273,76823.4,28200,3608.67166666667,NA,36900,118100,41400,146700,12300,13300,7500,69000,147600,25300,76500,0.0311895314102278
"AT22","Steiermark","2018",631300,46781800000,NA,1.1976e+10,4.3583e+10,9.54e+08,1.1976e+10,3.091e+09,7.75e+09,9.3e+08,1.499e+09,4.233e+09,3.836e+09,8.245e+09,1.068e+09,8.069e+09,4386,1241634,0.00232168026361888,77260.18,25400,3720.02166666667,NA,35100,124700,42600,148400,12600,13500,7700,70700,150500,25700,78400,0.0113431235421157
"AT22","Steiermark","2019",637700,47962200000,NA,1.2983e+10,4.5502e+10,8.53e+08,1.2637e+10,3.283e+09,7.992e+09,1.003e+09,1.586e+09,4.461e+09,4.045e+09,8.511e+09,1.133e+09,8.506e+09,5064,1244725,0.0024894614677111,79844.25,20500,3827.1825,NA,33400,126700,43900,149700,14000,13400,7800,72400,150300,26100,80200,0.0252320346801534
"AT31","Oberösterreich","2009",707300,53137700000,NA,1.0663e+10,4.2821e+10,7.2e+08,1.3586e+10,3.394e+09,7.845e+09,7.36e+08,1.625e+09,3.683e+09,3.633e+09,6.723e+09,8.77e+08,7.316e+09,-415,1408938,0.001241480367626,67941.51,31000,3152.90666666667,NA,42500,168900,51100,165200,11300,18400,8000,68400,149000,24500,76400,-0.06597845364757
"AT31","Oberösterreich","2010",710200,54662600000,NA,1.018e+10,4.4185e+10,7.92e+08,1.4541e+10,3.186e+09,8.096e+09,7.8e+08,1.499e+09,3.929e+09,3.6e+09,6.857e+09,9.05e+08,7.529e+09,-356,1409739,0.000568513305766471,69828.78,28800,3176.95666666667,NA,41800,168200,50000,165000,11900,18200,7700,69700,153000,24500,77400,0.0286971396955457
"AT31","Oberösterreich","2011",720300,56715400000,NA,1.0826e+10,4.6857e+10,9.12e+08,1.5619e+10,3.348e+09,8.602e+09,8.94e+08,1.625e+09,4.118e+09,3.867e+09,6.953e+09,9.19e+08,7.985e+09,2486,1412045,0.00163576378322512,72989.21,24800,3274.2175,NA,40800,170300,50100,167400,12500,18400,8000,74100,153900,24900,82100,0.0375540131643939
"AT31","Oberösterreich","2012",726300,5.695e+10,NA,1.1985e+10,4.8032e+10,9.64e+08,1.5999e+10,3.38e+09,8.713e+09,9.88e+08,1.623e+09,4.195e+09,4.097e+09,7.125e+09,9.48e+08,8.292e+09,3590,1416183,0.00293050150668003,74320.07,24700,3381.94416666667,NA,38300,173200,50000,168300,12900,18400,7900,77200,154300,25600,85100,0.00413644265931299
"AT31","Oberösterreich","2013",728300,57595100000,NA,1.2272e+10,4.9387e+10,8.57e+08,1.6436e+10,3.48e+09,8.694e+09,1.032e+09,1.773e+09,4.626e+09,4.303e+09,7.221e+09,9.65e+08,8.929e+09,6305,1421940,0.00406515259680423,76101.73,32200,3484.4225,NA,37700,175000,49600,168500,13500,17900,8200,77100,155600,25100,85300,0.0113274802458297
