"NUTS","Name","Year","Activity_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3","NEET_share","Life_exp","Fertility_rate"
"DK03","Syddanmark","2018",0.672,0.21,0.465,0.325,0.108,81.1,1.78
"DK03","Syddanmark","2019",0.674,0.205,0.464,0.331,0.115,81.5,1.73
"DK04","Midtjylland","2009",0.734,0.244,0.443,0.313,0.066,79.7,1.91
"DK04","Midtjylland","2010",0.713,0.251,0.429,0.32,0.077,80.1,1.92
"DK04","Midtjylland","2011",0.692,0.257,0.442,0.302,0.078,80.7,1.85
"DK04","Midtjylland","2012",0.687,0.24,0.445,0.314,0.086,80.7,1.78
"DK04","Midtjylland","2013",0.68,0.227,0.441,0.331,0.083,80.9,1.72
"DK04","Midtjylland","2014",0.671,0.218,0.451,0.331,0.082,81.2,1.74
"DK04","Midtjylland","2015",0.673,0.203,0.455,0.342,0.084,81.3,1.77
"DK04","Midtjylland","2016",0.677,0.193,0.445,0.362,0.084,81.5,1.87
"DK04","Midtjylland","2017",0.678,0.187,0.443,0.37,0.105,81.6,1.83
"DK04","Midtjylland","2018",0.691,0.194,0.429,0.377,0.098,81.3,1.81
"DK04","Midtjylland","2019",0.703,0.186,0.42,0.394,0.091,82,1.75
"DK05","Nordjylland","2009",0.726,0.261,0.44,0.299,0.064,78.9,1.93
"DK05","Nordjylland","2010",0.68,0.274,0.442,0.284,0.082,79.5,1.93
"DK05","Nordjylland","2011",0.66,0.263,0.455,0.282,0.107,80,1.82
"DK05","Nordjylland","2012",0.658,0.25,0.459,0.292,0.102,80.2,1.83
"DK05","Nordjylland","2013",0.652,0.256,0.47,0.275,0.098,80.1,1.7
"DK05","Nordjylland","2014",0.669,0.239,0.491,0.27,0.092,80.9,1.73
"DK05","Nordjylland","2015",0.667,0.222,0.489,0.289,0.104,80.6,1.77
"DK05","Nordjylland","2016",0.662,0.228,0.464,0.308,0.093,80.5,1.84
"DK05","Nordjylland","2017",0.652,0.23,0.455,0.315,0.095,81.3,1.81
"DK05","Nordjylland","2018",0.663,0.216,0.463,0.321,0.115,80.8,1.77
"DK05","Nordjylland","2019",0.68,0.22,0.464,0.316,0.107,81.3,1.75
"EE00","Eesti","2009",0.667,0.112,0.527,0.361,0.183,75.3,1.7
"EE00","Eesti","2010",0.666,0.107,0.538,0.355,0.181,76,1.72
"EE00","Eesti","2011",0.677,0.109,0.521,0.369,0.147,76.6,1.61
"EE00","Eesti","2012",0.679,0.1,0.523,0.376,0.151,76.7,1.56
"EE00","Eesti","2013",0.683,0.094,0.532,0.374,0.143,77.5,1.52
"EE00","Eesti","2014",0.683,0.118,0.506,0.376,0.138,77.4,1.54
"EE00","Eesti","2015",0.695,0.123,0.511,0.367,0.132,78,1.58
"EE00","Eesti","2016",0.706,0.114,0.509,0.377,0.141,78,1.6
"EE00","Eesti","2017",0.715,0.119,0.496,0.384,0.116,78.4,1.59
"EE00","Eesti","2018",0.719,0.12,0.49,0.391,0.121,78.5,1.67
"EE00","Eesti","2019",0.715,0.11,0.495,0.395,0.106,79,1.66
"EL30","Attiki","2009",0.614,0.279,0.438,0.283,0.129,80.2,1.4
"EL30","Attiki","2010",0.614,0.262,0.439,0.299,0.157,80.5,1.38
"EL30","Attiki","2011",0.611,0.247,0.435,0.318,0.199,80.5,1.33
"EL30","Attiki","2012",0.616,0.225,0.441,0.334,0.245,80.6,1.28
"EL30","Attiki","2013",0.613,0.208,0.44,0.352,0.261,81.1,1.23
"EL30","Attiki","2014",0.611,0.2,0.436,0.363,0.242,81.1,1.26
"EL30","Attiki","2015",0.604,0.18,0.449,0.37,0.203,80.7,1.3
"EL30","Attiki","2016",0.604,0.18,0.44,0.38,0.176,81,1.36
"EL30","Attiki","2017",0.601,0.172,0.444,0.384,0.176,80.9,1.34
"EL30","Attiki","2018",0.598,0.172,0.435,0.393,0.17,81.3,1.36
"EL30","Attiki","2019",0.607,0.15,0.449,0.402,0.15,81.2,1.35
"EL41","Voreio Aigaio","2009",0.53,0.374,0.443,0.183,0.2,80.8,1.47
"EL41","Voreio Aigaio","2010",0.555,0.398,0.435,0.167,0.206,81.4,1.5
"EL41","Voreio Aigaio","2011",0.546,0.384,0.43,0.186,0.25,81.6,1.38
"EL41","Voreio Aigaio","2012",0.574,0.416,0.378,0.206,0.255,80.7,1.42
"EL41","Voreio Aigaio","2013",0.573,0.356,0.371,0.274,0.241,81.9,1.36
"EL41","Voreio Aigaio","2014",0.551,0.371,0.376,0.253,0.266,81.9,1.4
"EL41","Voreio Aigaio","2015",0.541,0.378,0.393,0.229,0.256,81.8,1.44
"EL41","Voreio Aigaio","2016",0.578,0.305,0.439,0.256,0.243,82.2,1.55
"EL41","Voreio Aigaio","2017",0.636,0.317,0.44,0.242,0.272,81.8,1.55
"EL41","Voreio Aigaio","2018",0.638,0.282,0.473,0.245,0.266,82.9,1.63
"EL41","Voreio Aigaio","2019",0.637,0.231,0.499,0.269,0.257,82.7,1.6
"EL42","Notio Aigaio","2009",0.637,0.497,0.386,0.117,0.216,81.2,1.5
"EL42","Notio Aigaio","2010",0.624,0.508,0.368,0.123,0.222,81.1,1.48
"EL42","Notio Aigaio","2011",0.614,0.465,0.385,0.15,0.244,81.1,1.34
"EL42","Notio Aigaio","2012",0.602,0.449,0.385,0.166,0.201,81.4,1.39
"EL42","Notio Aigaio","2013",0.612,0.422,0.406,0.172,0.252,82.2,1.31
"EL42","Notio Aigaio","2014",0.616,0.405,0.417,0.178,0.22,81.6,1.39
"EL42","Notio Aigaio","2015",0.611,0.358,0.45,0.191,0.221,81.7,1.38
"EL42","Notio Aigaio","2016",0.627,0.37,0.456,0.174,0.273,81.9,1.54
"EL42","Notio Aigaio","2017",0.611,0.375,0.421,0.204,0.255,82.4,1.52
"EL42","Notio Aigaio","2018",0.634,0.318,0.473,0.208,0.223,82.7,1.54
"EL42","Notio Aigaio","2019",0.62,0.284,0.495,0.222,0.196,82.3,1.62
"EL43","Kriti","2009",0.637,0.434,0.37,0.196,0.156,81.3,1.74
"EL43","Kriti","2010",0.639,0.441,0.363,0.196,0.191,81.5,1.69
"EL43","Kriti","2011",0.635,0.428,0.366,0.206,0.234,81.5,1.52
"EL43","Kriti","2012",0.623,0.393,0.4,0.207,0.253,81.4,1.53
"EL43","Kriti","2013",0.622,0.396,0.389,0.216,0.265,82.3,1.42
"EL43","Kriti","2014",0.614,0.386,0.394,0.22,0.263,82,1.44
"EL43","Kriti","2015",0.606,0.365,0.393,0.241,0.246,81.7,1.47
"EL43","Kriti","2016",0.619,0.324,0.407,0.268,0.209,82.2,1.55
"EL43","Kriti","2017",0.616,0.317,0.404,0.279,0.191,81.7,1.49
"EL43","Kriti","2018",0.615,0.332,0.403,0.266,0.167,82.6,1.52
"EL43","Kriti","2019",0.621,0.278,0.459,0.263,0.17,82.1,1.54
"EL51","Anatoliki Makedonia, Thraki","2009",0.579,0.51,0.297,0.193,0.189,79.1,1.62
"EL51","Anatoliki Makedonia, Thraki","2010",0.587,0.502,0.314,0.184,0.235,79,1.62
"EL51","Anatoliki Makedonia, Thraki","2011",0.573,0.503,0.313,0.185,0.313,79.7,1.51
"EL51","Anatoliki Makedonia, Thraki","2012",0.564,0.517,0.291,0.193,0.319,79.8,1.41
"EL51","Anatoliki Makedonia, Thraki","2013",0.566,0.513,0.293,0.195,0.355,80,1.38
"EL51","Anatoliki Makedonia, Thraki","2014",0.572,0.497,0.297,0.205,0.298,80.6,1.35
"EL51","Anatoliki Makedonia, Thraki","2015",0.575,0.456,0.319,0.226,0.288,80.5,1.4
"EL51","Anatoliki Makedonia, Thraki","2016",0.587,0.404,0.35,0.246,0.27,81,1.41
"EL51","Anatoliki Makedonia, Thraki","2017",0.58,0.399,0.351,0.25,0.241,80.1,1.42
"EL51","Anatoliki Makedonia, Thraki","2018",0.578,0.393,0.356,0.251,0.219,81.4,1.32
"EL51","Anatoliki Makedonia, Thraki","2019",0.586,0.348,0.414,0.238,0.205,81.1,1.3
"EL52","Kentriki Makedonia","2009",0.562,0.406,0.354,0.24,0.151,80.1,1.52
"EL52","Kentriki Makedonia","2010",0.57,0.384,0.361,0.255,0.179,80.2,1.5
"EL52","Kentriki Makedonia","2011",0.563,0.36,0.375,0.266,0.228,80.7,1.41
"EL52","Kentriki Makedonia","2012",0.562,0.356,0.373,0.271,0.257,80.4,1.35
"EL52","Kentriki Makedonia","2013",0.562,0.345,0.384,0.271,0.27,81.3,1.3
"EL52","Kentriki Makedonia","2014",0.563,0.337,0.391,0.273,0.256,81.2,1.27
"EL52","Kentriki Makedonia","2015",0.582,0.318,0.391,0.291,0.239,81,1.31
"EL52","Kentriki Makedonia","2016",0.586,0.292,0.395,0.313,0.221,81.3,1.36
"EL52","Kentriki Makedonia","2017",0.581,0.277,0.412,0.311,0.2,81.4,1.29
"EL52","Kentriki Makedonia","2018",0.582,0.276,0.408,0.317,0.181,81.9,1.28
"EL52","Kentriki Makedonia","2019",0.578,0.222,0.464,0.314,0.165,81.7,1.27
"EL53","Dytiki Makedonia","2009",0.572,0.479,0.348,0.173,0.173,80.4,1.47
"EL53","Dytiki Makedonia","2010",0.564,0.463,0.354,0.184,0.203,80.9,1.49
"EL53","Dytiki Makedonia","2011",0.564,0.444,0.365,0.191,0.238,81.1,1.35
"EL53","Dytiki Makedonia","2012",0.551,0.453,0.369,0.178,0.319,80.9,1.36
"EL53","Dytiki Makedonia","2013",0.546,0.428,0.371,0.201,0.361,81.3,1.29
"EL53","Dytiki Makedonia","2014",0.555,0.426,0.351,0.223,0.268,82.2,1.33
"EL53","Dytiki Makedonia","2015",0.575,0.411,0.369,0.219,0.279,81.5,1.32
"EL53","Dytiki Makedonia","2016",0.586,0.388,0.393,0.218,0.264,81.8,1.31
"EL53","Dytiki Makedonia","2017",0.597,0.349,0.406,0.245,0.28,82.2,1.34
"EL53","Dytiki Makedonia","2018",0.597,0.326,0.414,0.26,0.291,83,1.26
"EL53","Dytiki Makedonia","2019",0.585,0.26,0.469,0.271,0.266,82.5,1.26
"EL54","Ipeiros","2009",0.584,0.483,0.327,0.19,0.203,82.2,1.43
"EL54","Ipeiros","2010",0.588,0.47,0.325,0.206,0.217,82.7,1.46
"EL54","Ipeiros","2011",0.564,0.449,0.321,0.23,0.267,82.2,1.38
"EL54","Ipeiros","2012",0.569,0.44,0.327,0.233,0.306,82.3,1.29
"EL54","Ipeiros","2013",0.565,0.4,0.344,0.256,0.295,82.6,1.29
"EL54","Ipeiros","2014",0.564,0.392,0.361,0.246,0.297,83.5,1.26
"EL54","Ipeiros","2015",0.557,0.366,0.377,0.258,0.267,82.9,1.28
"EL54","Ipeiros","2016",0.567,0.35,0.368,0.282,0.205,83.4,1.3
"EL54","Ipeiros","2017",0.565,0.341,0.36,0.3,0.262,83.6,1.26
"EL54","Ipeiros","2018",0.559,0.294,0.368,0.338,0.236,83.6,1.22
"EL54","Ipeiros","2019",0.555,0.286,0.395,0.318,0.225,84,1.24
"EL61","Thessalia","2009",0.596,0.406,0.355,0.239,0.172,80.3,1.59
"EL61","Thessalia","2010",0.599,0.409,0.352,0.239,0.22,81,1.6
"EL61","Thessalia","2011",0.583,0.392,0.364,0.244,0.258,80.7,1.51
"EL61","Thessalia","2012",0.584,0.378,0.384,0.238,0.296,80.8,1.41
"EL61","Thessalia","2013",0.579,0.37,0.379,0.251,0.289,81.8,1.34
"EL61","Thessalia","2014",0.575,0.341,0.396,0.263,0.292,81.7,1.32
"EL61","Thessalia","2015",0.584,0.331,0.409,0.261,0.281,81.7,1.35
"EL61","Thessalia","2016",0.583,0.322,0.423,0.256,0.257,81.9,1.35
"EL61","Thessalia","2017",0.59,0.298,0.415,0.286,0.248,81.8,1.33
"EL61","Thessalia","2018",0.582,0.265,0.414,0.321,0.224,82.6,1.32
"EL61","Thessalia","2019",0.585,0.263,0.419,0.318,0.172,82.3,1.28
"EL62","Ionia Nisia","2009",0.637,0.551,0.325,0.124,0.189,80.6,1.53
"EL62","Ionia Nisia","2010",0.636,0.525,0.326,0.149,0.208,81.6,1.56
"EL62","Ionia Nisia","2011",0.624,0.495,0.336,0.169,0.175,81.5,1.46
"EL62","Ionia Nisia","2012",0.619,0.478,0.375,0.147,0.204,81.4,1.38
"EL62","Ionia Nisia","2013",0.609,0.442,0.389,0.17,0.249,81.6,1.42
"EL62","Ionia Nisia","2014",0.605,0.396,0.427,0.177,0.252,81.7,1.43
"EL62","Ionia Nisia","2015",0.602,0.357,0.448,0.195,0.258,80.8,1.45
"EL62","Ionia Nisia","2016",0.605,0.379,0.413,0.208,0.236,81.4,1.49
"EL62","Ionia Nisia","2017",0.611,0.373,0.427,0.201,0.263,80.9,1.5
"EL62","Ionia Nisia","2018",0.627,0.309,0.463,0.228,0.241,81.3,1.6
"EL62","Ionia Nisia","2019",0.596,0.323,0.431,0.246,0.218,81.4,1.55
"EL63","Dytiki Elláda","2009",0.563,0.471,0.346,0.182,0.162,80.2,1.53
"EL63","Dytiki Elláda","2010",0.574,0.465,0.333,0.202,0.195,80.3,1.52
"EL63","Dytiki Elláda","2011",0.566,0.448,0.343,0.209,0.234,80.8,1.45
"EL63","Dytiki Elláda","2012",0.564,0.449,0.345,0.206,0.262,80.4,1.35
"EL63","Dytiki Elláda","2013",0.566,0.436,0.348,0.216,0.298,80.9,1.33
"EL63","Dytiki Elláda","2014",0.567,0.407,0.367,0.226,0.282,81.5,1.31
"EL63","Dytiki Elláda","2015",0.584,0.396,0.375,0.229,0.254,80.9,1.33
"EL63","Dytiki Elláda","2016",0.59,0.388,0.384,0.227,0.251,81.2,1.36
"EL63","Dytiki Elláda","2017",0.592,0.386,0.376,0.238,0.225,81.4,1.32
"EL63","Dytiki Elláda","2018",0.58,0.387,0.394,0.219,0.182,81.7,1.29
"EL63","Dytiki Elláda","2019",0.574,0.373,0.421,0.206,0.178,81.5,1.32
"EL64","Sterea Elláda","2009",0.573,0.494,0.352,0.154,0.24,81.2,1.52
"EL64","Sterea Elláda","2010",0.588,0.476,0.364,0.159,0.244,81.4,1.52
"EL64","Sterea Elláda","2011",0.591,0.442,0.385,0.173,0.29,80.9,1.34
"EL64","Sterea Elláda","2012",0.575,0.437,0.391,0.173,0.357,81.1,1.31
"EL64","Sterea Elláda","2013",0.581,0.437,0.38,0.183,0.387,82.2,1.25
"EL64","Sterea Elláda","2014",0.579,0.412,0.409,0.179,0.363,81.9,1.24
"EL64","Sterea Elláda","2015",0.597,0.405,0.405,0.19,0.302,81.7,1.23
"EL64","Sterea Elláda","2016",0.585,0.386,0.403,0.211,0.311,81.8,1.3
"EL64","Sterea Elláda","2017",0.586,0.368,0.399,0.233,0.273,81.9,1.24
"EL64","Sterea Elláda","2018",0.583,0.363,0.401,0.236,0.257,82.3,1.23
"EL64","Sterea Elláda","2019",0.582,0.308,0.46,0.232,0.264,81.8,1.12
"EL65","Peloponnisos","2009",0.634,0.476,0.374,0.15,0.209,80.6,1.57
"EL65","Peloponnisos","2010",0.623,0.462,0.384,0.155,0.222,80.9,1.59
"EL65","Peloponnisos","2011",0.611,0.437,0.39,0.173,0.277,81.2,1.44
"EL65","Peloponnisos","2012",0.603,0.41,0.413,0.177,0.355,80.7,1.41
"EL65","Peloponnisos","2013",0.608,0.406,0.403,0.191,0.349,82,1.31
"EL65","Peloponnisos","2014",0.615,0.398,0.41,0.193,0.332,82,1.33
"EL65","Peloponnisos","2015",0.621,0.379,0.414,0.208,0.317,81.3,1.32
"EL65","Peloponnisos","2016",0.609,0.349,0.437,0.214,0.303,82.3,1.37
"EL65","Peloponnisos","2017",0.619,0.325,0.445,0.23,0.29,81.8,1.35
"EL65","Peloponnisos","2018",0.613,0.335,0.427,0.238,0.233,82.1,1.35
"EL65","Peloponnisos","2019",0.607,0.295,0.467,0.238,0.194,82.1,1.32
"ES11","Galicia","2009",0.623,0.523,0.18,0.297,0.158,81.7,1.1
"ES11","Galicia","2010",0.617,0.512,0.187,0.301,0.161,82.3,1.09
"ES11","Galicia","2011",0.626,0.492,0.199,0.31,0.163,82.5,1.08
"ES11","Galicia","2012",0.629,0.486,0.201,0.313,0.19,82.5,1.09
"ES11","Galicia","2013",0.622,0.488,0.191,0.321,0.193,82.9,1.04
"ES11","Galicia","2014",0.617,0.47,0.196,0.334,0.188,83.4,1.07
"ES11","Galicia","2015",0.611,0.447,0.202,0.352,0.164,82.9,1.1
"ES11","Galicia","2016",0.613,0.435,0.208,0.357,0.157,83,1.12
"ES11","Galicia","2017",0.614,0.427,0.208,0.365,0.143,83.4,1.12
"ES11","Galicia","2018",0.616,0.411,0.22,0.369,0.12,83.5,1.04
"ES11","Galicia","2019",0.616,0.394,0.227,0.379,0.123,84,1.02
"ES12","Principado de Asturias","2009",0.595,0.466,0.214,0.321,0.173,81.3,1.08
"ES12","Principado de Asturias","2010",0.596,0.457,0.215,0.328,0.178,81.5,1.04
"ES12","Principado de Asturias","2011",0.6,0.443,0.206,0.351,0.183,81.7,1.05
"ES12","Principado de Asturias","2012",0.599,0.424,0.218,0.359,0.225,81.8,1.06
"ES12","Principado de Asturias","2013",0.602,0.401,0.222,0.377,0.224,82.5,0.96
"ES12","Principado de Asturias","2014",0.595,0.39,0.223,0.387,0.178,82.5,0.99
"ES12","Principado de Asturias","2015",0.584,0.367,0.236,0.396,0.178,82.4,1.01
"ES12","Principado de Asturias","2016",0.593,0.357,0.236,0.407,0.186,82.6,1.04
"ES12","Principado de Asturias","2017",0.581,0.349,0.235,0.416,0.16,82.8,1.03
"ES12","Principado de Asturias","2018",0.577,0.332,0.237,0.431,0.155,82.9,1.03
"ES12","Principado de Asturias","2019",0.581,0.331,0.236,0.433,0.171,83.2,0.96
"ES13","Cantabria","2009",0.632,0.455,0.207,0.338,0.145,82.3,1.26
"ES13","Cantabria","2010",0.624,0.411,0.232,0.357,0.17,82.5,1.26
"ES13","Cantabria","2011",0.633,0.412,0.235,0.352,0.191,82.8,1.22
"ES13","Cantabria","2012",0.634,0.384,0.256,0.361,0.181,82.8,1.19
"ES13","Cantabria","2013",0.628,0.368,0.26,0.372,0.186,83.4,1.18
"ES13","Cantabria","2014",0.63,0.361,0.265,0.374,0.179,83.1,1.15
"ES13","Cantabria","2015",0.626,0.376,0.243,0.381,0.147,82.9,1.15
"ES13","Cantabria","2016",0.624,0.365,0.244,0.391,0.156,83.5,1.15
"ES13","Cantabria","2017",0.626,0.343,0.253,0.404,0.132,83.6,1.17
"ES13","Cantabria","2018",0.612,0.313,0.281,0.406,0.113,83.6,1.12
"ES13","Cantabria","2019",0.616,0.313,0.267,0.42,0.131,83.9,1.07
"ES21","País Vasco","2009",0.643,0.357,0.211,0.433,0.133,82.3,1.29
"ES21","País Vasco","2010",0.649,0.336,0.226,0.437,0.128,82.8,1.33
"ES21","País Vasco","2011",0.659,0.332,0.223,0.445,0.143,82.9,1.35
"ES21","País Vasco","2012",0.651,0.321,0.219,0.46,0.151,83.1,1.35
"ES21","País Vasco","2013",0.646,0.319,0.213,0.468,0.144,83.7,1.3
"ES21","País Vasco","2014",0.639,0.316,0.214,0.47,0.14,83.9,1.38
"ES21","País Vasco","2015",0.634,0.301,0.222,0.478,0.128,83.5,1.39
"ES21","País Vasco","2016",0.64,0.295,0.219,0.486,0.114,83.9,1.39
"ES21","País Vasco","2017",0.63,0.288,0.215,0.497,0.09,84,1.35
"ES21","País Vasco","2018",0.629,0.283,0.222,0.496,0.082,84.1,1.3
"ES21","País Vasco","2019",0.629,0.279,0.213,0.508,0.088,84.5,1.28
"ES22","Comunidad Foral de Navarra","2009",0.667,0.404,0.238,0.359,0.132,83.3,1.44
"ES22","Comunidad Foral de Navarra","2010",0.666,0.375,0.239,0.387,0.13,84.1,1.44
"ES22","Comunidad Foral de Navarra","2011",0.672,0.381,0.22,0.399,0.122,83.9,1.43
"ES22","Comunidad Foral de Navarra","2012",0.67,0.376,0.221,0.402,0.141,83.8,1.46
"ES22","Comunidad Foral de Navarra","2013",0.662,0.358,0.239,0.403,0.177,84,1.36
"ES22","Comunidad Foral de Navarra","2014",0.658,0.347,0.225,0.427,0.166,83.9,1.44
"ES22","Comunidad Foral de Navarra","2015",0.647,0.348,0.229,0.423,0.123,84,1.44
"ES22","Comunidad Foral de Navarra","2016",0.643,0.321,0.234,0.445,0.141,84.1,1.46
"ES22","Comunidad Foral de Navarra","2017",0.653,0.321,0.224,0.455,0.143,84.1,1.46
"ES22","Comunidad Foral de Navarra","2018",0.659,0.313,0.233,0.454,0.106,84.4,1.39
"ES22","Comunidad Foral de Navarra","2019",0.647,0.292,0.237,0.471,0.09,85,1.4
"ES23","La Rioja","2009",0.667,0.429,0.22,0.352,0.197,83,1.41
"ES23","La Rioja","2010",0.661,0.45,0.194,0.356,0.166,83.3,1.44
"ES23","La Rioja","2011",0.677,0.442,0.227,0.331,0.196,83.2,1.37
"ES23","La Rioja","2012",0.67,0.406,0.25,0.343,0.195,83,1.41
"ES23","La Rioja","2013",0.658,0.413,0.234,0.352,0.185,84,1.33
"ES23","La Rioja","2014",0.669,0.389,0.242,0.369,0.173,84.2,1.35
"ES23","La Rioja","2015",0.662,0.37,0.238,0.393,0.176,83.7,1.34
"ES23","La Rioja","2016",0.658,0.397,0.229,0.374,0.148,84.3,1.36
"ES23","La Rioja","2017",0.653,0.386,0.235,0.379,0.138,84,1.35
"ES23","La Rioja","2018",0.658,0.382,0.23,0.387,0.132,83.9,1.25
"ES23","La Rioja","2019",0.666,0.384,0.233,0.383,0.115,84.2,1.32
"ES24","Aragón","2009",0.668,0.418,0.266,0.316,0.163,82.3,1.35
"ES24","Aragón","2010",0.661,0.413,0.254,0.333,0.162,82.6,1.36
"ES24","Aragón","2011",0.667,0.406,0.244,0.35,0.181,82.7,1.34
"ES24","Aragón","2012",0.682,0.404,0.245,0.351,0.168,83,1.3
"ES24","Aragón","2013",0.67,0.403,0.249,0.348,0.19,83.4,1.3
"ES24","Aragón","2014",0.662,0.39,0.254,0.357,0.194,83.2,1.34
"ES24","Aragón","2015",0.658,0.39,0.255,0.356,0.166,83,1.35
"ES24","Aragón","2016",0.667,0.363,0.274,0.363,0.148,83.8,1.34
"ES24","Aragón","2017",0.657,0.363,0.271,0.366,0.125,83.5,1.33
"ES24","Aragón","2018",0.657,0.355,0.262,0.384,0.115,83.8,1.29
"ES24","Aragón","2019",0.666,0.343,0.265,0.393,0.116,84.4,1.26
"ES30","Comunidad de Madrid","2009",0.707,0.351,0.26,0.389,0.158,83.3,1.4
"ES30","Comunidad de Madrid","2010",0.714,0.32,0.263,0.416,0.155,83.9,1.37
"ES30","Comunidad de Madrid","2011",0.705,0.312,0.257,0.431,0.163,84.2,1.35
"ES30","Comunidad de Madrid","2012",0.706,0.307,0.248,0.445,0.176,84.2,1.33
"ES30","Comunidad de Madrid","2013",0.7,0.295,0.245,0.46,0.167,84.8,1.29
"ES30","Comunidad de Madrid","2014",0.691,0.279,0.249,0.472,0.155,84.9,1.35
"ES30","Comunidad de Madrid","2015",0.703,0.285,0.246,0.469,0.16,84.5,1.37
"ES30","Comunidad de Madrid","2016",0.694,0.289,0.245,0.466,0.148,85.2,1.36
"ES30","Comunidad de Madrid","2017",0.685,0.271,0.259,0.47,0.136,85.1,1.33
"ES30","Comunidad de Madrid","2018",0.688,0.277,0.251,0.472,0.111,85.5,1.27
"ES30","Comunidad de Madrid","2019",0.689,0.259,0.25,0.491,0.106,85.8,1.23
"ES41","Castilla y León","2009",0.62,0.485,0.205,0.309,0.165,83.1,1.18
"ES41","Castilla y León","2010",0.631,0.474,0.211,0.315,0.163,83.4,1.2
"ES41","Castilla y León","2011",0.636,0.456,0.211,0.333,0.182,83.7,1.19
"ES41","Castilla y León","2012",0.641,0.434,0.226,0.34,0.179,83.5,1.17
"ES41","Castilla y León","2013",0.632,0.427,0.235,0.337,0.18,84,1.13
"ES41","Castilla y León","2014",0.633,0.423,0.232,0.345,0.178,84.1,1.17
"ES41","Castilla y León","2015",0.63,0.425,0.227,0.347,0.154,83.9,1.18
"ES41","Castilla y León","2016",0.634,0.419,0.239,0.343,0.148,84.3,1.18
"ES41","Castilla y León","2017",0.631,0.402,0.245,0.353,0.131,84.2,1.14
"ES41","Castilla y León","2018",0.631,0.397,0.241,0.362,0.125,84.3,1.14
"ES41","Castilla y León","2019",0.632,0.386,0.23,0.384,0.12,84.7,1.13
"ES42","Castilla-La Mancha","2009",0.643,0.574,0.19,0.237,0.202,82.6,1.45
"ES42","Castilla-La Mancha","2010",0.644,0.558,0.203,0.24,0.209,83.1,1.43
"ES42","Castilla-La Mancha","2011",0.656,0.534,0.213,0.253,0.22,83.2,1.39
"ES42","Castilla-La Mancha","2012",0.658,0.538,0.209,0.253,0.232,83,1.35
"ES42","Castilla-La Mancha","2013",0.658,0.531,0.206,0.262,0.252,83.5,1.3
"ES42","Castilla-La Mancha","2014",0.655,0.512,0.216,0.272,0.225,83.7,1.3
"ES42","Castilla-La Mancha","2015",0.65,0.505,0.22,0.275,0.224,83.1,1.33
"ES42","Castilla-La Mancha","2016",0.647,0.509,0.218,0.274,0.203,83.6,1.34
"ES42","Castilla-La Mancha","2017",0.653,0.505,0.218,0.276,0.176,83.2,1.32
"ES42","Castilla-La Mancha","2018",0.649,0.5,0.215,0.284,0.16,83.8,1.27
"ES42","Castilla-La Mancha","2019",0.644,0.485,0.215,0.3,0.151,83.9,1.25
"ES43","Extremadura","2009",0.594,0.617,0.158,0.225,0.202,81.3,1.35
"ES43","Extremadura","2010",0.604,0.605,0.161,0.233,0.213,81.5,1.34
"ES43","Extremadura","2011",0.607,0.602,0.156,0.243,0.211,82.1,1.33
"ES43","Extremadura","2012",0.616,0.612,0.151,0.237,0.261,81.7,1.27
"ES43","Extremadura","2013",0.628,0.6,0.155,0.245,0.271,82.2,1.22
"ES43","Extremadura","2014",0.62,0.573,0.159,0.268,0.216,82.7,1.29
"ES43","Extremadura","2015",0.618,0.565,0.17,0.265,0.233,82.3,1.28
"ES43","Extremadura","2016",0.614,0.578,0.172,0.251,0.226,82.6,1.3
"ES43","Extremadura","2017",0.612,0.569,0.166,0.265,0.215,82.5,1.29
"ES43","Extremadura","2018",0.625,0.55,0.185,0.265,0.209,82.8,1.22
"ES43","Extremadura","2019",0.628,0.537,0.195,0.268,0.2,83.1,1.22
"ES51","Cataluña","2009",0.693,0.473,0.221,0.306,0.216,82.2,1.47
"ES51","Cataluña","2010",0.699,0.467,0.219,0.314,0.209,82.7,1.46
"ES51","Cataluña","2011",0.702,0.451,0.227,0.322,0.202,82.9,1.43
"ES51","Cataluña","2012",0.699,0.449,0.223,0.328,0.222,82.8,1.4
"ES51","Cataluña","2013",0.697,0.439,0.212,0.348,0.231,83.4,1.34
"ES51","Cataluña","2014",0.689,0.426,0.204,0.37,0.201,83.6,1.39
"ES51","Cataluña","2015",0.684,0.412,0.212,0.375,0.184,83.4,1.4
"ES51","Cataluña","2016",0.684,0.396,0.219,0.386,0.169,83.9,1.41
"ES51","Cataluña","2017",0.679,0.392,0.215,0.393,0.15,83.6,1.39
"ES51","Cataluña","2018",0.677,0.376,0.216,0.408,0.154,83.7,1.33
"ES51","Cataluña","2019",0.681,0.363,0.213,0.424,0.151,84.3,1.29
"ES52","Comunitat Valenciana","2009",0.663,0.508,0.225,0.267,0.216,81.6,1.36
"ES52","Comunitat Valenciana","2010",0.657,0.494,0.222,0.284,0.205,81.9,1.36
"ES52","Comunitat Valenciana","2011",0.654,0.482,0.221,0.298,0.219,82.1,1.32
"ES52","Comunitat Valenciana","2012",0.654,0.479,0.221,0.301,0.216,82.1,1.31
"ES52","Comunitat Valenciana","2013",0.657,0.474,0.218,0.308,0.219,82.8,1.26
"ES52","Comunitat Valenciana","2014",0.65,0.447,0.233,0.32,0.217,82.8,1.31
