"NUTS","Name","Year","Employment_abs","EMP_NACE_A","EMP_NACE_B-E","EMP_NACE_F","EMP_NACE_G-I","EMP_NACE_J","EMP_NACE_K","EMP_NACE_L","EMP_NACE_M-N","EMP_NACE_L-M-N","EMP_NACE_O-Q","EMP_NACE_R-U","GVA_NACE_A","GVA_NACE_B-E","GVA_NACE_F","GVA_NACE_G-I","GVA_NACE_J","GVA_NACE_K","GVA_NACE_L","GVA_NACE_M-N","GVA_NACE_O-Q","GVA_NACE_R-U","GVA_EUR","GVA_NACE_L-M-N","GVA_NCU","Activity_rate","Wage_EUR","Unemployment_abs","NEET_share","Migration_abs","GFCF_share","GFCF_NCU","Life_exp","Fertility_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3"
"BA00","Bosnia and Herzegovina",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543982350.204261,949942479.663365,351619517.033689,925304857.784163,268198667.573358,173626030.892255,554481728.984625,148128927.360762,1107937806.45557,107028218.198923,5130251095.44286,702610656.345388,10033899000,NA,275.586324,NA,NA,8141,0.297272486017105,3513642500,74.496,1.283,NA,NA,NA
"BA00","Bosnia and Herzegovina",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591218561.940455,1034275985.13163,322951892.546898,1043623934.59554,321175153.259741,177243420.951719,579457314.797298,152044911.878844,1150365829.341,112844674.639411,5485201679.08254,731502226.676143,10728122000,NA,305.752545,NA,0.32448,9058,0.309796327754853,3927651500,75.06,1.232,0.791178112786153,0.0736159429626766,0.00240518833483658
"BA00","Bosnia and Herzegovina",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634374153.172822,1094432542.70565,322185977.308866,1165267431.21846,372232760.515996,201518025.595272,610498867.488483,179875551.556117,1274249806.98731,121104594.980136,5975739200.23724,790374419.0446,11687530000,NA,337.4526416,NA,NA,-13313,0.308221182952827,4309667800,74.612,1.23,NA,NA,NA
"BA00","Bosnia and Herzegovina",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610333208.918976,1164667174.54994,327845978.433708,1278674015.63531,418942852.906439,230437716.979492,622015205.820547,202681214.624993,1313443908.72417,135014290.608079,6304056078.49353,824696420.44554,12329662000,NA,366.5962788,NA,NA,-27396,0.29689360528506,4372650800,75.782,1.22,NA,NA,NA
"BA00","Bosnia and Herzegovina",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,702106011.258647,1314006329.79349,341037308.968571,1440584304.36183,454621822.960073,261841264.322564,629867115.240077,238004836.821196,1366768584.18165,156832649.054366,6905670226.96247,867871952.061273,13506317000,NA,382.4463271,NA,NA,-68032,0.298957101126865,4782759800,76.133,1.219,NA,NA,NA
"BA00","Bosnia and Herzegovina",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,748794118.098199,1534637979.78352,399563356.733458,1598846525.51602,471006171.293006,315265641.696876,625466937.310502,295063988.178932,1452416621.07647,172719510.386895,7613780338.782,920530925.489434,14891260000,NA,405.4544618,NA,NA,-37107,0.287397822003268,5072668900,75.42,1.203,NA,NA,NA
"BA00","Bosnia and Herzegovina",2006,811000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,825974650.14853,1712895292.53565,443758915.652178,1809082588.97757,485256898.605707,347596161.220556,622077583.430053,318490870.883461,1617871185.12345,193241743.914348,8376245890.4915,940568454.313514,16382513000,0.431,444.108128,366800,0.35488,-38642,0.252768165996806,5069825400,76.247,1.186,0.730439015755001,0.267967781908302,0.00159320233669676
"BA00","Bosnia and Herzegovina",2007,849600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,888268407.785953,1951846530.62894,558197287.085278,2048740432.45067,524090539.566322,433324982.232607,622304597.025304,369057637.933767,1836725584.53444,222853213.213827,9455409212.45712,991362234.959071,18493173000,0.439,487.7213255,346700,0.32357,-65367,0.298412812469917,6728569900,76.161,1.252,0.477354992495806,0.481107089255761,0.0415379182484329
"BA00","Bosnia and Herzegovina",2008,890239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940392058.614501,2321062669.04588,706216797.983465,2416417071.01333,585798356.707894,455920504.338312,634647183.037381,416025421.432333,2242027170.05057,249494587.975438,10968003354.0747,1050672604.46971,21451550000,0.439,569.0678638,272034,0.27375,-68177,0.316950160007338,8088355600,76.838,1.276,0.481200646087581,0.475951184493898,0.0428481694185212
"BA00","Bosnia and Herzegovina",2009,859218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,897262031.976194,2229433539.72482,675091393.423764,2299310778.54415,594070548.053767,468980944.151588,666224569.620059,419904081.643088,2353740867.04877,252537797.252317,10856557062.7304,1086128651.26315,21233580000,0.436,615.3909082,272339,0.26628,-68227,0.236484988031786,5864477800,76.976,1.299,0.465366478963512,0.48766195119718,0.0469715698393078
"BA00","Bosnia and Herzegovina",2010,842831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,881464646.722875,2341822142.00621,570214691.460914,2393094491.85256,602058461.113696,480368948.221471,674693608.340193,437233808.664352,2350716064.27962,260694947.924922,10992360788.003,1111927417.00455,21499189000,0.446,622.0377027,315110,0.28728,-67267,0.19708762239122,4999118200,77.073,1.276,0.429941541834125,0.512742053343076,0.0573164048227987
"BA00","Bosnia and Herzegovina",2011,816036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,906337462.867427,2426180700.77665,550341798.62258,2466216900.24184,628569456.445601,509239555.585097,676268898.626159,460303298.343926,2475773456.79328,269406338.996743,11368636844.7155,1136572196.97008,22235121000,0.44,649.6474642,310947,0.28304,-64918,0.22199889582133,5823311200,77.007,1.216,0.431139100855015,0.507263032086053,0.061551898501425
"BA00","Bosnia and Herzegovina",2012,813683,167278,174697,72338,171529,12955,14464,915,23497,24412,146360,29652,822905876.277591,2365166195.42598,533955405.122122,2531580965.62585,635920811.11344,505508147.436127,691837736.408584,476800642.182603,2491872504.25651,280060639.21711,11335608411.774,1168638378.59119,22170523000,0.44,659.6687851,316593,0.28923,-66436,0.224364115870283,5883435100,77.191,1.29,0.420989532899894,0.512057914879882,0.0669525522202241
"BA00","Bosnia and Herzegovina",2013,821600,154983,182069,62914,175346,16140,15208,510,23658,24168,162793,27979,936706666.734839,2521776943.80391,534727455.862728,2576029102.73388,650557052.504563,508857620.549843,714239478.891315,454805376.745423,2496654617.22133,287754559.445351,11682108874.4932,1169044855.63674,22848219000,0.436,660.2312062,311491,0.26634,-37030,0.212335805467275,5686088300,76.33,1.276,0.408489274303971,0.516613418530351,0.0749429484253765
"BA00","Bosnia and Herzegovina",2014,812031,138688,179097,64538,190521,15118,13054,673,25155,25828,156827,28361,832451184.407643,2526487475.90537,572808475.174223,2669461558.51991,661481826.130083,527064724.439241,721529989.825292,475110311.223368,2574372517.0388,314012976.587945,11874780527.96,1196640301.04866,23225052000,0.437,659.3108808,308277,0.27097,-35709,0.225258642223175,6162785800,75.659,1.262,0.403796771826852,0.517975055025679,0.0782740278796772
"BA00","Bosnia and Herzegovina",2015,821512,146851,180958,61217,187489,12128,13011,750,25253,26003,159528,34328,893024444.86484,2641163598.06323,572425006.263326,2729778661.74463,661965508.249694,536072153.510274,734070445.795391,519039998.363866,2614379061.57488,329290377.998088,12231210279.012,1253110444.15926,23922168000,0.441,659.1063641,314656,0.28348,-33976,0.216895898494442,6274568000,76.182,1.289,0.395384896023349,0.529049616928128,0.0755654870485224
"BA00","Bosnia and Herzegovina",2016,801084,143853,181584,68964,174860,15884,13805,901,27620,28521,139027,34586,954081898.73353,2859878926.08253,597753383.474024,2868160831.97415,659549142.819161,563188518.429516,752830767.500243,559977094.123722,2608370870.67894,371122745.841919,12794914179.6577,1312807861.62397,25024677000,0.431,665.0373499,272872,0.2709,-32195,0.227149682778236,6874709000,76.808,1.324,0.381492818460089,0.534636213797975,0.0838709677419355
"BA00","Bosnia and Herzegovina",2017,815659,153924,181195,59472,185929,13522,10373,706,29097,29803,143887,37557,883114585.623495,3115687968.79074,643908724.173369,3130079301.37077,672103914.961934,613867769.693685,820205232.561112,571938256.392427,2636611055.15306,409033504.956975,13496550824.9694,1392143488.95354,26396959000,0.426,675.5699626,210678,0.25506,-30669,0.246345950144464,7834473000,76.935,1.355,0.382822615451014,0.545293243178439,0.0718841413705462
"BA00","Bosnia and Herzegovina",2018,822446,129329,193075,71213,190368,13590,9659,1576,26917,28493,145726,40993,992446173.747207,3429347642.68878,685557538.23185,3327363318.89786,697049845.845498,641996492.537695,852444742.12994,619360067.081495,2757098520.83259,429106312.920857,14431771166.2057,1471804809.21143,28226091000,0.421,696.6863173,185456,0.22605,-29154,0.2441012062718,8285227000,77.093,1.384,0.368916036455303,0.5536164436688,0.0774675198758968
"BA00","Bosnia and Herzegovina",2019,802856,144213,190785,63815,173046,16854,12516,337,32140,32477,131185,37965,997167954.270054,3487166062.49009,758319997.136765,3610471257.7269,748633572.447503,670513797.211414,876167662.833682,687686046.33327,2933163925.29003,457914031.383096,15227203795.8309,1563853709.16695,29781822000,0.421,726.6991507,149435,0.22598,-27848,0.248437950565657,8890322000,77.241,1.368,0.370996978851964,0.55901309164149,0.0699899295065458
"MD00","Moldova",2000,1514600,769000,166100,44400,229200,NA,8100,19500,NA,19500,240200,36800,354122493.366393,229209708.991257,37645917.6127713,246910087.43312,67276958.5453913,73382400.278394,36208012.5277307,39889860.3680021,152016703.640872,16250467.6149463,1252912610.37888,76097872.8957327,14401604000,0.599,35.486537,140100,0.24848,-44421,0.239469590858874,3836197000,66.417,1.499,0.301240039605828,0.58446885756047,0.114338252628601
"MD00","Moldova",2001,1498800,763400,165200,43200,228100,NA,9200,19500,NA,19500,237400,31499.9999999997,370652383.307734,312563628.632668,50634333.862668,300164961.514765,79885108.3400585,74846970.209738,41835142.6166489,56966999.0194292,180406459.618705,25113199.5244665,1493069186.64688,98802141.6360781,17205980000,0.579,47.1802081,117700,0.24773,-46128,0.232823598271446,4435646000,66.787,1.463,0.299845585138739,0.582939497449815,0.117261709793646
"MD00","Moldova",2002,1505000,745200,171400,46000,236500,NA,9200,20200,NA,20200,243300,31399.9999999999,369468976.211069,306429556.558124,51842648.651597,291730833.664493,88899070.4161699,76295222.7338959,46532410.7622899,61820363.5740278,253682102.589277,23538340.4629998,1570239525.62394,108352774.336318,20151983000,0.572,53.8815774,109800,0.25573,-46960,0.216601824678981,4885640000,66.938,1.437,0.29687572536094,0.579824520681491,0.123299753957569
"MD00","Moldova",2003,1356400,581600,164500,53200,243400,NA,10500,25800,NA,25800,244000,32299.9999999998,321599080.06836,311176089.401091,51564328.5070806,293288882.67695,95776128.7904297,79534316.3726231,44966804.9528916,63439896.3170969,247187029.472119,27021022.4709821,1535553579.02962,108406701.269989,24170074000,0.516,56.5935846,117100,0.25138,-49890,0.231775987544806,6401421000,67.419,1.48,0.288194124689198,0.581729441016668,0.130122479049636
"MD00","Moldova",2004,1316000,531900,161800,52000,252100,NA,13600,28900,NA,28900,240700,34399.9999999999,367508056.834936,361093315.762692,71838589.3036546,352790861.526819,130588116.331563,98960896.6246102,49369609.7490965,99892945.2135224,278439061.623371,32309669.5066738,1842791122.47694,149262554.962619,28247408000,0.497,71.9635192,116500,0.26585,-40505,0.263591502247752,8443363000,67.861,1.539,0.277625445571703,0.584407275386162,0.137921579380313
"MD00","Moldova",2005,1318600,535000,159400,51600,253900,NA,13400,28700,NA,28700,239100,36499.9999999998,393357731.656665,379667023.404553,80077717.8967753,394701996.458102,174046745.403815,110003631.082062,59173705.8696123,112071755.27781,316941928.168278,42207825.3003606,2062250060.51803,171245461.147422,32372789000,0.49,84.005402,103700,0.26443,-51269,0.308255630510995,11606441000,68.169,1.531,0.278901078973615,0.585864538942787,0.135279717109439
"MD00","Moldova",2006,1257200,421600,161400,67300,261200,NA,15000,31000,NA,31000,256600,43399.9999999997,393457779.017451,401860561.006076,107717714.257995,463513321.772032,199360288.143198,134901769.364169,72027856.2679635,126934052.074364,377552480.626736,54453485.9748481,2331779308.50483,198961908.342328,38455238000,0.463,102.9056865,99900,0.23602,-68092,0.327480806184922,14656076000,68.479,1.541,0.26663683150593,0.572566569702394,0.160841351532781
"MD00","Moldova",2007,1247200,407800,158100,75700,266600,NA,15500,28900,NA,28900,250500,44200.0000000001,321346438.856289,470049943.971178,155790187.124215,594077452.315256,245192546.359331,194193486.197631,116078765.679033,125314725.338282,449874085.766269,77028966.2983625,2748946597.90585,241393491.017315,45628665000,0.448,124.4080826,66700,0.22853,-69289,0.381055549316863,20359798000,68.947,1.574,0.270811146609869,0.578274760383387,0.150914093006745
"MD00","Moldova",2008,1251000,387400,163300,82800,279600,NA,17000,30400,NA,30400,248200,41999.9999999999,362553035.653561,583113735.645714,203708964.398755,801836236.888226,284759148.813728,247274712.91428,204183473.279448,156691059.143582,556857032.619216,70383936.2787413,3471361335.63525,360874532.42303,53082669000,0.443,165.430694,51700,0.20543,-70166,0.39227918692985,24682991000,69.394,1.638,0.258009077689155,0.585731282774424,0.156259639536421
"MD00","Moldova",2009,1184300,332400,155400,72900,285300,NA,16500,31500,NA,31500,248700,40499.9999999999,330729284.757292,532231333.092858,135828223.229929,747989668.143873,290987838.812738,248046931.361435,206410646.191899,138308512.831083,629886504.173967,75788673.6061012,3336207616.20117,344719159.022983,51793956000,0.428,176.981346,81000,0.21234,-70926,0.231418973846398,13984603000,69.573,1.704,0.24808976989914,0.589267781513339,0.162642448587521
"MD00","Moldova",2010,1143500,313500,145800,67500,277100,NA,16900,31000,NA,31000,250800,39900.0000000001,587177474.923016,722407146.559346,352590078.965822,931495533.400409,286148419.159121,211935851.702796,537377724.930638,160808134.394341,648655019.970121,92676484.0391475,4531271746.08982,698185859.32498,74310591000,0.416,181.2067441,92000,0.19453,-86459,0.238517865932859,20578218900,69.357,1.698,0.255952638174668,0.574391772179249,0.169655589646083
"MD00","Moldova",2011,1173600,322000,153200,66800,290000,NA,17500,32100,NA,32100,250200,41000.0000000001,688291352.704613,869021785.038777,395239304.886484,1145076299.66518,311514852.879065,187430969.155715,622822812.161426,160649878.49592,709388745.722873,102104009.940686,5191539888.22849,783472690.657346,84813668000,0.423,186.2164793,84000,0.19724,-88796,0.240486714251096,23753549400,69.192,1.66,0.25564712412998,0.565694521542337,0.178658354327683
"MD00","Moldova",2012,1146900,302500,150900,70200,279800,NA,20100,37700,NA,37700,247100,40600.0000000001,708128919.502416,980385974.606765,464213143.826462,1303774930.60553,355231443.404955,198533078.030225,681361159.658682,187371363.215791,841730492.443713,122446090.778246,5843176596.07279,868732522.874473,90938526000,0.407,217.577362,67700,0.19282,-91035,0.241985192443336,25524642600,69.143,1.659,0.25447198956185,0.556841617913212,0.188644303211415
"MD00","Moldova",2013,1172700,336800,142400,65050,284550,NA,19200,46900,NA,46900,235600,41350,825543915.666613,1064892759.55059,479165993.984729,1372217040.07988,345044397.007911,201747358.602257,670369885.374998,203738855.90256,850687152.073953,129935183.358148,6143342601.39559,874108741.277557,102741876000,0.414,219.6949313,63100,0.18627,-90637,0.249382002000225,29809346600,69.099,1.654,0.258905984323809,0.550698793182101,0.190353751088624
"MD00","Moldova",2014,869799,206500,117600,53100,203698,16602,13362,6398,29397,35795,188400,34742,996593728.02851,940592579.47306,555710413.748316,1305532602.33683,366804278.637405,229487873.079256,635004857.208796,209210394.963531,779153342.886738,122830169.438764,6140920186.13039,844215252.172326,114418239000,0.405,219.4975338,38100,0.16845,-67173,0.237825706600568,31384493000,69.031,1.822,0.268373759933517,0.545473432711785,0.186152807354698
"MD00","Moldova",2015,847101,196200,116600,52700,188026,18174,13028,4528,29392,33920,190800,37653,900272423.021521,958275876.526087,523844887.242406,1400189956.77882,352304039.580126,194748277.475679,661911317.852864,222167488.062528,778483684.3521,135172811.178622,6127370714.21939,884078805.915392,128050092000,0.409,217.1686003,48800,0.15768,-59404,0.240620907895527,35308761400,69.24,1.868,0.264740901796345,0.547652326965885,0.18760677123777
"MD00","Moldova",2016,832179,201856,114620,48284,193547,16486,12386,3371,27986,31357,178836,34807,899762999.437764,981996345.466746,546079492.899505,1506078858.11705,345177376.353447,193718283.548253,653664871.139162,228699648.149156,796040272.412355,155033824.836317,6306252063.04297,882364519.288318,139083128000,0.406,226.6082667,41600,0.16272,-51633,0.219868853235417,34961438500,69.917,1.89,0.273173250710044,0.538497288923315,0.188277820810741
"MD00","Moldova",2017,800179,180801,107317,43360,195226,14350,10787,3575,28962,32537,182641,33160,1030918178.23912,1145239146.9258,630946793.289867,1797099989.4374,387874756.339962,221287341.200872,688928616.010985,262458637.808356,962604641.783736,167606466.23328,7294964615.28121,951387253.819341,151940982000,0.398,268.2612996,38900,0.16922,-43868,0.219389542125047,38614159400,70.516,1.81,0.259952063359733,0.550698207586494,0.189349729053772
"MD00","Moldova",2018,794076,194191,108368,45737,180760,16856,11070,3254,25806,29060,176003,32031,966728565.525443,1291125769.74632,818989326.85621,2020976859.73735,456468237.570676,267437991.957348,771118261.255178,326234012.960966,1099098829.8848,197126565.948741,8215304270.26537,1097352274.21614,163026141000,0.407,315.8605537,29600,0.1783,-36088,0.265918106703471,50275175900,70.492,1.809,0.257234557508155,0.551983584131327,0.190729243396822
"MD00","Moldova",2019,872393,182845,128044,61425,205784,17856,10902,6029,26802,32831,197518,35188,1065223313.9,1378985824.00211,919379793.738977,2195071896.55435,537028174.096909,302629853.462166,808220401.441489,384532253.063673,1273075261.38426,231684193.940256,9095831016.41244,1192752654.50516,178952289000,0.423,367.6762851,46875,0.17479,-28328,0.251036618823408,51777868900,70.935,1.78,0.254522238774207,0.544903170887423,0.200521387529262
"XK00","Kosovo",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45965,-9176,NA,NA,74.072,2.66,0.653452406883032,0.298627749945546,0.0479198431714223
"XK00","Kosovo",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.456,NA,NA,NA,-1995,NA,NA,74.394,2.622,NA,NA,NA
"XK00","Kosovo",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.528,NA,NA,NA,-29565,NA,NA,74.676,2.533,NA,NA,NA
"XK00","Kosovo",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.503,NA,NA,NA,-27077,NA,NA,74.968,2.28,NA,NA,NA
"XK00","Kosovo",2004,266000,65000,37000,21000,59000,NA,3000,6000,NA,6000,58000,17000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.462,NA,175000,NA,-30715,NA,NA,75.304,2.461,NA,NA,NA
"XK00","Kosovo",2005,289000,54000,42000,23000,62000,NA,3000,7000,NA,7000,70000,28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.492,193,204000,NA,-33861,NA,NA,75.616,2.609,NA,NA,NA
"XK00","Kosovo",2006,297000,64000,37000,24000,68000,NA,4000,6000,NA,6000,74000,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.523,201,242000,NA,-32364,NA,NA,75.636,2.429,NA,NA,NA
"XK00","Kosovo",2007,281000,41000,40000,18000,71000,NA,3000,4000,NA,4000,81000,23000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.468,206,216000,NA,-32547,NA,NA,76.516,2.357,NA,NA,NA
"XK00","Kosovo",2008,266000,21000,41000,23000,72000,NA,5000,7000,NA,7000,79000,18000,398374000,692696000,263991000,661223000,50239000,129726000,345993000,72919000,296773000,33665000,2945599000,418912000,2945599000,0.462,221,241000,NA,-34210,0.372836774320662,1318947000,77.392,2.444,NA,NA,NA
"XK00","Kosovo",2009,290000,18000,45000,23000,81000,NA,6000,8000,NA,8000,88000,21000,298805000,747103000,263479000,681241000,54394000,130778000,360331000,81029000,348031000,34415000,2999606000,441360000,2999606000,0.481,269,243000,NA,-33429,0.32619616274023,1177712000,77.665,2.437,NA,NA,NA
"XK00","Kosovo",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381204000,781148000,308880000,729567000,62298000,153867000,356459000,87113000,422994000,36237000,3319768000,443572000,3319768000,0.481,317,234900,NA,-31889,0.331284870466064,1335406000,77.63,2.426,NA,NA,NA
"XK00","Kosovo",2011,280454,12383,42944,23584,81011,NA,6303,10737,NA,10737,81811,21681,370512000,869611000,383938000,807954000,71424000,175010000,360363000,99669000,513027000,38863000,3690371000,460032000,3690371000,0.406,392,227646,NA,-3033,0.360573444918945,1642738000,77.74,1.992,NA,NA,NA
"XK00","Kosovo",2012,304710,13875,57594,29024,73000,6893,6758,739,19923,20662,74645,29614,357179000,914052000,405605000,868341000,76796000,195251000,384196000,111875000,556057000,41576000,3910932000,496071000,3910932000,0.369,383,135700,0.35878,-15323,0.319017216861076,1530413000,78.28,2.001,0.520716009654063,0.358608205953339,0.119167337087691
"XK00","Kosovo",2013,342090,20330,57318,38998,72463,9963,7560,622,20126,20748,82565,32145,427595000,974701000,404053000,920086000,85082000,216024000,407668000,114095000,587490000,42816000,4179611000,521763000,4179611000,0.405,386,144829,0.35766,-40468,0.299978585507713,1521291000,78.587,2.098,0.498825931597754,0.375599795814191,0.124349157733538
"XK00","Kosovo",2014,325720,8587,57596,35585,77535,9572,5942,158,17514,17672,83085,30146,441914000,1021066000,390993000,971799000,95933000,221789000,415481000,119884000,636623000,43620000,4359103000,535365000,4359103000,0.416,403,176743,0.30233,-56637,0.278460008694681,1482826000,78.88,1.871,0.489181845627453,0.381402837878635,0.128912146523095
"XK00","Kosovo",2015,298796,6728,56158,28244,71120,9636,5874,253,16133,16386,77099,27551,435635000,1097198000,431675000,1046981000,101177000,214484000,424338000,130923000,683733000,44877000,4611021000,555261000,4611021000,0.376,415,145776,0.31679,-14819,0.304324686404239,1726867000,78.922,1.751,0.469633985602758,0.397444996451384,0.132616850856737
"XK00","Kosovo",2016,334157,14191,60074,38571,81405,7315,6497,324,17582,17906,78975,29223,493337000,1179093000,442423000,1107959000,107708000,182379000,441547000,136129000,708528000,48093000,4847198000,577676000,4847198000,0.387,422,126070,0.30264,-31383,0.335220002547509,2023814000,78.981,1.658,0.475338106603023,0.390910898965792,0.132955449482896
"XK00","Kosovo",2017,360144,15933,62530,46551,86212,9494,6281,219,21764,21983,79351,31809,470932000,1232099000,517679000,1197457000,113331000,196229000,456679000,141676000,729831000,50061000,5105974000,598355000,5105974000,0.428,431,156583,0.27559,-33495,0.346926494889605,2205223000,78.783,1.649,0.476601457614116,0.380801687763713,0.142021480629076
"XK00","Kosovo",2018,348149,12316,49755,41497,94411,11954,7076,351,16191,16542,83809,30789,435728000,1302235000,559677000,1260819000,124441000,237273000,474820000,147100000,784909000,52790000,5379793000,621920000,5379793000,0.409,453,144972,0.29693,-34137,0.362945421291487,2421398000,78.696,1.605,0.471284895196917,0.406053200488768,0.122285929128677
