"NUTS","Name","Year","Activity_rate","NEET_share","Life_exp","Fertility_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3"
"AL00","Albania",2009,0.551,0.30734,77.781,1.647,0.592805519053876,0.309351730179588,0.0977879982479194
"AL00","Albania",2010,0.552,0.2972,77.936,1.656,0.578740369592156,0.320456871935779,0.0997252303216422
"AL00","Albania",2011,0.603,0.30011,78.092,1.671,0.561843027330063,0.336370007007708,0.101786965662228
"AL00","Albania",2012,0.573,0.27654,78.064,1.692,0.559577176379434,0.329348608113343,0.111074215507222
"AL00","Albania",2013,0.524,0.30978,78.123,1.73,0.562475671467497,0.308457988099872,0.129121948506923
"AL00","Albania",2014,0.537,0.31392,78.2,1.79,0.540204955809792,0.327929295667733,0.131919969636176
"AL00","Albania",2015,0.557,0.29816,77.9,1.67,0.518134160693271,0.333796940194715,0.148068899112015
"AL00","Albania",2016,0.575,0.27391,78.5,1.56,0.530131729073748,0.326677730525879,0.143138678560315
"AL00","Albania",2017,0.583,0.26228,78.5,1.48,0.521997621878716,0.323476192938014,0.154577883472057
"AL00","Albania",2018,0.594,0.26614,78.9,1.37,0.50115692048801,0.330458561211611,0.168384518300379
"AL00","Albania",2019,0.604,0.25824,79.1,1.36666666666667,0.492855287087555,0.330215640426085,0.176877110937906
"AT11","Burgenland",2009,0.651,0.081,80.9,1.27,0.196,0.653,0.151
"AT11","Burgenland",2010,0.648,0.078,80.9,1.28,0.197,0.655,0.148
"AT11","Burgenland",2011,0.641,0.076,81.2,1.28,0.197,0.655,0.148
"AT11","Burgenland",2012,0.647,0.08,80.6,1.3,0.188,0.672,0.139
"AT11","Burgenland",2013,0.639,0.087,81.1,1.27,0.185,0.656,0.158
"AT11","Burgenland",2014,0.64,0.089,81.4,1.33,0.168,0.575,0.257
"AT11","Burgenland",2015,0.641,0.081,81.2,1.37,0.153,0.562,0.285
"AT11","Burgenland",2016,0.645,0.106,81.4,1.41,0.165,0.557,0.279
"AT11","Burgenland",2017,0.652,0.08,81.5,1.36,0.148,0.572,0.28
"AT11","Burgenland",2018,0.647,0.099,81.5,1.38,0.151,0.565,0.284
"AT11","Burgenland",2019,0.642,NA,81.9,1.39,0.151,0.542,0.307
"AT12","Niederösterreich",2009,0.66,0.092,80.1,1.42,0.162,0.662,0.176
"AT12","Niederösterreich",2010,0.66,0.078,80.5,1.47,0.156,0.665,0.179
"AT12","Niederösterreich",2011,0.667,0.093,80.8,1.48,0.167,0.661,0.172
"AT12","Niederösterreich",2012,0.667,0.072,80.6,1.49,0.167,0.661,0.172
"AT12","Niederösterreich",2013,0.666,0.08,81,1.48,0.16,0.664,0.176
"AT12","Niederösterreich",2014,0.672,0.1,81.3,1.51,0.155,0.554,0.291
"AT12","Niederösterreich",2015,0.678,0.079,81,1.52,0.139,0.558,0.303
"AT12","Niederösterreich",2016,0.679,0.083,81.4,1.59,0.147,0.551,0.302
"AT12","Niederösterreich",2017,0.691,0.077,81.6,1.57,0.142,0.538,0.32
"AT12","Niederösterreich",2018,0.683,0.069,81.5,1.52,0.135,0.546,0.319
"AT12","Niederösterreich",2019,0.684,0.083,81.7,1.5,0.131,0.545,0.324
"AT13","Wien",2009,0.638,0.134,79.4,1.37,0.194,0.546,0.26
"AT13","Wien",2010,0.639,0.124,79.6,1.42,0.179,0.548,0.273
"AT13","Wien",2011,0.637,0.116,80.1,1.42,0.183,0.55,0.266
"AT13","Wien",2012,0.643,0.118,80.1,1.4,0.179,0.545,0.275
"AT13","Wien",2013,0.645,0.12,80.1,1.4,0.178,0.516,0.306
"AT13","Wien",2014,0.638,0.129,80.5,1.41,0.172,0.437,0.391
"AT13","Wien",2015,0.645,0.128,80.4,1.42,0.171,0.436,0.393
"AT13","Wien",2016,0.657,0.134,80.9,1.45,0.169,0.432,0.399
"AT13","Wien",2017,0.655,0.118,80.8,1.41,0.162,0.417,0.421
"AT13","Wien",2018,0.668,0.124,80.6,1.36,0.166,0.411,0.423
"AT13","Wien",2019,0.667,0.115,81.1,1.35,0.169,0.402,0.429
"AT21","Kärnten",2009,0.631,0.098,80.8,1.37,0.128,0.7,0.172
"AT21","Kärnten",2010,0.63,0.082,81,1.43,0.129,0.705,0.166
"AT21","Kärnten",2011,0.63,0.082,81.4,1.4,0.122,0.714,0.163
"AT21","Kärnten",2012,0.638,0.099,81.2,1.41,0.12,0.708,0.172
"AT21","Kärnten",2013,0.64,0.098,81.7,1.41,0.132,0.695,0.173
"AT21","Kärnten",2014,0.64,0.094,81.8,1.43,0.116,0.596,0.288
"AT21","Kärnten",2015,0.641,0.099,81.4,1.43,0.117,0.6,0.283
"AT21","Kärnten",2016,0.646,0.091,81.8,1.5,0.106,0.6,0.294
"AT21","Kärnten",2017,0.647,0.087,81.9,1.51,0.116,0.586,0.297
"AT21","Kärnten",2018,0.654,0.08,81.6,1.44,0.111,0.583,0.306
"AT21","Kärnten",2019,0.655,0.09,82.2,1.4,0.111,0.581,0.308
"AT22","Steiermark",2009,0.652,0.086,80.6,1.32,0.167,0.667,0.166
"AT22","Steiermark",2010,0.653,0.091,81,1.36,0.164,0.68,0.155
"AT22","Steiermark",2011,0.655,0.063,81.4,1.33,0.15,0.682,0.168
"AT22","Steiermark",2012,0.652,0.069,81.5,1.36,0.147,0.674,0.179
"AT22","Steiermark",2013,0.657,0.084,81.8,1.35,0.159,0.666,0.175
"AT22","Steiermark",2014,0.655,0.077,82,1.36,0.146,0.596,0.257
"AT22","Steiermark",2015,0.657,0.077,81.3,1.44,0.131,0.603,0.267
"AT22","Steiermark",2016,0.665,0.067,82.1,1.44,0.14,0.586,0.274
"AT22","Steiermark",2017,0.668,0.072,81.8,1.46,0.143,0.579,0.278
"AT22","Steiermark",2018,0.673,0.066,82.2,1.42,0.133,0.58,0.287
"AT22","Steiermark",2019,0.678,0.073,82.2,1.41,0.126,0.573,0.301
"AT31","Oberösterreich",2009,0.687,0.081,80.8,1.51,0.216,0.62,0.164
"AT31","Oberösterreich",2010,0.688,0.08,81,1.55,0.201,0.625,0.173
"AT31","Oberösterreich",2011,0.687,0.077,81.5,1.53,0.201,0.63,0.169
"AT31","Oberösterreich",2012,0.69,0.065,81.5,1.55,0.19,0.639,0.172
"AT31","Oberösterreich",2013,0.693,0.069,81.4,1.55,0.184,0.643,0.172
"AT31","Oberösterreich",2014,0.696,0.077,82,1.61,0.173,0.56,0.267
"AT31","Oberösterreich",2015,0.696,0.066,81.5,1.61,0.165,0.56,0.275
"AT31","Oberösterreich",2016,0.707,0.072,82.2,1.68,0.157,0.553,0.291
"AT31","Oberösterreich",2017,0.702,0.074,82,1.66,0.157,0.551,0.292
"AT31","Oberösterreich",2018,0.703,0.074,82.2,1.62,0.155,0.555,0.29
"AT31","Oberösterreich",2019,0.705,0.059,82.3,1.6,0.136,0.546,0.318
"AT32","Salzburg",2009,0.68,0.072,81.4,1.39,0.15,0.656,0.194
"AT32","Salzburg",2010,0.678,0.076,81.6,1.47,0.149,0.656,0.195
"AT32","Salzburg",2011,0.685,0.063,81.9,1.46,0.142,0.66,0.198
"AT32","Salzburg",2012,0.688,0.071,82.1,1.46,0.144,0.651,0.205
"AT32","Salzburg",2013,0.689,0.06,82.2,1.48,0.149,0.633,0.218
"AT32","Salzburg",2014,0.675,0.067,82.6,1.55,0.146,0.556,0.298
"AT32","Salzburg",2015,0.68,0.062,82.4,1.54,0.136,0.562,0.302
"AT32","Salzburg",2016,0.688,0.068,82.7,1.57,0.138,0.547,0.315
"AT32","Salzburg",2017,0.693,0.055,82.4,1.61,0.137,0.552,0.312
"AT32","Salzburg",2018,0.703,0.063,82.9,1.54,0.124,0.553,0.323
"AT32","Salzburg",2019,0.702,0.066,82.8,1.58,0.133,0.538,0.328
"AT33","Tirol",2009,0.68,0.076,81.6,1.38,0.213,0.617,0.17
"AT33","Tirol",2010,0.677,0.083,81.9,1.42,0.21,0.618,0.171
"AT33","Tirol",2011,0.674,0.071,82.3,1.4,0.209,0.603,0.188
"AT33","Tirol",2012,0.681,0.064,82.2,1.44,0.196,0.61,0.195
"AT33","Tirol",2013,0.691,0.07,82.4,1.44,0.188,0.621,0.191
"AT33","Tirol",2014,0.684,0.072,82.8,1.44,0.177,0.553,0.27
"AT33","Tirol",2015,0.684,0.065,82.4,1.52,0.176,0.56,0.264
"AT33","Tirol",2016,0.69,0.064,82.8,1.51,0.179,0.539,0.282
"AT33","Tirol",2017,0.694,0.069,83.2,1.52,0.157,0.552,0.29
"AT33","Tirol",2018,0.697,0.066,83,1.5,0.153,0.548,0.299
"AT33","Tirol",2019,0.699,0.069,83,1.46,0.162,0.539,0.299
"AT34","Vorarlberg",2009,0.686,0.098,81.7,1.51,0.226,0.607,0.166
"AT34","Vorarlberg",2010,0.68,0.091,82,1.56,0.23,0.616,0.155
"AT34","Vorarlberg",2011,0.685,0.087,82.5,1.53,0.227,0.605,0.168
"AT34","Vorarlberg",2012,0.691,0.089,82.2,1.56,0.207,0.609,0.184
"AT34","Vorarlberg",2013,0.685,0.07,82.3,1.52,0.2,0.61,0.19
"AT34","Vorarlberg",2014,0.693,0.083,83.1,1.61,0.199,0.545,0.256
"AT34","Vorarlberg",2015,0.698,0.082,82.4,1.63,0.197,0.539,0.265
"AT34","Vorarlberg",2016,0.714,0.078,82.7,1.71,0.196,0.527,0.277
"AT34","Vorarlberg",2017,0.712,0.078,82.4,1.67,0.184,0.535,0.281
"AT34","Vorarlberg",2018,0.714,0.087,82.9,1.68,0.186,0.538,0.276
"AT34","Vorarlberg",2019,0.715,0.079,83.3,1.68,0.192,0.524,0.284
"BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest",2009,0.6,0.185,79.9,2.1,0.31,0.267,0.424
"BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest",2010,0.609,0.214,80.2,2.04,0.322,0.257,0.421
"BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest",2011,0.597,0.233,80.8,NA,0.327,0.249,0.424
"BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest",2012,0.603,0.221,80.1,NA,0.317,0.256,0.427
"BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest",2013,0.598,0.243,80.6,1.8929,0.324,0.261,0.415
"BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest",2014,0.612,0.209,81.1,1.90289,0.32,0.244,0.435
"BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest",2015,0.604,0.206,80.9,1.85419,0.302,0.264,0.434
"BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest",2016,0.61,0.204,81.3,1.82437,0.291,0.269,0.441
"BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest",2017,0.607,0.191,81.2,1.80959,0.271,0.263,0.466
"BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest",2018,0.602,0.195,81.5,1.77021,0.267,0.258,0.475
"BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest",2019,0.599,0.187,81.6,1.7066,0.276,0.252,0.471
"BE21","Prov. Antwerpen",2009,0.599,0.09,80.9,1.91,0.272,0.408,0.32
"BE21","Prov. Antwerpen",2010,0.608,0.104,81.1,1.93,0.267,0.381,0.352
"BE21","Prov. Antwerpen",2011,0.598,0.124,81.6,NA,0.264,0.4,0.335
"BE21","Prov. Antwerpen",2012,0.596,0.115,81.1,NA,0.26,0.387,0.353
"BE21","Prov. Antwerpen",2013,0.602,0.136,81.5,1.80561,0.262,0.384,0.354
"BE21","Prov. Antwerpen",2014,0.602,0.104,82.2,1.80556,0.236,0.384,0.381
"BE21","Prov. Antwerpen",2015,0.607,0.116,82,1.73274,0.227,0.397,0.376
"BE21","Prov. Antwerpen",2016,0.596,0.121,82.4,1.74168,0.239,0.412,0.349
"BE21","Prov. Antwerpen",2017,0.608,0.119,82.4,1.71217,0.222,0.397,0.382
"BE21","Prov. Antwerpen",2018,0.619,0.116,82.5,1.68001,0.205,0.395,0.4
"BE21","Prov. Antwerpen",2019,0.626,0.097,83,1.66272,0.209,0.391,0.4
"BE22","Prov. Limburg (BE)",2009,0.6,0.093,81.2,1.66,0.306,0.408,0.286
"BE22","Prov. Limburg (BE)",2010,0.603,0.093,81.5,1.7,0.307,0.4,0.293
"BE22","Prov. Limburg (BE)",2011,0.605,0.087,81.7,NA,0.292,0.421,0.288
"BE22","Prov. Limburg (BE)",2012,0.595,0.135,81.6,NA,0.291,0.402,0.307
"BE22","Prov. Limburg (BE)",2013,0.599,0.134,82.1,1.61476,0.279,0.434,0.287
"BE22","Prov. Limburg (BE)",2014,0.597,0.114,82.7,1.62524,0.253,0.436,0.311
"BE22","Prov. Limburg (BE)",2015,0.594,0.117,82.5,1.57783,0.248,0.431,0.321
"BE22","Prov. Limburg (BE)",2016,0.595,0.095,82.9,1.59198,0.251,0.42,0.329
"BE22","Prov. Limburg (BE)",2017,0.608,0.09,83.1,1.53421,0.222,0.425,0.354
"BE22","Prov. Limburg (BE)",2018,0.608,0.1,83.1,1.48415,0.2,0.441,0.358
"BE22","Prov. Limburg (BE)",2019,0.611,0.088,83.3,1.49946,0.204,0.429,0.367
"BE23","Prov. Oost-Vlaanderen",2009,0.626,0.085,80.4,1.8,0.28,0.382,0.338
"BE23","Prov. Oost-Vlaanderen",2010,0.633,0.098,80.8,1.79,0.286,0.367,0.347
"BE23","Prov. Oost-Vlaanderen",2011,0.62,0.095,81,NA,0.272,0.378,0.351
"BE23","Prov. Oost-Vlaanderen",2012,0.621,0.1,80.9,NA,0.275,0.375,0.349
"BE23","Prov. Oost-Vlaanderen",2013,0.628,0.093,81.1,1.68229,0.247,0.38,0.373
"BE23","Prov. Oost-Vlaanderen",2014,0.628,0.111,82.1,1.66795,0.258,0.375,0.367
"BE23","Prov. Oost-Vlaanderen",2015,0.622,0.109,81.5,1.64523,0.244,0.381,0.375
"BE23","Prov. Oost-Vlaanderen",2016,0.624,0.092,82.2,1.60568,0.232,0.372,0.396
"BE23","Prov. Oost-Vlaanderen",2017,0.617,0.084,82.2,1.56439,0.21,0.365,0.426
"BE23","Prov. Oost-Vlaanderen",2018,0.63,0.081,82.3,1.56685,0.189,0.384,0.428
"BE23","Prov. Oost-Vlaanderen",2019,0.641,0.096,82.6,1.5072,0.177,0.408,0.415
"BE24","Prov. Vlaams-Brabant",2009,0.629,0.073,81.5,1.74,0.211,0.348,0.442
"BE24","Prov. Vlaams-Brabant",2010,0.628,0.066,81.7,1.78,0.214,0.34,0.446
"BE24","Prov. Vlaams-Brabant",2011,0.624,0.074,82.1,NA,0.21,0.369,0.421
"BE24","Prov. Vlaams-Brabant",2012,0.625,0.087,81.9,NA,0.199,0.364,0.436
"BE24","Prov. Vlaams-Brabant",2013,0.629,0.1,82,1.74136,0.177,0.38,0.443
"BE24","Prov. Vlaams-Brabant",2014,0.628,0.093,82.6,1.71251,0.183,0.359,0.458
"BE24","Prov. Vlaams-Brabant",2015,0.626,0.089,82.5,1.65936,0.181,0.372,0.447
"BE24","Prov. Vlaams-Brabant",2016,0.623,0.079,82.9,1.6817,0.167,0.361,0.473
"BE24","Prov. Vlaams-Brabant",2017,0.625,0.076,83,1.63912,0.143,0.35,0.507
"BE24","Prov. Vlaams-Brabant",2018,0.632,0.071,83,1.58921,0.146,0.366,0.487
"BE24","Prov. Vlaams-Brabant",2019,0.634,0.073,83.4,1.6009,0.138,0.37,0.492
"BE25","Prov. West-Vlaanderen",2009,0.6,0.081,80.9,1.77,0.307,0.399,0.295
"BE25","Prov. West-Vlaanderen",2010,0.608,0.064,81.1,1.8,0.292,0.406,0.302
"BE25","Prov. West-Vlaanderen",2011,0.604,0.08,81.6,NA,0.271,0.413,0.316
"BE25","Prov. West-Vlaanderen",2012,0.599,0.087,81.6,NA,0.279,0.4,0.321
"BE25","Prov. West-Vlaanderen",2013,0.605,0.099,81.5,1.71638,0.26,0.412,0.328
"BE25","Prov. West-Vlaanderen",2014,0.611,0.093,82.3,1.67653,0.262,0.408,0.33
"BE25","Prov. West-Vlaanderen",2015,0.612,0.104,82,1.65347,0.247,0.425,0.328
"BE25","Prov. West-Vlaanderen",2016,0.61,0.067,82.7,1.68595,0.234,0.413,0.352
"BE25","Prov. West-Vlaanderen",2017,0.616,0.077,82.4,1.59481,0.224,0.402,0.374
"BE25","Prov. West-Vlaanderen",2018,0.625,0.08,82.6,1.64394,0.201,0.426,0.373
"BE25","Prov. West-Vlaanderen",2019,0.632,0.068,83.2,1.58463,0.183,0.444,0.373
"BE31","Prov. Brabant wallon",2009,0.593,0.095,80.9,1.83,0.197,0.317,0.486
"BE31","Prov. Brabant wallon",2010,0.609,0.118,81.1,1.82,0.197,0.308,0.495
"BE31","Prov. Brabant wallon",2011,0.593,0.148,81.3,NA,0.161,0.282,0.557
"BE31","Prov. Brabant wallon",2012,0.598,0.158,81,NA,0.177,0.311,0.512
"BE31","Prov. Brabant wallon",2013,0.609,0.127,82,1.72101,0.174,0.314,0.512
"BE31","Prov. Brabant wallon",2014,0.607,0.14,81.7,1.71041,0.159,0.322,0.519
"BE31","Prov. Brabant wallon",2015,0.603,0.109,81.7,1.7053,0.134,0.326,0.541
"BE31","Prov. Brabant wallon",2016,0.6,0.122,82.4,1.64432,0.163,0.315,0.522
"BE31","Prov. Brabant wallon",2017,0.612,0.122,82.1,1.63278,0.133,0.295,0.571
"BE31","Prov. Brabant wallon",2018,0.607,0.091,82.7,1.5423,0.123,0.294,0.584
"BE31","Prov. Brabant wallon",2019,0.606,0.107,83,1.55482,0.129,0.314,0.557
"BE32","Prov. Hainaut",2009,0.543,0.229,77.8,1.83,0.365,0.395,0.24
"BE32","Prov. Hainaut",2010,0.556,0.2,78,1.86,0.365,0.348,0.288
"BE32","Prov. Hainaut",2011,0.546,0.193,78.2,NA,0.361,0.378,0.261
"BE32","Prov. Hainaut",2012,0.548,0.221,78.2,NA,0.363,0.365,0.272
"BE32","Prov. Hainaut",2013,0.55,0.206,78.3,1.78432,0.335,0.385,0.28
"BE32","Prov. Hainaut",2014,0.545,0.209,78.9,1.76121,0.325,0.394,0.281
"BE32","Prov. Hainaut",2015,0.54,0.22,78.6,1.70626,0.324,0.403,0.272
"BE32","Prov. Hainaut",2016,0.544,0.189,78.8,1.66469,0.312,0.388,0.3
"BE32","Prov. Hainaut",2017,0.535,0.184,79.4,1.65459,0.309,0.38,0.311
"BE32","Prov. Hainaut",2018,0.528,0.169,79.1,1.61362,0.285,0.401,0.314
"BE32","Prov. Hainaut",2019,0.526,0.173,79.6,1.6254,0.278,0.402,0.32
"BE33","Prov. Liège",2009,0.578,0.183,78.8,1.83,0.34,0.357,0.304
"BE33","Prov. Liège",2010,0.572,0.176,78.9,1.87,0.348,0.337,0.314
"BE33","Prov. Liège",2011,0.563,0.177,79,NA,0.342,0.335,0.323
"BE33","Prov. Liège",2012,0.569,0.167,79.2,NA,0.332,0.352,0.316
"BE33","Prov. Liège",2013,0.574,0.168,79.4,1.73964,0.317,0.364,0.319
"BE33","Prov. Liège",2014,0.563,0.18,79.9,1.73827,0.318,0.351,0.331
"BE33","Prov. Liège",2015,0.569,0.194,79.4,1.68083,0.305,0.356,0.339
"BE33","Prov. Liège",2016,0.555,0.165,80,1.68291,0.301,0.365,0.334
"BE33","Prov. Liège",2017,0.55,0.16,79.9,1.65749,0.3,0.344,0.356
"BE33","Prov. Liège",2018,0.55,0.141,80,1.61472,0.287,0.354,0.359
"BE33","Prov. Liège",2019,0.55,0.149,80.6,1.62042,0.261,0.365,0.375
"BE34","Prov. Luxembourg (BE)",2009,0.597,0.14,78.8,1.75,0.315,0.361,0.323
"BE34","Prov. Luxembourg (BE)",2010,0.615,0.135,78.9,1.98,0.314,0.364,0.322
"BE34","Prov. Luxembourg (BE)",2011,0.601,0.153,79.4,NA,0.307,0.383,0.31
"BE34","Prov. Luxembourg (BE)",2012,0.613,0.144,79.4,NA,0.279,0.384,0.338
"BE34","Prov. Luxembourg (BE)",2013,0.621,0.13,79.2,1.88856,0.311,0.374,0.314
"BE34","Prov. Luxembourg (BE)",2014,0.613,0.142,80.5,1.82585,0.263,0.386,0.351
"BE34","Prov. Luxembourg (BE)",2015,0.606,0.13,80.1,1.79062,0.25,0.381,0.369
"BE34","Prov. Luxembourg (BE)",2016,0.602,0.126,79.9,1.68842,0.249,0.4,0.351
"BE34","Prov. Luxembourg (BE)",2017,0.614,0.102,80.3,1.68855,0.2,0.429,0.371
"BE34","Prov. Luxembourg (BE)",2018,0.603,0.095,80.6,1.63383,0.198,0.415,0.388
"BE34","Prov. Luxembourg (BE)",2019,0.609,0.096,80.6,1.76202,0.199,0.394,0.407
"BE35","Prov. Namur",2009,0.584,0.153,78.7,1.84,0.289,0.397,0.315
"BE35","Prov. Namur",2010,0.592,0.153,78.8,1.88,0.29,0.379,0.331
"BE35","Prov. Namur",2011,0.574,0.166,79.2,NA,0.299,0.369,0.332
"BE35","Prov. Namur",2012,0.579,0.16,78.7,NA,0.263,0.394,0.343
"BE35","Prov. Namur",2013,0.575,0.187,78.7,1.76606,0.281,0.384,0.335
"BE35","Prov. Namur",2014,0.592,0.161,79.4,1.70203,0.264,0.369,0.367
"BE35","Prov. Namur",2015,0.572,0.158,79.3,1.6591,0.235,0.412,0.353
"BE35","Prov. Namur",2016,0.569,0.144,79.7,1.62693,0.234,0.417,0.349
"BE35","Prov. Namur",2017,0.577,0.147,79.7,1.55624,0.22,0.377,0.402
"BE35","Prov. Namur",2018,0.581,0.133,79.9,1.5672,0.213,0.394,0.392
"BE35","Prov. Namur",2019,0.566,0.138,80.3,1.53616,0.233,0.39,0.377
"BG31","Severozapaden",2009,0.531,0.276,72.9,1.86,0.193,0.636,0.171
"BG31","Severozapaden",2010,0.528,0.35,72.7,1.76,0.185,0.63,0.185
"BG31","Severozapaden",2011,0.521,0.368,73,1.73,0.19,0.628,0.182
"BG31","Severozapaden",2012,0.514,0.381,72.9,1.71,0.185,0.627,0.187
"BG31","Severozapaden",2013,0.533,0.381,73.7,1.62,0.17,0.636,0.194
"BG31","Severozapaden",2014,0.537,0.393,73,1.73,0.188,0.607,0.206
"BG31","Severozapaden",2015,0.532,0.38,73.5,1.71,0.186,0.599,0.215
"BG31","Severozapaden",2016,0.509,0.378,73.3,1.73,0.196,0.605,0.199
"BG31","Severozapaden",2017,0.536,0.302,73.5,1.73,0.201,0.601,0.199
"BG31","Severozapaden",2018,0.543,0.295,73.6,1.76,0.191,0.603,0.206
"BG31","Severozapaden",2019,0.553,0.299,73.7,1.77,0.206,0.602,0.192
"BG32","Severen tsentralen",2009,0.548,0.237,73.2,1.59,0.25,0.545,0.205
"BG32","Severen tsentralen",2010,0.542,0.283,73.3,1.51,0.253,0.549,0.197
"BG32","Severen tsentralen",2011,0.543,0.304,73.7,1.42,0.24,0.559,0.201
"BG32","Severen tsentralen",2012,0.555,0.284,73.8,1.45,0.221,0.571,0.208
"BG32","Severen tsentralen",2013,0.562,0.276,74.3,1.43,0.217,0.563,0.22
"BG32","Severen tsentralen",2014,0.565,0.262,74,1.44,0.228,0.545,0.227
"BG32","Severen tsentralen",2015,0.571,0.262,74.1,1.42,0.209,0.556,0.235
"BG32","Severen tsentralen",2016,0.569,0.232,74.4,1.45,0.204,0.552,0.244
"BG32","Severen tsentralen",2017,0.576,0.211,74.2,1.45,0.211,0.559,0.23
"BG32","Severen tsentralen",2018,0.581,0.198,74.4,1.45,0.194,0.554,0.252
"BG32","Severen tsentralen",2019,0.619,0.167,74.6,1.43,0.164,0.567,0.269
"BG33","Severoiztochen",2009,0.589,0.246,73.2,1.73,0.282,0.506,0.212
"BG33","Severoiztochen",2010,0.595,0.272,73.1,1.61,0.27,0.516,0.215
"BG33","Severoiztochen",2011,0.588,0.278,73.9,1.55,0.257,0.519,0.223
"BG33","Severoiztochen",2012,0.592,0.279,74,1.52,0.255,0.52,0.225
"BG33","Severoiztochen",2013,0.594,0.28,74.6,1.49,0.237,0.51,0.252
"BG33","Severoiztochen",2014,0.596,0.228,74.4,1.51,0.244,0.485,0.27
"BG33","Severoiztochen",2015,0.611,0.217,74.4,1.47,0.222,0.524,0.254
"BG33","Severoiztochen",2016,0.604,0.204,74.8,1.51,0.222,0.523,0.255
"BG33","Severoiztochen",2017,0.622,0.192,74.7,1.48,0.226,0.506,0.269
"BG33","Severoiztochen",2018,0.608,0.204,74.7,1.49,0.235,0.512,0.253
"BG33","Severoiztochen",2019,0.618,0.198,75,1.52,0.24,0.528,0.232
"BG34","Yugoiztochen",2009,0.568,0.25,72.9,1.95,0.279,0.551,0.169
"BG34","Yugoiztochen",2010,0.583,0.272,72.6,1.81,0.263,0.563,0.174
"BG34","Yugoiztochen",2011,0.576,0.29,73.4,1.77,0.251,0.558,0.191
"BG34","Yugoiztochen",2012,0.584,0.301,73.9,1.75,0.238,0.565,0.196
"BG34","Yugoiztochen",2013,0.581,0.334,74.5,1.78,0.232,0.563,0.205
"BG34","Yugoiztochen",2014,0.577,0.32,74,1.83,0.239,0.552,0.209
"BG34","Yugoiztochen",2015,0.586,0.288,74.3,1.84,0.237,0.544,0.219
"BG34","Yugoiztochen",2016,0.584,0.271,74.4,1.82,0.224,0.558,0.218
"BG34","Yugoiztochen",2017,0.611,0.248,74.3,1.88,0.208,0.575,0.217
"BG34","Yugoiztochen",2018,0.609,0.244,74.4,1.85,0.222,0.563,0.215
"BG34","Yugoiztochen",2019,0.622,0.236,74.5,1.87,0.232,0.554,0.214
"BG41","Yugozapaden",2009,0.649,0.11,74.5,1.47,0.122,0.541,0.337
"BG41","Yugozapaden",2010,0.642,0.131,75,1.41,0.105,0.559,0.336
"BG41","Yugozapaden",2011,0.627,0.134,75.2,1.34,0.094,0.578,0.328
"BG41","Yugozapaden",2012,0.631,0.134,75.3,1.32,0.087,0.583,0.33
"BG41","Yugozapaden",2013,0.639,0.157,75.7,1.29,0.086,0.562,0.351
"BG41","Yugozapaden",2014,0.641,0.148,75.3,1.36,0.093,0.532,0.375
"BG41","Yugozapaden",2015,0.643,0.128,75.6,1.34,0.091,0.523,0.386
"BG41","Yugozapaden",2016,0.638,0.145,75.7,1.36,0.089,0.517,0.394
"BG41","Yugozapaden",2017,0.655,0.106,75.7,1.37,0.081,0.527,0.392
"BG41","Yugozapaden",2018,0.667,0.081,75.9,1.37,0.08,0.522,0.398
"BG41","Yugozapaden",2019,0.679,0.07,76,1.42,0.082,0.512,0.405
"BG42","Yuzhen tsentralen",2009,0.57,0.244,74.3,1.69,0.277,0.541,0.181
"BG42","Yuzhen tsentralen",2010,0.568,0.278,74.5,1.62,0.265,0.545,0.19
"BG42","Yuzhen tsentralen",2011,0.558,0.294,74.6,1.54,0.26,0.549,0.191
"BG42","Yuzhen tsentralen",2012,0.577,0.284,74.9,1.54,0.249,0.558,0.193
"BG42","Yuzhen tsentralen",2013,0.6,0.285,75.4,1.55,0.235,0.56,0.205
"BG42","Yuzhen tsentralen",2014,0.608,0.255,75.1,1.59,0.239,0.547,0.214
"BG42","Yuzhen tsentralen",2015,0.589,0.237,74.8,1.63,0.233,0.552,0.215
"BG42","Yuzhen tsentralen",2016,0.578,0.254,75.3,1.61,0.224,0.562,0.215
"BG42","Yuzhen tsentralen",2017,0.615,0.217,75.2,1.65,0.21,0.568,0.222
"BG42","Yuzhen tsentralen",2018,0.604,0.23,75.5,1.65,0.222,0.55,0.227
"BG42","Yuzhen tsentralen",2019,0.617,0.194,75.6,1.66,0.223,0.552,0.225
"CY00","Kýpros",2009,0.675,0.115,81,1.47,0.277,0.382,0.341
"CY00","Kýpros",2010,0.68,0.129,81.5,1.44,0.26,0.384,0.357
"CY00","Kýpros",2011,0.676,0.148,81.2,1.35,0.248,0.374,0.377
