"NUTS","Name","Country","Year","GDP_growth","Employment_abs","Labor_Productivity_abs","Wage_EUR","Activity_rate","NEET_share","Life_exp","Fertility_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3","inv_rate","GVA_primary","GVA_services","GVA_public","GFCF_share","GDP_EUR","GDP_capita","Population_abs","Pop_growth","emp_rate","unemp_rate","Migration_rate"
"AL00","Albania","Albania",2019,0.0252630376175772,1260700,31824.84,425.8190391,0.604,0.25824,79.1,1.36666666666667,0.492855287087555,0.330215640426085,0.176877110937906,0.255233501060423,0.446242774566474,0.393263192913877,0.160485715473864,0.274501902811872,11179521775.8588,3916.88071777241,2854190,-0.004252750856481,0.53392,0.11466,-0.00805692683388282
"AT11","Burgenland","Austria",2009,-0.0197787723568715,108500,59369.59,2817.46,0.651,0.081,80.9,1.27,0.196,0.653,0.151,0.271602787456446,0.32020905923345,0.435540069686411,0.244250871080139,0.242020615996026,6441600000,22744.9595706366,283210,0.00468267764021427,0.555,0.05,0.00617209844285159
"AT11","Burgenland","Austria",2010,0.0175876767819526,109100,61396.61,2869.15166666667,0.648,0.078,80.9,1.28,0.197,0.655,0.148,0.268934316353887,0.32691018766756,0.430630026809651,0.242459785522788,0.244053844014123,6576417619.98685,23144.9905679836,284140,0.00328378235231807,0.557,0.04,0.00632082776096291
"AT11","Burgenland","Austria",2011,0.026436019086428,112500,62334.04,2894.2275,0.641,0.076,81.2,1.28,0.197,0.655,0.148,0.27456,0.3256,0.43872,0.23568,0.253283139841593,6775026561.47272,23756.851980394,285182,0.00366720630675019,0.551,0.038,0.00733215981373298
"AT11","Burgenland","Austria",2012,0.0140511200415785,113600,64836.53,2965.4575,0.647,0.08,80.6,1.3,0.188,0.672,0.139,0.29646017699115,0.327128471162649,0.441562404638389,0.23146170277693,0.281772294350864,6895638921.762,24090.6623593805,286237,0.00369939196723496,0.551,0.046,0.00718285895953353
"AT11","Burgenland","Austria",2013,0.0115167679535624,114500,65845.59,3041.325,0.639,0.087,81.1,1.27,0.185,0.656,0.158,0.273593331348616,0.32762727002084,0.440905031259303,0.231318844894314,0.262759582892831,6994987508.21828,24368.1089276211,287055,0.00285777170666266,0.546,0.043,0.00638901952587483
"AT11","Burgenland","Austria",2014,0.00115069369453369,116400,66470.19,3110.94333333333,0.64,0.089,81.4,1.33,0.168,0.575,0.257,0.274373460814139,0.317977690859047,0.451542807475011,0.230479501665942,0.26967342392163,7023309796.18672,24396.1491569118,287886,0.00289491560850708,0.543,0.048,0.0067665673217871
"AT11","Burgenland","Austria",2015,0.00384340643453199,117500,68430.21,3129.53833333333,0.641,0.081,81.2,1.37,0.153,0.562,0.285,0.264537721377772,0.319062892204713,0.447496862362293,0.233440245432994,0.267396409570165,7094336094.67456,24489.9134735593,289684,0.00624552774362074,0.538,0.052,0.0127863465017053
"AT11","Burgenland","Austria",2016,0.00875518737692304,118500,70479.07,3200.16333333333,0.645,0.106,81.4,1.41,0.165,0.557,0.279,0.254262317089542,0.317492280843066,0.448650825614176,0.233856893542757,0.263028405351979,7200743195.26627,24704.327254865,291477,0.00618950304469698,0.536,0.057,0.00631610727433039
"AT11","Burgenland","Austria",2017,0.0315322503646896,120800,72167.14,3259.8975,0.652,0.08,81.5,1.36,0.148,0.572,0.28,0.281929260450161,0.318842443729904,0.449131832797428,0.232154340836013,0.294266642843124,7449026429.98028,25483.3102869566,292310,0.00285785842450691,0.544,0.052,0.0064520543258869
