"NUTS","Year","emp_rate","unemp_rate"
"BE31",2017,0.516,0.075
"BE31",2018,0.514,0.069
"BE31",2019,0.519,0.055
"BE32",2009,0.421,0.132
"BE32",2010,0.428,0.139
"BE32",2011,0.431,0.117
"BE32",2012,0.432,0.121
"BE32",2013,0.429,0.132
"BE32",2014,0.419,0.144
"BE32",2015,0.42,0.133
"BE32",2016,0.432,0.118
"BE32",2017,0.432,0.114
"BE32",2018,0.433,0.099
"BE32",2019,0.439,0.086
"BE33",2009,0.455,0.121
"BE33",2010,0.454,0.115
"BE33",2011,0.459,0.095
"BE33",2012,0.456,0.107
"BE33",2013,0.455,0.117
"BE33",2014,0.442,0.123
"BE33",2015,0.445,0.128
"BE33",2016,0.443,0.111
"BE33",2017,0.446,0.105
"BE33",2018,0.459,0.082
"BE33",2019,0.466,0.067
"BE34",2009,0.501,0.074
"BE34",2010,0.513,0.075
"BE34",2011,0.508,0.062
"BE34",2012,0.513,0.076
"BE34",2013,0.517,0.079
"BE34",2014,0.505,0.085
"BE34",2015,0.497,0.093
"BE34",2016,0.501,0.078
"BE34",2017,0.522,0.067
"BE34",2018,0.522,0.054
"BE34",2019,0.528,0.054
"BE35",2009,0.477,0.094
"BE35",2010,0.482,0.096
"BE35",2011,0.475,0.08
"BE35",2012,0.483,0.073
"BE35",2013,0.466,0.104
"BE35",2014,0.486,0.089
"BE35",2015,0.459,0.109
"BE35",2016,0.464,0.097
"BE35",2017,0.487,0.074
"BE35",2018,0.485,0.085
"BE35",2019,0.48,0.07
"BG31",2009,0.429,0.08
"BG31",2010,0.412,0.112
"BG31",2011,0.399,0.128
"BG31",2012,0.396,0.123
"BG31",2013,0.402,0.14
"BG31",2014,0.402,0.142
"BG31",2015,0.41,0.121
"BG31",2016,0.398,0.106
"BG31",2017,0.417,0.113
"BG31",2018,0.424,0.112
"BG31",2019,0.43,0.108
"BG32",2009,0.452,0.084
"BG32",2010,0.433,0.116
"BG32",2011,0.428,0.128
"BG32",2012,0.429,0.143
"BG32",2013,0.428,0.153
"BG32",2014,0.44,0.132
"BG32",2015,0.458,0.106
"BG32",2016,0.462,0.093
"BG32",2017,0.479,0.069
"BG32",2018,0.484,0.067
"BG32",2019,0.523,0.051
"BG33",2009,0.483,0.104
"BG33",2010,0.465,0.146
"BG33",2011,0.453,0.154
"BG33",2012,0.444,0.182
"BG33",2013,0.454,0.168
"BG33",2014,0.479,0.126
"BG33",2015,0.502,0.103
"BG33",2016,0.497,0.097
"BG33",2017,0.516,0.094
"BG33",2018,0.513,0.074
"BG33",2019,0.528,0.059
"BG34",2009,0.476,0.066
"BG34",2010,0.474,0.105
"BG34",2011,0.463,0.115
"BG34",2012,0.466,0.119
"BG34",2013,0.455,0.13
"BG34",2014,0.457,0.119
"BG34",2015,0.472,0.104
"BG34",2016,0.484,0.079
"BG34",2017,0.51,0.07
"BG34",2018,0.517,0.054
"BG34",2019,0.535,0.04
"BG41",2009,0.565,0.041
"BG41",2010,0.548,0.069
"BG41",2011,0.532,0.075
"BG41",2012,0.529,0.082
"BG41",2013,0.527,0.098
"BG41",2014,0.533,0.089
"BG41",2015,0.545,0.067
"BG41",2016,0.549,0.054
"BG41",2017,0.575,0.033
"BG41",2018,0.587,0.026
"BG41",2019,0.6,0.023
"BG42",2009,0.48,0.073
"BG42",2010,0.459,0.115
"BG42",2011,0.442,0.129
"BG42",2012,0.449,0.138
"BG42",2013,0.467,0.135
"BG42",2014,0.484,0.12
"BG42",2015,0.482,0.092
"BG42",2016,0.483,0.071
"BG42",2017,0.524,0.052
"BG42",2018,0.52,0.042
"BG42",2019,0.538,0.03
"CY00",2009,0.603,0.054
"CY00",2010,0.602,0.063
"CY00",2011,0.587,0.079
"CY00",2012,0.559,0.118
"CY00",2013,0.533,0.159
"CY00",2014,0.535,0.161
"CY00",2015,0.53,0.149
"CY00",2016,0.533,0.13
"CY00",2017,0.548,0.111
"CY00",2018,0.572,0.084
"CY00",2019,0.585,0.071
"CZ01",2009,0.607,0.031
"CZ01",2010,0.599,0.037
"CZ01",2011,0.59,0.036
"CZ01",2012,0.6,0.031
"CZ01",2013,0.602,0.031
"CZ01",2014,0.606,0.025
"CZ01",2015,0.602,0.028
"CZ01",2016,0.614,0.022
"CZ01",2017,0.631,0.017
"CZ01",2018,0.644,0.013
"CZ01",2019,0.645,0.013
"CZ02",2009,0.57,0.044
"CZ02",2010,0.566,0.052
"CZ02",2011,0.569,0.051
"CZ02",2012,0.576,0.046
"CZ02",2013,0.576,0.052
"CZ02",2014,0.579,0.051
"CZ02",2015,0.59,0.035
"CZ02",2016,0.592,0.031
"CZ02",2017,0.602,0.021
"CZ02",2018,0.609,0.02
"CZ02",2019,0.613,0.013
"CZ03",2009,0.561,0.052
"CZ03",2010,0.553,0.056
"CZ03",2011,0.558,0.053
"CZ03",2012,0.555,0.053
"CZ03",2013,0.559,0.052
"CZ03",2014,0.564,0.055
"CZ03",2015,0.574,0.039
"CZ03",2016,0.58,0.031
"CZ03",2017,0.589,0.021
"CZ03",2018,0.59,0.015
"CZ03",2019,0.589,0.015
"CZ04",2009,0.523,0.103
"CZ04",2010,0.521,0.111
"CZ04",2011,0.526,0.095
"CZ04",2012,0.515,0.107
"CZ04",2013,0.529,0.096
"CZ04",2014,0.534,0.087
"CZ04",2015,0.538,0.073
"CZ04",2016,0.559,0.052
"CZ04",2017,0.567,0.034
"CZ04",2018,0.571,0.034
"CZ04",2019,0.569,0.03
"CZ05",2009,0.535,0.073
"CZ05",2010,0.536,0.07
"CZ05",2011,0.536,0.066
"CZ05",2012,0.534,0.08
"CZ05",2013,0.539,0.083
"CZ05",2014,0.551,0.063
"CZ05",2015,0.56,0.052
"CZ05",2016,0.571,0.04
"CZ05",2017,0.577,0.028
"CZ05",2018,0.581,0.02
"CZ05",2019,0.582,0.017
"CZ06",2009,0.539,0.065
"CZ06",2010,0.538,0.075
"CZ06",2011,0.535,0.072
"CZ06",2012,0.537,0.076
"CZ06",2013,0.554,0.068
"CZ06",2014,0.556,0.059
"CZ06",2015,0.564,0.049
"CZ06",2016,0.575,0.037
"CZ06",2017,0.579,0.031
"CZ06",2018,0.585,0.023
"CZ06",2019,0.588,0.019
"CZ07",2009,0.53,0.075
"CZ07",2010,0.513,0.088
"CZ07",2011,0.523,0.076
"CZ07",2012,0.531,0.075
"CZ07",2013,0.53,0.08
"CZ07",2014,0.534,0.069
"CZ07",2015,0.549,0.053
"CZ07",2016,0.558,0.039
"CZ07",2017,0.567,0.033
"CZ07",2018,0.58,0.022
"CZ07",2019,0.573,0.022
